Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,
0,0,0,0,1,0,0,90,
1,0.00929,5.89612,-250.14345,1,0,0,90,
2,-0.01005,0.9011,-499.77905,1,0,0,90,Start of 1st slope
5,-27.60063,28.5486,-576.74084,0.79387,0.20613,-0.57209,90,
9,-106.46741,107.31876,-576.68384,0.20609,0.79391,-0.57205,90,
12,-134.09854,135.00938,-499.93491,0.0001,1,0,90,End of 1st slope
270,556.59991,159.61131,392.1799,-0.86532,-0.22515,-0.44781,133.325,
273,453.33286,200.6796,519.0979,-0.6284,-0.4276,-0.64983,140.552,
276,375.4054,212.76929,565.69257,-0.37808,-0.52753,-0.76077,143.753,
279,292.81961,212.52501,592.83588,-0.1341,-0.59827,-0.79,146.252,
280,243.98099,205.0435,602.42291,0.00789,-0.6191,-0.78527,147.431,On last dash plate
281,239.58397,203.93987,603.21295,0.02158,-0.61983,-0.78444,147.53,On last dash plate
282,139.74042,160.13435,614.0191,0.34265,-0.56808,-0.74825,149.322,
283,135.27521,157.23341,614.32397,0.35474,-0.56366,-0.74595,149.382,
284,52.03852,82.90673,616.05243,0.50024,-0.49986,-0.70704,150,
285,31.89435,62.83625,612.43378,0.62317,-0.3775,-0.68494,150,
288,10.95972,41.91304,600.39063,0.75054,-0.24954,-0.6119,150,
291,-13.43059,17.48913,569.91119,0.89891,-0.101,-0.42634,150,
294,-23.1389,7.79611,546.37775,0.9582,-0.04173,-0.28303,150,
296,-29.98625,0.89934,499.97021,1,0,0,150,Start of last straight
,,,,,,,,
,,,,,,,,
