Checkpoint number,Checkpoint fraction,X,Y,Z
296,0.99727744,-16.02676,0.90116,1.36127
0,0.00604821,-15.94222,0.90045,-1.51205
0,0.01768539,-15.84576,0.90172,-4.42135
0,0.02946525,-15.74175,0.90586,-7.36631
0,0.04138615,-15.6328,0.91417,-10.34654
0,0.05344621,-15.52052,0.92768,-13.36155
0,0.06564339,-15.40576,0.9466,-16.41085
0,0.07797548,-15.28894,0.97107,-19.49387
0,0.09044025,-15.17029,1.00084,-22.61007
0,0.10303549,-15.04987,1.03559,-25.75887
0,0.11575901,-14.9277,1.0749,-28.93975
0,0.12860866,-14.80373,1.11811,-32.15216
0,0.14158227,-14.67798,1.16518,-35.39557
0,0.15467767,-14.55062,1.21573,-38.66942
0,0.16789274,-14.42186,1.26974,-41.97319
0,0.18122531,-14.29173,1.32725,-45.30633
0,0.19467317,-14.16014,1.38841,-48.66829
0,0.20823418,-14.02706,1.45335,-52.05854
0,0.2219062,-13.89254,1.52216,-55.47655
0,0.23568717,-13.75668,1.59475,-58.92179
0,0.24957494,-13.61957,1.6712,-62.39374
0,0.26354373,-13.41238,1.75124,-65.88593
0,0.27755752,-13.07845,1.83422,-69.38938
0,0.29153213,-12.53686,1.91924,-72.88303
0,0.30541784,-11.72684,2.00562,-76.35446
0,0.31931925,-10.65721,2.09453,-79.82981
0,0.33337608,-9.40765,2.18729,-83.34402
0,0.34757441,-8.0583,2.28407,-86.8936
0,0.36188415,-6.65929,2.38422,-90.47104
0,0.37632889,-5.26429,2.48756,-94.08222
0,0.39091942,-3.93739,2.59358,-97.72985
0,0.40567735,-2.79986,2.70238,-101.41933
0,0.42050457,-1.9783,2.81269,-105.12614
0,0.43543464,-1.40051,2.92364,-108.85866
0,0.45046943,-0.98233,3.03511,-112.61736
0,0.46559656,-0.66423,3.14697,-116.39914
0,0.48080933,-0.40882,3.25963,-120.20233
0,0.4961032,-0.19252,3.37339,-124.0258
0,0.51147497,-0.00049,3.4885,-127.86874
0,0.52692199,0.17666,3.60468,-131.7305
0,0.54244226,0.34482,3.72153,-135.61057
0,0.55803376,0.50758,3.83871,-139.50844
0,0.57369477,0.66718,3.95572,-143.42369
0,0.58942366,0.82504,4.07209,-147.35591
0,0.60521883,0.98203,4.1874,-151.3047
0,0.62107873,1.13871,4.30146,-155.26968
0,0.6369791,1.36553,4.41397,-159.24478
0,0.65293461,1.63824,4.52489,-163.23366
0,0.66896117,1.8539,4.63341,-167.2403
0,0.68509233,2.02239,4.7399,-171.27309
0,0.70131767,2.13768,4.84394,-175.32942
0,0.71765125,2.19254,4.94539,-179.41281
0,0.73409975,2.17963,5.04406,-183.52493
0,0.75106215,2.06157,5.14214,-187.76553
0,0.76822251,1.84429,5.23743,-192.05563
0,0.78559268,1.47611,5.3296,-196.39816
0,0.80273151,0.86068,5.4158,-200.68288
0,0.81975877,-0.10615,5.49618,-204.9397
0,0.83713281,-1.3272,5.5721,-209.2832
0,0.85479105,-2.54899,5.64258,-213.69775
0,0.87237018,-3.68381,5.706,-218.09254
0,0.89018112,-4.66827,5.76306,-222.54529
0,0.90832007,-5.48187,5.81377,-227.08002
0,0.92676139,-6.11586,5.85746,-231.69035
0,0.9454841,-6.56072,5.89345,-236.37103
0,0.9644624,-6.80729,5.92055,-241.1156
0,0.98366636,-6.84682,5.93796,-245.9166
1,0.00306189,-6.67105,5.94457,-250.76547
1,0.02261182,-6.2721,5.93948,-255.65295
1,0.04227576,-5.64272,5.92198,-260.56894
1,0.06200989,-4.77631,5.89218,-265.50247
1,0.08176758,-3.66699,5.85041,-270.44189
1,0.10149939,-2.30966,5.79787,-275.37485
1,0.12115429,-0.69995,5.73581,-280.28857
1,0.14067835,1.16548,5.66539,-285.16959
1,0.16001587,3.28909,5.58763,-290.00397
1,0.17910962,5.67246,5.50371,-294.7774
1,0.19846644,8.21475,5.41258,-299.61661
1,0.21782446,10.71065,5.31646,-304.45612
1,0.23746875,13.1801,5.21352,-309.36719
1,0.25735852,15.60625,5.10363,-314.33963
1,0.27758154,17.98006,4.98571,-319.39539
1,0.29816368,20.21605,4.85966,-324.54092
1,0.31906337,22.14116,4.72587,-329.76584
1,0.34067467,23.67612,4.58146,-335.16867
1,0.36285657,24.82477,4.42722,-340.71414
1,0.38550586,25.58583,4.26431,-346.37646
1,0.40852052,25.95916,4.09437,-352.13013
1,0.43180138,25.94528,3.91935,-357.95035
1,0.45478955,25.68111,3.74506,-363.69739
1,0.47773951,25.07771,3.57005,-369.43488
1,0.50066346,24.1079,3.39507,-375.16586
1,0.52350157,22.76571,3.22113,-380.8754
1,0.54617393,21.05268,3.04933,-386.54349
1,0.56859618,18.97333,2.88098,-392.14905
1,0.59068418,16.53362,2.71716,-397.67105
1,0.61235547,13.74049,2.55909,-403.08887
1,0.63352931,10.60169,2.408,-408.38232
1,0.65412706,7.12572,2.26521,-413.53177
1,0.67568809,3.76625,2.1213,-418.92203
1,0.69742483,0.6878,1.98162,-424.3562
1,0.71987939,-2.05914,1.84238,-429.96985
1,0.74314928,-4.45025,1.70334,-435.78732
1,0.76719397,-6.47202,1.56572,-441.79849
1,0.79193115,-8.11556,1.4319,-447.98279
1,0.81726646,-9.37432,1.30451,-454.31662
1,0.8433004,-10.33975,1.18578,-460.8251
1,0.86963952,-11.19158,1.08068,-467.40988
1,0.89568985,-12.02717,0.99376,-473.92245
1,0.92149669,-12.89809,0.92595,-480.37418
1,0.94704455,-13.81526,0.8774,-486.76114
1,0.97214186,-14.77512,0.84815,-493.03546
1,0.99717873,-15.81942,0.83744,-499.29468
2,0.21424975,-16.96375,0.8453,-505.54446
2,0.45509082,-18.2221,0.93711,-511.78174
2,0.6965099,-19.60194,1.70477,-517.914
2,0.94183999,-21.09324,2.83451,-523.96326
3,0.18961203,-22.70434,4.26873,-529.91199
3,0.43423715,-24.44901,6.01584,-535.74365
3,0.67866069,-26.34912,8.08942,-541.45074
3,0.92625749,-28.42087,10.54371,-547.00348
4,0.17607336,-30.6459,13.33326,-552.38239
4,0.42225835,-32.97779,16.4615,-557.59241
4,0.66641974,-35.37837,19.91511,-562.63403
4,0.9104405,-37.78541,23.6879,-567.53082
5,0.15323825,-40.12202,27.78554,-572.30957
5,0.38771859,-42.30867,32.22317,-577.0191
5,0.61584789,-44.31958,37.04612,-581.70886
5,0.84099162,-46.1997,42.29154,-586.41528
6,0.06487872,-47.9907,47.97696,-591.14075
6,0.28264225,-49.73181,54.12072,-595.86639
6,0.49394467,-51.45678,60.73984,-600.55658
6,0.70056236,-53.19501,67.83759,-605.17151
6,0.90384537,-54.97769,75.39225,-609.66412
7,0.10400395,-56.81248,83.39523,-613.99573
7,0.29662564,-58.72473,91.81455,-618.13422
7,0.48251513,-60.73128,100.62428,-622.0354
7,0.66386479,-64.43261,107.42355,-622.9104
7,0.81815571,-67.93829,109.88804,-614.98206
7,0.95409352,-69.99899,112.67538,-609.00055
8,0.0766311,-71.28541,115.50002,-604.20483
8,0.18728739,-72.15808,118.19188,-600.16333
8,0.28837761,-72.8149,120.65635,-596.62976
8,0.38150287,-73.36762,122.84735,-593.46289
8,0.46775123,-73.88217,124.74756,-590.57959
8,0.54803044,-74.29642,126.36742,-587.79871
8,0.62495071,-74.6151,127.9379,-585.23663
8,0.69986057,-74.89063,129.46861,-582.85529
8,0.77321655,-75.1462,130.94073,-580.61029
8,0.84439701,-75.35875,132.30981,-578.44604
8,0.90815467,-75.34687,133.49153,-576.34778
8,0.96602136,-75.16505,134.52322,-574.32178
9,0.01858499,-74.84082,135.42403,-572.37305
9,0.0653557,-74.37943,136.20486,-570.51324
9,0.10265771,-73.7101,136.89714,-568.85852
9,0.13241529,-72.895,137.50441,-567.36786
9,0.15576579,-71.97318,138.02942,-566.01666
9,0.17336941,-70.97039,138.4753,-564.7915
9,0.18561125,-69.90504,138.84558,-563.68555
9,0.19273826,-68.79155,139.14412,-562.69531
9,0.1949138,-67.64186,139.37494,-561.8194
9,0.19226447,-66.46632,139.54211,-561.05719
9,0.18490618,-65.27424,139.64964,-560.40833
9,0.17297173,-64.07418,139.70131,-559.87189
9,0.15661398,-62.87408,139.70073,-559.44647
9,0.13601699,-61.68135,139.65126,-559.12994
9,0.11140049,-60.5029,139.55603,-558.91937
9,0.08301519,-59.34513,139.41794,-558.81116
9,0.05114572,-58.21387,139.23969,-558.80096
9,0.01610093,-57.11449,139.02393,-558.88422
8,0.97828221,-56.05325,138.77483,-559.05811
8,0.93832308,-55.03631,138.49622,-559.31891
8,0.89672971,-54.06952,138.19144,-559.66187
8,0.85398901,-53.15836,137.86357,-560.08173
8,0.81057721,-52.30772,137.51517,-560.57263
8,0.76695651,-51.52202,137.14848,-561.12836
8,0.72356409,-50.80513,136.76541,-561.74231
8,0.6807974,-50.16024,136.36743,-562.40765
8,0.6390205,-49.58999,135.95578,-563.11731
8,0.59854561,-49.09636,135.53131,-563.86414
8,0.55964851,-48.68079,135.09476,-564.64093
8,0.52255297,-48.34412,134.64656,-565.44049
8,0.48744148,-48.08663,134.18707,-566.25574
8,0.45445809,-47.90809,133.71654,-567.07953
8,0.42391205,-47.80048,133.23654,-567.88501
8,0.39131328,-47.69498,132.66013,-568.68829
8,0.35564983,-47.55463,131.96651,-569.45831
8,0.3167102,-47.33335,131.15489,-570.12866
8,0.27373952,-47.01926,130.21761,-570.70117
8,0.2268576,-46.62037,129.16347,-571.18158
8,0.17665048,-46.14818,128.0105,-571.56635
8,0.12353183,-45.61032,126.77374,-571.84949
