Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,Notes
0,0,0,0,1,0,0,60,
1,0,0,-630.02783,1,0,0,60,
2,-1.30761,0,-651.16058,0.99067,0,-0.13629,60,
3,-3.67021,0.8829,-659.85114,0.94334,0,-0.33183,60,
4,-4.02603,0.88543,-660.73285,0.93351,0,-0.35855,60,
5,-6.22663,0.88542,-665.04388,0.87658,0,-0.48126,60,
6,-13.38245,0.87476,-674.37695,0.74429,0,-0.66786,60,At jump plate
7,-35.95382,0,-694.50391,0.62254,0,-0.78259,60,
8,-52.75113,0,-709.33881,0.67284,0,-0.73979,60,
9,-63.30763,0,-723.00043,0.84588,0,-0.53338,60,
10,-66.30697,0.88521,-729.21429,0.93378,0,-0.35784,60,
11,-67.32482,0.88539,-732.31897,0.96413,0,-0.26542,60,
12,-68.90691,0.88558,-739.4809,0.99329,0,-0.11565,60,
13,-69.97427,0,-760.00494,1,0,0,60,
14,-76.40018,-3.83022,-811.1488,0.99072,0.13591,0,60,
15,-91.43439,-14.1743,-862.01166,0.92574,0.37816,0,60,
236,0.00947,0,800.07739,1,0,0,60,
237,0,0,399.95853,1,0,0,60,
,,,,,,,,
,,,,,,,,
