Checkpoint number,Checkpoint fraction,X,Y,Z
237,0.99723387,-0.89107,0.97085,1.10646
0,0.00500283,-1.40907,0.9696,-3.15178
0,0.01177265,-1.9303,0.95591,-7.41677
0,0.01855277,-2.45504,0.93531,-11.68824
0,0.02534348,-2.9834,0.91361,-15.96639
0,0.03214527,-3.51496,0.89499,-20.25152
0,0.03895972,-4.04133,0.88208,-24.54462
0,0.04579553,-4.47174,0.87736,-28.85119
0,0.05265727,-4.76989,0.88145,-33.17408
0,0.05953889,-4.88527,0.89401,-37.5095
0,0.06643762,-4.77768,0.9127,-41.85571
0,0.07336518,-4.45445,0.93209,-46.22006
0,0.08033632,-3.98129,0.94535,-50.61189
0,0.08733632,-3.41345,0.94933,-55.02188
0,0.09436058,-2.80296,0.94399,-59.44716
0,0.10139559,-2.17629,0.93246,-63.87922
0,0.10844541,-1.58809,0.91868,-68.32061
0,0.11549453,-1.07496,0.90639,-72.76156
0,0.1225274,-0.77561,0.89888,-77.19226
0,0.12953579,-0.62619,0.89683,-81.60755
0,0.13652858,-0.60962,0.89938,-86.01301
0,0.14351082,-0.69232,0.9039,-90.41182
0,0.15048072,-0.88454,0.9089,-94.80285
0,0.15744986,-1.13051,0.91168,-99.19341
0,0.16442457,-1.37106,0.91088,-103.58748
0,0.17140901,-1.56167,0.90699,-107.98768
0,0.17840664,-1.68982,0.90197,-112.39619
0,0.18541856,-1.77112,0.89792,-116.81369
0,0.19244128,-1.81552,0.89635,-121.23801
0,0.19947352,-1.82888,0.89732,-125.66831
0,0.20651327,-1.79892,0.90027,-130.10336
0,0.21356221,-1.71733,0.90411,-134.54419
0,0.22062141,-1.58683,0.90792,-138.99149
0,0.22768851,-1.40138,0.9108,-143.44376
0,0.23476672,-1.17254,0.91233,-147.90303
0,0.24185158,-0.90044,0.91247,-152.3665
0,0.24894363,-0.58477,0.91173,-156.83449
0,0.25604072,-0.21695,0.91073,-161.30565
0,0.26314726,0.19352,0.90945,-165.78278
0,0.27025625,0.65556,0.90836,-170.26144
0,0.27737361,1.16135,0.90733,-174.74538
0,0.28449708,1.69742,0.90626,-179.23317
0,0.29162276,2.25581,0.90519,-183.72234
0,0.29874939,2.83191,0.9041,-188.21211
0,0.30587643,3.42278,0.90316,-192.70215
0,0.31300345,4.02583,0.90252,-197.19217
0,0.32013291,4.62972,0.90218,-201.68373
0,0.32725596,4.95125,0.90473,-206.17126
0,0.33433768,5.04119,0.90804,-210.63274
0,0.34140655,4.97802,0.91049,-215.08612
0,0.34846303,4.80332,0.91137,-219.53171
0,0.35551563,4.55843,0.91056,-223.97484
0,0.36256713,4.26938,0.90868,-228.41728
0,0.36962,3.95248,0.90631,-232.8606
0,0.37667561,3.61801,0.90425,-237.30563
0,0.38373482,3.27244,0.90274,-241.75294
0,0.39079812,2.91987,0.9022,-246.20282
0,0.3978658,2.56312,0.90235,-250.65546
0,0.40493807,2.20452,0.90294,-255.11099
0,0.41201511,1.84639,0.90364,-259.56952
0,0.41909713,1.4911,0.90436,-264.03119
0,0.42618456,1.14363,0.90495,-268.49628
0,0.43327788,0.80925,0.90533,-272.96506
0,0.44037747,0.4947,0.90564,-277.43781
0,0.44748351,0.20337,0.90572,-281.91461
0,0.45459557,-0.06349,0.90558,-286.3952
0,0.46185985,-0.31159,0.90535,-290.97171
0,0.46919009,-0.54076,0.90529,-295.58975
0,0.47659466,-0.75331,0.90529,-300.25464
0,0.4840675,-0.95044,0.90528,-304.96252
0,0.49161083,-1.13301,0.90526,-309.71481
0,0.49922213,-1.30194,0.9051,-314.50995
0,0.50690162,-1.45825,0.90504,-319.34802
0,0.5146479,-1.60277,0.90501,-324.22818
0,0.52246052,-1.73716,0.90493,-329.15015
0,0.53033847,-1.86433,0.90487,-334.11325
0,0.53828108,-1.98669,0.9049,-339.11707
0,0.54628748,-2.10639,0.90497,-344.1611
0,0.55435699,-2.22476,0.90501,-349.2449
0,0.56248891,-2.34263,0.90509,-354.36801
0,0.57068247,-2.46055,0.90516,-359.52994
0,0.57893687,-2.57878,0.90521,-364.73022
0,0.58725142,-2.69753,0.90524,-369.96841
0,0.5956254,-2.81691,0.90521,-375.24402
0,0.60405809,-2.93634,0.90519,-380.55661
0,0.61254871,-3.05536,0.9052,-385.90567
0,0.62109649,-3.17091,0.90518,-391.2908
0,0.62970108,-3.27294,0.9051,-396.71167
0,0.63836181,-3.35116,0.90498,-402.16794
0,0.64707768,-3.39648,0.90504,-407.65894
0,0.65584743,-3.40209,0.90507,-413.1839
0,0.66466963,-3.36343,0.90519,-418.74188
0,0.6735428,-3.27738,0.90525,-424.33197
0,0.68246531,-3.14173,0.90523,-429.95316
0,0.69143569,-2.95547,0.90517,-435.60449
0,0.70045269,-2.72117,0.9051,-441.28519
0,0.70951545,-2.44828,0.90495,-446.99472
0,0.7186234,-2.14748,0.90484,-452.73276
0,0.72777736,-1.82832,0.90475,-458.49973
0,0.73697704,-1.49714,0.90467,-464.29553
0,0.74622226,-1.15787,0.90462,-470.12003
0,0.75551254,-0.81297,0.90454,-475.9729
0,0.76467669,-0.4704,0.90457,-481.74631
0,0.77383155,-0.12669,0.90463,-487.51389
0,0.78295058,0.2166,0.90465,-493.25888
0,0.79204041,0.55936,0.90471,-498.98544
0,0.80109966,0.90132,0.90473,-504.69278
0,0.81012905,1.24249,0.90469,-510.38132
0,0.81912881,1.5828,0.90465,-516.05115
0,0.82809913,1.92216,0.9046,-521.70245
0,0.83704031,2.26052,0.90454,-527.33539
0,0.84595251,2.5978,0.9046,-532.95007
0,0.85483611,2.93399,0.9046,-538.54675
0,0.86369133,3.26912,0.90461,-544.12555
0,0.87251836,3.60306,0.90458,-549.68658
0,0.88131756,3.93588,0.90459,-555.23004
0,0.89008904,4.26761,0.90459,-560.7561
0,0.89883316,4.59827,0.9046,-566.26489
0,0.90755016,4.92789,0.9046,-571.75659
0,0.91624027,5.25648,0.90458,-577.23138
0,0.92490381,5.58406,0.90461,-582.68939
0,0.93354088,5.91064,0.90459,-588.13074
0,0.94215173,6.23623,0.90459,-593.5556
0,0.95073676,6.56084,0.90459,-598.96417
0,0.95929617,6.88447,0.9046,-604.35657
0,0.96783012,7.20715,0.90461,-609.73297
0,0.97633892,7.52887,0.90459,-615.09351
0,0.98482281,7.84965,0.90459,-620.43835
0,0.99328208,8.1695,0.90459,-625.7677
1,0.0485658,8.48842,0.9046,-631.08167
1,0.2852909,8.80643,0.90461,-636.38037
1,0.51940608,9.12354,0.90459,-641.664
1,0.75004005,8.97931,0.90517,-646.86469
1,0.97791028,8.13107,0.90634,-651.92151
2,0.44257042,6.77877,0.90731,-657.10168
2,0.94097841,5.08135,0.90769,-662.26508
4,0.58876997,3.1457,0.9074,-667.31512
5,0.20724729,0.96788,0.90681,-672.24786
5,0.56634927,-1.30944,7.03205,-676.78217
5,0.94714659,-4.13305,12.80222,-681.41315
6,0.1280158,-6.95991,18.1667,-685.46667
6,0.2746115,-10.05848,23.15317,-689.12079
6,0.42314693,-13.57552,27.88857,-692.47266
6,0.57769388,-17.58557,32.37854,-695.58069
6,0.73744255,-21.99658,36.62862,-698.44623
6,0.90206611,-26.75299,40.64372,-701.05853
7,0.10513032,-31.82608,44.42797,-703.40131
7,0.35554713,-37.19798,47.98477,-705.45538
7,0.60364825,-42.85271,51.31731,-707.19989
7,0.86880994,-48.46756,54.30513,-709.67065
8,0.18597953,-53.77666,57.00772,-712.80573
8,0.54069072,-58.5076,59.47633,-716.73529
8,0.9063459,-62.70333,61.68884,-721.5058
9,0.71877843,-66.5152,63.61287,-726.99377
11,0.18050088,-70.01118,65.26714,-733.00818
