Checkpoint number,Checkpoint fraction,X,Y,Z
237,0.95250732,15.00706,0.89009,18.99708
237,0.95501459,15.00703,0.89389,17.99416
237,0.95761329,15.007,0.89945,16.95467
237,0.96035093,15.00697,0.90481,15.85961
237,0.96322578,15.00693,0.90855,14.70969
237,0.96623683,15.00533,0.91013,13.50528
237,0.96938306,14.99955,0.90975,12.24677
237,0.97266352,14.98676,0.90812,10.93461
237,0.9760769,14.96446,0.90613,9.56926
237,0.97962189,14.93079,0.90438,8.15124
237,0.98329729,14.88436,0.90326,6.68109
237,0.98710161,14.82404,0.90291,5.15935
237,0.99103355,14.74908,0.90316,3.58657
237,0.99509186,14.65967,0.90374,1.96324
237,0.99927539,14.55629,0.90444,0.28987
0,0.00227496,14.44102,0.90497,-1.43322
0,0.00508841,14.31631,0.90526,-3.2057
0,0.00797983,14.18429,0.90527,-5.02729
0,0.0109487,14.0464,0.90511,-6.89768
0,0.01399444,13.90353,0.90483,-8.81649
0,0.01711638,13.75623,0.90462,-10.78332
0,0.02031382,13.60485,0.90442,-12.79771
0,0.02358605,13.44961,0.90441,-14.85921
0,0.02693231,13.29068,0.90445,-16.96735
0,0.03035183,13.12814,0.90454,-19.12165
0,0.03384384,12.9621,0.90465,-21.32162
0,0.03740755,12.7926,0.90471,-23.56676
0,0.04104216,12.6197,0.90474,-25.85656
0,0.04474685,12.44345,0.90469,-28.19052
0,0.04852081,12.26389,0.90467,-30.56811
0,0.05236322,12.08109,0.90468,-32.98883
0,0.05627326,11.89516,0.90468,-35.45215
0,0.06025016,11.70683,0.90469,-37.9576
0,0.0642933,11.51808,0.90468,-40.50478
0,0.068402,11.33066,0.90467,-43.09326
0,0.07257555,11.14626,0.90473,-45.7226
0,0.07681319,10.96632,0.90464,-48.39231
0,0.08111419,10.79279,0.90461,-51.10194
0,0.08547778,10.62747,0.90455,-53.851
0,0.08990308,10.47111,0.90457,-56.63894
0,0.09438909,10.32379,0.90461,-59.46513
0,0.0989348,10.18405,0.90459,-62.32892
0,0.10353908,10.04969,0.90464,-65.22962
0,0.10820092,9.9185,0.90465,-68.16658
0,0.11291935,9.78873,0.90466,-71.13919
0,0.11769345,9.65929,0.90466,-74.14687
0,0.12252232,9.52952,0.90465,-77.18906
0,0.12740506,9.39902,0.90464,-80.26519
0,0.13234079,9.26754,0.90463,-83.37469
0,0.13732861,9.13509,0.90463,-86.51703
0,0.14236771,9.00216,0.90465,-89.69166
0,0.14745726,8.86961,0.90465,-92.89807
0,0.1525964,8.73788,0.90471,-96.13573
0,0.15778424,8.60717,0.90474,-99.40407
0,0.16301993,8.4774,0.90475,-102.70255
0,0.1683026,8.34852,0.90475,-106.03064
0,0.17363143,8.22079,0.90473,-109.3878
0,0.17900553,8.09385,0.9047,-112.77348
0,0.18442406,7.96755,0.90474,-116.18716
0,0.18988621,7.84244,0.90473,-119.62831
0,0.19539118,7.719,0.90475,-123.09644
0,0.20093821,7.59847,0.90473,-126.59107
0,0.20652655,7.48266,0.90474,-130.11172
0,0.21215545,7.37336,0.90472,-133.65793
0,0.2178241,7.27201,0.90476,-137.22919
0,0.22353177,7.17997,0.90475,-140.82501
0,0.2292776,7.09946,0.90472,-144.44489
0,0.23506087,7.03309,0.90475,-148.08835
0,0.24088071,6.98258,0.90473,-151.75485
0,0.24673624,6.94913,0.90468,-155.44383
0,0.25262654,6.93356,0.90471,-159.15472
0,0.25855076,6.9365,0.90474,-162.88698
0,0.26450804,6.95711,0.9047,-166.64006
0,0.27049747,6.99384,0.90473,-170.41341
0,0.2765184,7.04507,0.90469,-174.20659
0,0.28257015,7.10773,0.90473,-178.0192
0,0.28865209,7.17869,0.9047,-181.85081
0,0.29476368,7.25502,0.90473,-185.70113
0,0.30090442,7.33487,0.9047,-189.56978
0,0.30707365,7.41707,0.90474,-193.45641
0,0.31327084,7.50089,0.90471,-197.36063
0,0.31949532,7.58587,0.90473,-201.28206
0,0.32574654,7.6717,0.9047,-205.22032
0,0.33202386,7.7582,0.90474,-209.17503
0,0.33832672,7.84524,0.90472,-213.14583
0,0.34465447,7.93275,0.90474,-217.13232
0,0.3510066,8.02068,0.90472,-221.13416
0,0.35738248,8.10898,0.90474,-225.15096
0,0.36378154,8.19763,0.90472,-229.18237
0,0.37020329,8.28661,0.90474,-233.22807
0,0.37664711,8.37592,0.90471,-237.28769
0,0.38311255,8.46553,0.90474,-241.3609
0,0.38959903,8.55543,0.90471,-245.44739
0,0.39610606,8.64563,0.90473,-249.54681
0,0.40263313,8.7361,0.9047,-253.65887
0,0.40917975,8.82684,0.90474,-257.78323
0,0.41574544,8.91785,0.90472,-261.91962
0,0.42232972,9.00912,0.90475,-266.06772
0,0.42893222,9.09885,0.90473,-270.22729
0,0.43555251,9.18497,0.90477,-274.39807
0,0.44219017,9.26486,0.90478,-278.5798
0,0.44884479,9.33751,0.90481,-282.77222
0,0.45551589,9.40266,0.90482,-286.97501
0,0.46233928,9.46199,0.90489,-291.27374
0,0.46922714,9.51592,0.90488,-295.6131
0,0.47619402,9.56562,0.90484,-300.00223
0,0.48323065,9.61249,0.9048,-304.4353
0,0.49034128,9.65779,0.90479,-308.91501
0,0.49752259,9.70225,0.90479,-313.43924
0,0.50477546,9.74635,0.9048,-318.00854
0,0.51213068,9.79056,0.90482,-322.64233
0,0.51954603,9.83482,0.90483,-327.314
0,0.5270437,9.87937,0.90482,-332.03754
0,0.53461063,9.92421,0.90483,-336.80469
0,0.54225308,9.96358,0.90482,-341.61945
0,0.54996663,9.97915,0.90481,-346.47897
0,0.55775261,9.94866,0.90476,-351.38416
0,0.56560826,9.85179,0.90467,-356.33322
0,0.57353073,9.67445,0.90458,-361.32437
0,0.58151543,9.40733,0.90448,-366.35474
0,0.58955979,9.04793,0.90443,-371.42267
0,0.59765923,8.60152,0.9044,-376.5253
0,0.60581315,8.07844,0.90437,-381.66229
0,0.61402255,7.49495,0.90439,-386.8342
0,0.6222887,6.86811,0.90442,-392.04187
0,0.63061458,6.21149,0.90449,-397.2872
0,0.63900149,5.53438,0.9045,-402.57095
0,0.64745027,4.84252,0.90451,-407.89368
0,0.65596098,4.13954,0.90452,-413.25543
0,0.66453356,3.4277,0.90451,-418.65613
0,0.67316747,2.70844,0.9045,-424.09549
0,0.68186229,1.98265,0.9045,-429.57324
0,0.69061738,1.25094,0.9045,-435.08896
0,0.69943219,0.51369,0.9045,-440.64227
0,0.7083059,-0.22884,0.9045,-446.23273
0,0.71723795,-0.97643,0.9045,-451.85989
0,0.72622764,-1.72824,0.90449,-457.52341
0,0.73527503,-2.48056,0.90449,-463.22327
0,0.74438018,-3.22946,0.90449,-468.9595
0,0.75354302,-3.97083,0.90451,-474.73209
0,0.76276422,-4.6965,0.90451,-480.54147
0,0.7720452,-5.39495,0.90451,-486.38846
0,0.78138679,-6.05494,0.90453,-492.27368
