Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap index,Lap distance,X,Y,Z,Notes
4,0.57054514,4,4,1,430.71445,98.03378,13.77734,-415.26257,"Struggling in whiteness meant I just couldn't find the lines, but not necessarily a fundamental flaw"
4,0.59027278,4,4,1,432.57355,101.66866,15.157,-416.23526,
4,0.60674363,4,4,1,434.1257,105.39476,16.52126,-416.87192,
4,0.6193803,4,4,1,435.31653,109.18467,17.89805,-417.12646,
4,0.62780476,4,4,1,436.11044,113.00049,19.30691,-416.97476,
4,0.63178676,4,4,1,436.48569,116.79803,20.76138,-416.4086,
4,0.6311875,4,4,1,436.4292,120.53169,22.27091,-415.42899,
4,0.62593359,4,4,1,435.93411,124.15765,23.84141,-414.04282,
4,0.6160062,4,4,1,434.99857,127.63506,25.47558,-412.26126,
4,0.60143864,4,4,1,433.62576,130.92642,27.17322,-410.09943,
4,0.58231008,4,4,1,431.82315,133.99779,28.93164,-407.5755,
4,0.55869371,4,4,1,429.59763,136.85371,30.72473,-404.69736,
4,0.53102285,4,4,1,426.98999,139.49977,32.52363,-401.50555,
4,0.49975148,4,4,1,424.04309,141.93628,34.30812,-398.0433,
4,0.46520397,4,4,1,420.78741,144.15845,36.06616,-394.34262,
4,0.42759806,4,4,1,417.24356,146.15881,37.79019,-390.4259,
4,0.38708821,4,4,1,413.42603,147.92885,39.47456,-386.30966,
4,0.34379771,4,4,1,409.34647,149.46216,41.11263,-382.00668,
4,0.29786649,4,4,1,405.01804,150.75414,42.69771,-377.53058,
4,0.24940923,4,4,1,400.45157,151.80341,44.22046,-372.8916,
4,0.19858469,4,4,1,395.66202,152.61133,45.67205,-368.10312,
4,0.14542916,4,4,1,390.6528,153.18329,47.03495,-363.16632,
4,0.08994574,4,4,1,385.42422,153.53741,48.27827,-358.07654,
4,0.03241296,4,4,1,380.0025,153.7043,49.37732,-352.85129,
3,0.9734174,4,4,1,374.44293,153.71887,50.33216,-347.53491,
3,0.91351408,4,4,1,368.79782,153.59152,51.16948,-342.17288,
3,0.85295975,4,4,1,363.09137,153.30174,51.92467,-336.79108,
3,0.79179507,4,4,1,357.32739,152.81616,52.62548,-331.39838,
3,0.7300483,4,4,1,351.50854,152.10793,53.29023,-326.00085,
3,0.66780221,4,4,1,345.64267,151.16077,53.93075,-320.60693,
3,0.6052193,4,4,1,339.74506,149.96606,54.55904,-315.2305,
3,0.54245192,4,4,1,333.83005,148.51564,55.18421,-309.88422,
3,0.47961989,4,4,1,327.90894,146.80347,55.80848,-304.57736,
3,0.41688898,4,4,1,321.99738,144.83115,56.43283,-299.32181,
3,0.35448241,4,4,1,316.11636,142.60353,57.06321,-294.13403,
3,0.29255307,4,4,1,310.28033,140.11893,57.70102,-289.02548,
3,0.23130667,4,4,1,304.50864,137.38127,58.35069,-284.01138,
3,0.17093429,4,4,1,298.81934,134.39157,59.01641,-279.10632,
3,0.11158033,4,4,1,293.22598,131.14896,59.69659,-274.32108,
3,0.05344659,4,4,1,287.74765,127.66177,60.39375,-269.67026,
2,0.99668366,4,4,1,282.39847,123.93198,61.10607,-265.16516,
2,0.94149542,4,4,1,277.19769,119.96945,61.83612,-260.81998,
2,0.88807511,4,4,1,272.16354,115.77968,62.58683,-256.64923,
2,0.83656001,4,4,1,267.3089,111.36463,63.3552,-252.66397,
2,0.78711939,4,4,1,262.64978,106.73666,64.14272,-248.87685,
2,0.73988742,4,4,1,258.19876,101.90096,64.94671,-245.29877,
2,0.6949876,4,4,1,253.96754,96.86811,65.76457,-241.93924,
2,0.65253991,4,4,1,249.96741,91.65033,66.59481,-238.80759,
2,0.61266243,4,4,1,246.20947,86.25991,67.43703,-235.91333,
2,0.57546955,4,4,1,242.70453,80.70831,68.29118,-233.26616,
2,0.54106879,4,4,1,239.46271,75.00713,69.15722,-230.87546,
2,0.5095582,4,4,1,236.49324,69.1687,70.03522,-228.75003,
2,0.48102847,4,4,1,233.80469,63.20563,70.92524,-226.89827,
2,0.45555925,4,4,1,231.40454,57.13124,71.82735,-225.32782,
2,0.43322101,4,4,1,229.29944,50.95914,72.74152,-224.04572,
2,0.41407478,4,4,1,227.49516,44.70364,73.66791,-223.05832,
2,0.39817259,4,4,1,225.99658,38.37945,74.60678,-222.37135,
2,0.38555717,4,4,1,224.80775,32.00141,75.5582,-221.98988,
2,0.37626022,4,4,1,223.93164,25.58493,76.52234,-221.91805,
2,0.37030753,4,4,1,223.37067,19.14521,77.49908,-222.15961,
2,0.36771104,4,4,1,223.12598,12.69827,78.48846,-222.71704,
2,0.36847374,4,4,1,223.19786,6.2604,79.49066,-223.59203,
2,0.37259054,4,4,1,223.58582,-0.1522,80.50564,-224.78551,
2,0.38005009,4,4,1,224.28879,-6.52322,81.5334,-226.29782,
2,0.3908287,4,4,1,225.30452,-12.836,82.57401,-228.12804,
2,0.4048959,4,4,1,226.63017,-19.07404,83.62743,-230.27451,
2,0.42221552,4,4,1,228.26233,-25.22087,84.6936,-232.73489,
2,0.4427397,4,4,1,230.19646,-31.25984,85.77258,-235.50558,
2,0.46641526,4,4,1,232.42758,-37.17463,86.86429,-238.58224,
2,0.49318406,4,4,1,234.95018,-42.94899,87.96867,-241.95985,
2,0.5229767,4,4,1,237.75775,-48.56682,89.08569,-245.63205,
2,0.55572009,4,4,1,240.84338,-54.01236,90.21529,-249.59181,
2,0.59133732,4,4,1,244.19986,-59.27008,91.35741,-253.83148,
2,0.62974167,4,4,1,247.81897,-64.32484,92.51204,-258.3421,
2,0.67084616,4,4,1,251.69254,-69.16171,93.67924,-263.11438,
2,0.71455628,4,4,1,255.81165,-73.76646,94.85882,-268.13791,
2,0.76076841,4,4,1,260.16653,-78.12528,96.05079,-273.40112,
2,0.80938113,4,4,1,264.74765,-82.22485,97.25507,-278.89218,
2,0.86028498,4,4,1,269.54468,-86.0526,98.47145,-284.5983,
2,0.91336977,4,4,1,274.54724,-89.59647,99.69975,-290.50607,
2,0.96851641,4,4,1,279.74408,-92.84518,100.93998,-296.60104,
3,0.02560568,4,4,1,285.12399,-95.78786,102.19212,-302.86847,
3,0.08450077,4,4,1,290.6741,-98.41477,103.45589,-309.29285,
3,0.14506786,4,4,1,296.38174,-100.71705,104.73119,-315.85776,
3,0.20717789,4,4,1,302.23483,-102.68625,106.01807,-322.54663,
3,0.27069637,4,4,1,308.22061,-104.31499,107.31661,-329.3421,
3,0.33549201,4,4,1,314.32675,-105.59668,108.6264,-336.22699,
3,0.40142435,4,4,1,320.54004,-106.52603,109.94737,-343.18298,
3,0.46835467,4,4,1,326.84735,-107.09834,111.2794,-350.19177,
3,0.53613865,4,4,1,333.23511,-107.31019,112.62247,-357.23447,
3,0.60463601,4,4,1,339.69009,-107.15866,113.97633,-364.29239,
3,0.67369872,4,4,1,346.19833,-106.64252,115.34081,-371.34622,
3,0.74318057,4,4,1,352.74609,-105.76112,116.71575,-378.37674,
3,0.81292969,4,4,1,359.31906,-104.5152,118.10116,-385.36435,
3,0.8827967,4,4,1,365.90311,-102.90604,119.49702,-392.28964,
3,0.95262951,4,4,1,372.48395,-100.93633,120.90308,-399.13333,
4,0.02227453,4,4,1,379.04709,-98.60973,122.31911,-405.87616,
4,0.09155578,4,4,1,385.57593,-95.93129,123.74508,-412.49887,
4,0.16031267,4,4,1,392.05539,-92.90664,125.18087,-418.98254,
4,0.22839208,4,4,1,398.47098,-89.54223,126.62609,-425.30875,
4,0.29563338,4,4,1,404.80759,-85.84656,128.08078,-431.45895,
4,0.36183834,4,4,1,411.04657,-81.83025,129.54971,-437.41135,
4,0.42682654,4,4,1,417.17084,-77.49903,131.03665,-443.14517,
