Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
17,0.46909493,17,19,1386.33032,208.77065,-108.85625,-1293.21729,Start shortcut with snaking for more distance
17,0.68519205,17,19,1394.30151,210.25385,-104.91995,-1301.18848,Retired
17,0.8967827,17,20,1401.93579,211.82434,-101.30246,-1308.82275,
18,0.21560265,17,20,1409.23364,213.57719,-98.01137,-1316.12061,
18,0.63984525,17,20,1416.19067,215.58212,-95.05155,-1323.07764,
19,0.20199898,17,20,1422.88391,217.88315,-92.41122,-1329.77087,
21,0.67206454,17,20,1453.08154,220.01517,-89.9996,-1336.59583,
22,0.57688695,17,20,1488.89087,221.31581,-87.60921,-1343.6637,
23,0.09552999,17,20,1510.55042,221.82948,-85.24963,-1350.92493,
23,0.38597474,17,20,1523.71948,221.13187,-82.82512,-1358.01514,
23,0.69069952,17,20,1537.53601,219.43494,-80.38828,-1365.21362,
24,0.00601806,17,20,1551.85181,216.98727,-77.99502,-1372.54224,
24,0.21086806,17,20,1561.78296,213.96712,-75.68179,-1379.95691,
24,0.42295009,17,20,1572.0647,210.47516,-73.46867,-1387.41638,
24,0.64149559,17,20,1582.65979,206.55777,-71.36835,-1394.89734,
24,0.8664704,17,20,1593.56653,202.2319,-69.39374,-1402.39246,
25,0.07337317,17,20,1603.68005,197.50949,-67.59636,-1409.96338,
25,0.25124961,17,20,1612.50427,192.43016,-66.02111,-1417.63855,
25,0.43492809,17,20,1621.61633,187.0343,-64.70506,-1425.42603,
25,0.62286091,17,20,1630.93958,181.39801,-63.64418,-1433.28711,
25,0.81360328,17,20,1640.4021,175.57964,-62.81815,-1441.1803,
26,0.00528082,17,20,1649.90527,169.61359,-62.20113,-1449.0697,
26,0.17405996,17,20,1658.09497,163.51817,-61.7666,-1456.92615,
26,0.34206024,17,20,1666.24683,157.30089,-61.4907,-1464.72693,
26,0.50881946,17,20,1674.3385,150.96413,-61.35287,-1472.45459,
26,0.67396158,17,20,1682.35168,144.50882,-61.33548,-1480.09546,
26,0.83716267,17,20,1690.27063,137.93591,-61.4234,-1487.63855,
26,0.99814218,17,20,1698.08191,131.24669,-61.60347,-1495.07495,
27,0.15254556,17,20,1705.10083,124.44257,-61.86452,-1502.39758,
27,0.30315313,17,20,1711.94153,117.52544,-62.1968,-1509.60022,
27,0.44957754,17,20,1718.59229,110.5483,-62.58172,-1516.67651,
27,0.59181303,17,20,1725.05273,103.49017,-63.00937,-1523.61902,
27,0.72984844,17,20,1731.32251,96.33922,-63.47415,-1530.42322,
27,0.86366194,17,20,1737.40039,89.09029,-63.97241,-1537.08618,
27,0.99322152,17,20,1743.28516,81.74235,-64.50071,-1543.60535,
28,0.1249233,17,20,1748.72168,74.29658,-65.05566,-1549.97839,
28,0.25179106,17,20,1753.9303,66.75512,-65.63423,-1556.20313,
28,0.37349355,17,20,1758.92676,59.12064,-66.23336,-1562.27734,
28,0.49008939,17,20,1763.71362,51.39596,-66.85012,-1568.19885,
28,0.60164535,17,20,1768.29358,43.58408,-67.48168,-1573.96533,
28,0.70824045,17,20,1772.6698,35.68768,-68.1255,-1579.57471,
28,0.80995297,17,20,1776.84558,27.70945,-68.77927,-1585.0249,
28,0.9068709,17,20,1780.82458,19.6521,-69.44097,-1590.31384,
28,0.99908173,17,20,1784.61023,11.51813,-70.10874,-1595.43945,
29,0.09961701,17,20,1788.35706,3.30996,-70.78127,-1600.40002,
29,0.19519137,17,20,1791.91565,-4.97002,-71.45734,-1605.1936,
29,0.28578839,17,20,1795.28894,-13.31912,-72.13554,-1609.81836,
29,0.37152764,17,20,1798.48145,-21.73493,-72.81529,-1614.27283,
29,0.45252997,17,20,1801.49744,-30.21482,-73.49581,-1618.55542,
29,0.52891195,17,20,1804.34143,-38.75628,-74.17656,-1622.66455,
29,0.60078865,17,20,1807.0177,-47.35641,-74.8567,-1626.59863,
29,0.66827857,17,20,1809.53064,-56.01244,-75.5358,-1630.3562,
29,0.73149562,17,20,1811.88452,-64.72128,-76.21321,-1633.93591,
29,0.79055333,17,20,1814.08337,-73.48006,-76.88856,-1637.3363,
29,0.84556514,17,20,1816.13171,-82.28578,-77.56161,-1640.55615,
29,0.89664435,17,20,1818.03357,-91.13538,-78.23201,-1643.59424,
29,0.94389677,17,20,1819.79297,-100.02575,-78.89943,-1646.44934,
29,0.98742998,17,20,1821.41394,-108.9537,-79.5636,-1649.12024,
30,0.03868118,17,20,1823.29431,-117.91601,-80.22429,-1651.60583,
30,0.09184875,17,20,1825.2356,-126.89573,-80.95525,-1653.96753,
30,0.14432205,17,20,1827.15161,-135.83693,-81.87624,-1656.33191,
30,0.19809294,17,20,1829.11499,-144.66568,-83.04694,-1658.80261,
30,0.25430128,17,20,1831.16724,-153.32454,-84.47987,-1661.44104,
30,0.31159538,17,20,1833.25928,-161.84067,-86.10462,-1664.17725,
30,0.36878511,17,20,1835.34741,-170.25015,-87.87383,-1666.94836,
