Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
17,0.66019773,17,19,1370.1427,254.56735,-117.1264,-1277.02966,Start shortcut with snaking for more distance
17,0.87801564,17,19,1379.23267,255.13556,-112.85767,-1286.11963,Survived
18,0.15078402,18,19,1388.10913,255.51254,-109.03963,-1294.99609,Lap length is ~18457.18945
18,0.50165164,18,19,1396.80811,255.67201,-105.75889,-1303.69507,Last checkpoint is 476
18,0.8551091,18,20,1405.35889,255.57903,-103.1056,-1312.24585,
19,0.40880024,19,20,1413.79846,255.1981,-100.38191,-1320.68542,
20,0.19787085,20,20,1422.23572,254.45201,-97.96163,-1329.12268,
21,0.20581982,20,20,1435.75964,252.32498,-95.90805,-1336.60681,
22,0.10144308,20,20,1469.41956,248.79536,-94.00919,-1343.84497,
22,0.68838114,20,20,1493.45691,243.96474,-92.287,-1351.20142,
23,0.181421,20,20,1514.44482,238.34137,-90.76231,-1358.64526,
23,0.5521453,20,20,1531.25391,232.21927,-89.44122,-1366.11353,
23,0.93785465,20,20,1548.74231,225.74632,-88.32119,-1373.54883,
24,0.2107347,20,20,1561.77649,218.9872,-87.39652,-1380.90747,
24,0.46392691,20,20,1574.05127,211.96504,-86.661,-1388.15771,
24,0.72009355,20,20,1586.47021,204.68503,-86.10908,-1395.2771,
24,0.97918159,20,20,1599.03076,197.14491,-85.73663,-1402.25037,
25,0.17418616,20,20,1608.68127,189.33986,-85.54153,-1409.06787,
25,0.36298096,20,20,1618.04712,181.26497,-85.52364,-1415.72449,
25,0.55110323,20,20,1627.37976,172.91408,-85.68565,-1422.21814,
25,0.73846418,20,20,1636.67456,164.2805,-86.0332,-1428.5498,
25,0.92501873,20,20,1645.92932,155.35736,-86.5754,-1434.72278,
26,0.09370507,20,20,1654.19592,146.28787,-87.27419,-1440.74475,
26,0.24811985,20,20,1661.6886,137.03413,-88.12241,-1446.58936,
26,0.39832789,20,20,1668.97705,127.58907,-89.10767,-1452.23865,
26,0.5439679,20,20,1676.04395,117.96015,-90.21355,-1457.67847,
26,0.68471283,20,20,1682.87329,108.16041,-91.42196,-1462.89722,
26,0.82029563,20,20,1689.45215,98.20361,-92.71506,-1467.88525,
26,0.95050061,20,20,1695.77014,88.10289,-94.07565,-1472.63391,
27,0.07199005,20,20,1701.44189,77.87003,-95.48836,-1477.13586,
27,0.18515491,20,20,1706.58191,67.51588,-96.93969,-1481.38489,
27,0.29192731,20,20,1711.43164,57.05032,-98.41758,-1485.37561,
27,0.39239097,20,20,1715.99475,46.48268,-99.91186,-1489.10376,
27,0.48665047,20,20,1720.27612,35.82174,-101.41364,-1492.56531,
27,0.57483137,20,20,1724.28137,25.07623,-102.91495,-1495.75696,
27,0.65707409,20,20,1728.01697,14.2543,-104.40961,-1498.6759,
27,0.733531,20,20,1731.48975,3.36409,-105.89198,-1501.3197,
27,0.80436087,20,20,1734.70691,-7.58653,-107.35764,-1503.68616,
27,0.86972904,20,20,1737.67603,-18.58951,-108.80252,-1505.77344,
27,0.92979634,20,20,1740.4043,-29.63685,-110.22292,-1507.57947,
27,0.98473728,20,20,1742.89978,-40.72094,-111.61633,-1509.10303,
28,0.03640763,20,20,1745.08777,-51.83444,-112.9811,-1510.34277,
28,0.0836717,20,20,1747.0282,-62.96975,-114.31553,-1511.29761,
28,0.12596959,20,20,1748.76465,-74.11926,-115.61812,-1511.96643,
28,0.1635056,20,20,1750.30579,-85.27547,-116.88787,-1512.34851,
28,0.19647552,20,20,1751.6593,-96.43121,-118.12458,-1512.44312,
28,0.22506976,20,20,1752.83325,-107.57903,-119.3279,-1512.24988,
28,0.24947017,20,20,1753.83496,-118.71159,-120.49795,-1511.76843,
28,0.26985285,20,20,1754.67175,-129.82146,-121.63482,-1510.99878,
28,0.28638771,20,20,1755.35059,-140.90114,-122.73875,-1509.94116,
28,0.29923525,20,20,1755.87805,-151.94316,-123.80999,-1508.5957,
28,0.3085517,20,20,1756.26062,-162.94006,-124.84914,-1506.96301,
28,0.31448418,20,20,1756.50415,-173.88423,-125.85651,-1505.04382,
28,0.31721643,20,20,1756.61633,-184.77219,-126.84028,-1502.84204,
28,0.31691545,20,20,1756.604,-195.59644,-127.80281,-1500.36194,
28,0.31667647,20,20,1756.59412,-206.41856,-129.02594,-1497.88367,
28,0.32406926,20,20,1756.89771,-217.15213,-130.85854,-1496.19421,
28,0.34281719,20,20,1757.66736,-227.55745,-133.18048,-1495.76538,
28,0.37179795,20,20,1758.85718,-237.62224,-135.88805,-1496.52661,
28,0.40800154,20,20,1760.34351,-247.47653,-138.97485,-1498.16577,
28,0.44937947,20,20,1762.04224,-257.16092,-142.37714,-1500.47888,
28,0.49428263,20,20,1763.88574,-266.69495,-146.02844,-1503.29944,
28,0.5416519,20,20,1765.83044,-276.0748,-149.86232,-1506.52234,
28,0.59084862,20,20,1767.85022,-285.28845,-153.82318,-1510.08508,
28,0.64141846,20,20,1769.92639,-294.32773,-157.87088,-1513.94141,
28,0.69310743,20,20,1772.04846,-303.18259,-161.97351,-1518.06506,
28,0.74577779,20,20,1774.21082,-311.84357,-166.10681,-1522.44153,
28,0.79886854,20,20,1776.3905,-320.34238,-170.28238,-1527.00024,
28,0.85203832,20,20,1778.57336,-328.69797,-174.50526,-1531.69641,
28,0.90310174,20,20,1780.6698,-337.03748,-178.82739,-1536.25647,
28,0.95107931,20,20,1782.63953,-345.40527,-183.24808,-1540.55444,
28,0.99644905,20,20,1784.5022,-353.77512,-187.75278,-1544.64246,
29,0.04828268,20,20,1786.44568,-362.12064,-192.33176,-1548.58008,
29,0.09953914,20,20,1788.35425,-370.39523,-196.97444,-1552.47974,
29,0.15008359,20,20,1790.23621,-378.57193,-201.67329,-1556.40222,
29,0.20082945,20,20,1792.12561,-386.60651,-206.41287,-1560.44019,
29,0.25089175,20,20,1793.98962,-394.5426,-211.2068,-1564.49854,
29,0.30017856,20,20,1795.82483,-402.38614,-216.05617,-1568.56458,
29,0.34863904,20,20,1797.62915,-410.14142,-220.96162,-1572.62939,
29,0.39625022,20,20,1799.40198,-417.81116,-225.9234,-1576.68762,
29,0.44301093,20,20,1801.14307,-425.39722,-230.94154,-1580.73584,
29,0.48893017,20,20,1802.85278,-432.90091,-236.01595,-1584.77185,
29,0.53402001,20,20,1804.53162,-440.32327,-241.14644,-1588.79407,
29,0.57829463,20,20,1806.18018,-447.66525,-246.33289,-1592.80103,
29,0.62534553,20,20,1807.93213,-454.70117,-251.47337,-1597.18567,
29,0.67636281,20,20,1809.83167,-461.30664,-256.46396,-1602.08398,
29,0.73180485,20,20,1811.896,-467.38684,-261.19598,-1607.55115,
29,0.79022747,20,20,1814.07129,-473.07019,-265.76053,-1613.4231,
29,0.85100675,20,20,1816.33435,-478.46524,-270.27426,-1619.62439,
29,0.91348457,20,20,1818.66064,-483.62894,-274.77615,-1626.07898,
29,0.97711164,20,20,1821.02979,-488.5943,-279.27701,-1632.72412,
30,0.06923284,20,20,1824.40991,-493.38022,-283.7764,-1639.51343,
30,0.17764485,20,20,1828.36829,-497.99808,-288.27112,-1646.41431,
30,0.28677639,20,20,1832.35303,-502.45358,-292.75629,-1653.40479,
30,0.39648068,20,20,1836.35864,-506.75104,-297.23151,-1660.47339,
30,0.506639,20,20,1840.38086,-510.89621,-301.69965,-1667.6106,
30,0.61717325,20,20,1844.41687,-514.8927,-306.16202,-1674.80933,
30,0.72774303,20,20,1848.4541,-518.76465,-310.63773,-1682.04517,
30,0.83802414,20,20,1852.48083,-522.53552,-315.1452,-1689.29492,
30,0.94799376,20,20,1856.49609,-526.20691,-319.68484,-1696.55566,
30,1,20,20,1858.39502,-529.77991,-324.25653,-1703.82507,
30,1,20,20,1858.39502,-533.27289,-328.87399,-1711.08521,
30,1,20,20,1858.39502,-536.70044,-333.54745,-1718.3219,
30,1,20,20,1858.39502,-540.06049,-338.27426,-1725.53601,
30,1,20,20,1858.39502,-543.37848,-343.07227,-1732.70361,
51,0.92283487,20,51,2847.55151,-546.67151,-348.04495,-1739.80688,
51,0.99592704,51,51,2853.75342,-549.80951,-348.35236,-1746.59399,
52,0.02839603,52,51,2857.27393,-552.83966,-348.33264,-1753.17114,
52,0.05758308,52,52,2860.53711,-555.75836,-348.2308,-1759.5553,
52,0.08570079,52,52,2863.68066,-558.57013,-348.17538,-1765.75769,
52,0.11358961,52,52,2866.79883,-561.35901,-347.72726,-1771.76208,
52,0.14564227,52,52,2870.38232,-564.56427,-346.33191,-1777.42249,
52,0.1843618,52,52,2874.71143,-568.43622,-344.75769,-1782.59143,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
