Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
117,0.06226362,117,116,5349.39111,-395.85059,-122.10293,-147.16457,Glide to waterfall area
117,0.4941341,117,117,5362.17627,-397.62231,-121.40984,-137.50752,Retired
117,0.92509186,117,117,5374.93408,-399.89383,-120.83241,-127.89123,
118,0.35529518,118,117,5387.63135,-402.66861,-120.36962,-118.344,
118,0.78217578,118,118,5400.22217,-405.9494,-120.01905,-108.89523,
119,0.20784113,119,118,5412.76416,-409.73813,-119.77773,-99.57516,
119,0.62893468,119,119,5425.15771,-414.03537,-119.64265,-90.41503,
119,1,119,119,5436.0791,-418.85471,-119.40212,-81.48558,
119,1,119,119,5436.0791,-423.85974,-119.60165,-72.61436,
119,1,119,119,5436.0791,-429.01816,-119.96656,-63.74824,
119,1,119,119,5436.0791,-434.04562,-120.34761,-54.83098,
119,1,119,119,5436.0791,-438.98044,-120.76849,-45.90739,
120,0.31454641,119,119,5444.41602,-443.85022,-121.24052,-36.99498,
120,0.69619638,119,119,5454.53174,-448.67285,-121.76868,-28.10101,
121,0.07648108,119,119,5464.61426,-453.45956,-122.35457,-19.22808,
121,0.45021948,119,119,5474.53564,-458.14563,-122.97636,-10.49735,
121,0.81941599,119,119,5484.33594,-462.7641,-123.63178,-1.86658,
122,0.18525264,119,119,5494.06006,-467.3342,-124.3186,6.68932,
122,0.54846078,119,119,5503.72656,-471.8674,-125.03474,15.18609,
122,0.90951365,119,119,5513.33594,-476.37082,-125.77847,23.6341,
123,0.26873204,119,119,5522.91846,-480.84894,-126.54826,32.04058,
123,0.6263451,119,119,5532.46533,-485.30481,-127.34295,40.41076,
123,0.98251516,119,119,5541.97412,-489.74054,-128.16159,48.74846,
124,0.33736664,119,119,5551.47852,-494.15753,-129.0034,57.05664,
124,0.69099271,119,119,5560.95117,-498.5567,-129.86775,65.33762,
125,0.04346639,119,119,5570.39697,-502.93872,-130.75417,73.59323,
125,0.39484355,119,119,5579.84082,-507.30405,-131.66231,81.82486,
125,0.74516582,119,119,5589.25586,-511.65302,-132.59189,90.03364,
126,0.094464,119,119,5598.65137,-515.98578,-133.54272,98.22044,
126,0.44276169,119,119,5608.04004,-520.30243,-134.51466,106.38599,
126,0.79007822,119,119,5617.40234,-524.60309,-135.50766,114.53075,
127,0.13642693,119,119,5626.74707,-528.88788,-136.52165,122.65505,
127,0.48181447,119,119,5636.07861,-533.15668,-137.55661,130.75919,
127,0.8262462,119,119,5645.38477,-537.40961,-138.61253,138.84326,
128,0.1697261,119,119,5654.67236,-541.64648,-139.68936,146.90746,
128,0.51225424,119,119,5663.94287,-545.86731,-140.78711,154.95177,
128,0.85383004,119,119,5673.18701,-550.07202,-141.90572,162.97624,
129,0.19445293,119,119,5682.41016,-554.2605,-143.04514,170.9809,
129,0.53411937,119,119,5691.61035,-558.43274,-144.20532,178.96567,
129,0.87282878,119,119,5700.78467,-562.58868,-145.38622,186.93057,
130,0.21058093,119,119,5709.93262,-566.72839,-146.58775,194.87561,
130,0.54737753,119,119,5719.05518,-570.85181,-147.80981,202.80083,
130,0.88321942,119,119,5728.15186,-574.95905,-149.05232,210.70616,
131,0.2181074,119,119,5737.21777,-579.05011,-150.31519,218.59161,
131,0.55203998,119,119,5746.25537,-583.12512,-151.59825,226.45709,
131,0.88501322,119,119,5755.26709,-587.18396,-152.90134,234.30255,
132,0.2170258,119,119,5764.24268,-591.22681,-154.22426,242.12785,
132,0.54807317,119,119,5773.18701,-595.25366,-155.5668,249.93289,
132,0.87815785,119,119,5782.10498,-599.26453,-156.92868,257.71765,
133,0.2072777,119,119,5790.98438,-603.2594,-158.30962,265.48212,
133,0.53543031,119,119,5799.83008,-607.23834,-159.70934,273.22623,
133,0.86262023,119,119,5808.6499,-611.20148,-161.12756,280.94995,
134,0.18884508,119,119,5817.42822,-615.14886,-162.564,288.65329,
134,0.51410717,119,119,5826.16992,-619.08063,-164.01836,296.33618,
134,0.83841115,119,119,5834.88623,-622.99695,-165.49033,303.99863,
135,0.16175698,119,119,5843.56201,-626.89789,-166.97963,311.64063,
135,0.48414469,119,119,5852.19824,-630.78351,-168.48592,319.26221,
135,0.80558115,119,119,5860.80908,-634.65399,-170.0089,326.86337,
136,0.12606639,119,119,5869.38281,-638.50952,-171.54829,334.44412,
136,0.44560501,119,119,5877.91357,-642.35016,-173.10379,342.00449,
136,0.76420164,119,119,5886.41943,-646.17615,-174.67511,349.54446,
137,0.08185851,119,119,5894.89355,-649.98755,-176.26193,357.06409,
137,0.39857799,119,119,5903.32275,-653.78455,-177.864,364.56335,
137,0.71436471,119,119,5911.72705,-657.56732,-179.48102,372.0423,
138,0.02922087,119,119,5920.10498,-661.336,-181.11272,379.50095,
138,0.34315348,119,119,5928.43848,-665.09076,-182.75882,386.93933,
138,0.65614402,119,119,5936.74707,-668.83136,-184.41904,394.35712,
138,0.96819031,119,119,5945.03076,-672.55786,-186.09311,401.75406,
139,0.27928537,119,119,5953.27734,-676.27032,-187.78082,409.13007,
139,0.58943605,119,119,5961.49805,-679.96893,-189.48192,416.48514,
139,0.8986448,119,119,5969.69336,-683.65369,-191.19614,423.8194,
140,0.82073069,119,119,5983.12256,-687.32465,-192.92323,431.1329,
142,0.00023164,119,119,5998.59717,-690.98206,-194.66302,438.42572,
143,0.10168795,119,119,6013.12842,-694.62604,-196.41528,445.69788,
144,0.10650579,119,119,6026.46289,-698.25665,-198.17981,452.94949,
145,0.80621445,119,119,6038.48389,-705.47852,-201.74501,467.39124,
145,0.80621445,119,119,6049.2041,-705.47852,-201.74501,467.39124,
146,0.51012474,119,119,6058.68652,-709.06989,-203.54535,474.58151,
147,0.12845479,119,119,6067.03516,-712.6485,-205.35733,481.75143,
147,0.67109644,119,119,6074.38672,-716.21442,-207.18082,488.90103,
148,0.14904544,119,119,6080.86768,-719.7677,-209.01569,496.0304,
148,0.57023895,119,119,6086.59082,-723.30847,-210.86183,503.13959,
148,0.94337207,119,119,6091.66064,-726.83679,-212.71915,510.22861,
149,0.27536595,119,119,6096.17725,-730.35278,-214.58757,517.29749,
149,0.57130224,119,119,6100.20361,-733.85675,-216.46709,524.34625,
149,0.83670926,119,119,6103.81543,-737.34869,-218.35767,531.375,
150,0.07599961,119,119,6107.07129,-740.8288,-220.25929,538.38385,
150,0.29206806,119,119,6110.01172,-744.29712,-222.17198,545.3728,
150,0.48791346,119,119,6112.67676,-747.75385,-224.09578,552.34192,
150,0.66623104,119,119,6115.10303,-751.19897,-226.03069,559.29126,
150,0.82925963,119,119,6117.32178,-754.63251,-227.97675,566.22089,
150,0.97887135,119,119,6119.35742,-758.05457,-229.93401,573.1308,
151,0.11649784,119,119,6121.22754,-761.46509,-231.9025,580.02118,
151,0.24328901,119,119,6122.9502,-764.86432,-233.88234,586.89191,
151,0.36045295,119,119,6124.54199,-768.2522,-235.87361,593.7431,
151,0.46904799,119,119,6126.01758,-771.62885,-237.87643,600.57477,
151,0.56997508,119,119,6127.38867,-774.99445,-239.89093,607.3869,
151,0.66400856,119,119,6128.66602,-778.34888,-241.91721,614.17957,
151,0.75183231,119,119,6129.85938,-781.69232,-243.9554,620.95276,
151,0.83402979,119,119,6130.97607,-785.02466,-246.00563,627.70654,
151,0.91112041,119,119,6132.02344,-788.34601,-248.06805,634.44098,
151,0.98356175,119,119,6133.00781,-791.65631,-250.14282,641.15613,
152,0.05172554,119,119,6133.93164,-794.95569,-252.23012,647.85199,
152,0.11591629,119,119,6134.80127,-798.24414,-254.33011,654.52856,
152,0.17646281,119,119,6135.62158,-801.52173,-256.44299,661.18585,
