Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
117,0.16519704,117,116,5352.43848,-379.1604,-114.89043,-140.45805,Glide to waterfall area
117,0.52414244,117,117,5363.06445,-382.02509,-114.37749,-131.80771,Survived
117,0.88235587,117,117,5373.66895,-385.1889,-113.96367,-123.3075,
118,0.24161576,118,117,5384.27832,-388.69662,-113.66197,-114.94983,
118,0.60013783,118,118,5394.85303,-392.57654,-113.48026,-106.74079,
118,0.96010822,118,118,5405.47021,-396.84436,-113.42622,-98.69401,
119,0.32135871,119,118,5416.10547,-401.50778,-113.5055,-90.82793,
119,0.68230581,119,119,5426.72852,-406.56796,-113.72413,-83.16334,
119,1,119,119,5436.0791,-412.02179,-114.08737,-75.72259,
119,1,119,119,5436.0791,-418.36154,-115.40646,-69.67651,
119,1,119,119,5436.0791,-425.49594,-117.38953,-64.45004,
119,1,119,119,5436.0791,-433.06848,-119.5994,-59.16549,
119,1,119,119,5436.0791,-440.03134,-121.40955,-52.98224,
120,0.06202093,119,119,5437.72314,-446.61026,-123.01954,-46.31567,
120,0.40783289,119,119,5446.88867,-452.94901,-124.53808,-39.39364,
120,0.75506479,119,119,5456.0918,-459.13715,-126.02406,-32.34123,
121,0.10249012,119,119,5465.30469,-465.22937,-127.50896,-25.22752,
121,0.44947612,119,119,5474.51563,-471.25842,-129.00922,-18.09078,
121,0.7956906,119,119,5483.70654,-477.24362,-130.53307,-10.95231,
122,0.14095838,119,119,5492.88135,-483.19617,-132.08426,-3.82397,
122,0.48518574,119,119,5502.04297,-489.12253,-133.6642,3.28766,
122,0.82832307,119,119,5511.17529,-495.02618,-135.27303,10.37904,
123,0.17034452,119,119,5520.29199,-500.90906,-136.91034,17.44825,
123,0.51123506,119,119,5529.39258,-506.77216,-138.57549,24.4943,
123,0.85099131,119,119,5538.46289,-512.61597,-140.26776,31.51674,
124,0.18961024,119,119,5547.52002,-518.44061,-141.98642,38.5155,
124,0.5279488,119,119,5556.5835,-523.60577,-143.49229,45.88644,
124,0.86241686,119,119,5565.54346,-527.80048,-144.69843,53.69924,
125,0.20032959,119,119,5574.61328,-531.44977,-145.71948,61.93227,
125,0.54319286,119,119,5583.82764,-534.8103,-146.64018,70.48353,
125,0.89021462,119,119,5593.1543,-538.02771,-147.51723,79.24461,
126,0.23999369,119,119,5602.57422,-541.1792,-148.38559,88.12818,
126,0.59123719,119,119,5612.04248,-544.30249,-149.26532,97.07282,
126,0.94295746,119,119,5621.52344,-547.41394,-150.16708,106.03894,
127,0.2944867,119,119,5631.01758,-550.51923,-151.09602,115.00276,
127,0.64540422,119,119,5640.49854,-553.61926,-152.05426,123.9509,
127,0.99546266,119,119,5649.95654,-556.71307,-153.04234,132.87636,
128,0.34452963,119,119,5659.40332,-559.79938,-154.06015,141.77577,
128,0.6925348,119,119,5668.82178,-562.87695,-155.1073,150.64775,
129,0.03944958,119,119,5678.21143,-565.94507,-156.18329,159.49185,
129,0.38526675,119,119,5687.57861,-569.00299,-157.28757,168.30818,
129,0.72687709,119,119,5696.83105,-572.84796,-158.70718,176.54135,
130,0.06354775,119,119,5705.9502,-577.11353,-160.3192,184.3806,
130,0.39640585,119,119,5714.96582,-581.5509,-162.0325,192.004,
130,0.72684443,119,119,5723.9165,-585.83411,-163.73016,199.64243,
131,0.05615004,119,119,5732.83447,-590.02625,-165.42703,207.29871,
131,0.38398367,119,119,5741.70703,-593.92499,-167.0575,215.07935,
131,0.71078897,119,119,5750.55176,-597.4696,-168.59973,223.03296,
132,0.03775193,119,119,5759.39893,-600.71155,-170.06528,231.16615,
132,0.36623356,119,119,5768.27393,-603.7865,-171.4921,239.44221,
132,0.69616276,119,119,5777.18799,-606.77368,-172.90593,247.81328,
133,0.02699596,119,119,5786.12451,-609.71625,-174.32292,256.23776,
133,0.35814738,119,119,5795.05127,-612.63635,-175.7525,264.68491,
133,0.68913758,119,119,5803.97363,-615.54425,-177.19975,273.13419,
134,0.01962568,119,119,5812.88037,-618.44397,-178.66708,281.57285,
134,0.34939286,119,119,5821.74316,-621.33661,-180.15544,289.99347,
134,0.67830324,119,119,5830.58301,-624.22198,-181.66502,298.39209,
135,0.00628317,119,119,5839.39746,-627.09979,-183.19572,306.76666,
135,0.3332957,119,119,5848.15723,-629.96954,-184.74722,315.11627,
135,0.65932477,119,119,5856.89111,-632.83081,-186.31912,323.44064,
135,0.9843635,119,119,5865.59814,-635.68335,-187.91107,331.73978,
136,0.3084164,119,119,5874.25098,-638.52716,-189.52272,340.01373,
136,0.63148123,119,119,5882.87598,-641.362,-191.1537,348.26273,
136,0.95356721,119,119,5891.4751,-644.18793,-192.80373,356.48688,
137,0.27468124,119,119,5900.02539,-647.00513,-194.47252,364.68628,
137,0.5948233,119,119,5908.54541,-649.81354,-196.15977,372.86108,
137,0.9140026,119,119,5917.04053,-652.61328,-197.86523,381.01138,
138,0.2322906,119,119,5925.49561,-655.41638,-199.59203,389.13248,
138,0.54988527,119,119,5933.92627,-658.27704,-201.35565,397.19916,
138,0.86627543,119,119,5942.3252,-661.16595,-203.14902,405.21262,
139,0.18134309,119,119,5950.68164,-664.06549,-204.96701,413.17947,
139,0.49512869,119,119,5958.99854,-666.9657,-206.80623,421.10681,
139,0.80772543,119,119,5967.28369,-669.86127,-208.66452,429.00037,
140,0.38121331,119,119,5977.36963,-672.74963,-210.54057,436.8642,
141,0.34125128,119,119,5989.94824,-675.62964,-212.43356,444.70102,
142,0.24123749,119,119,6001.7749,-678.5238,-214.34941,452.5025,
143,0.07329074,119,119,6012.75195,-681.4447,-216.29192,460.25955,
143,0.83595544,119,119,6022.86621,-684.42084,-218.26953,467.95432,
144,0.53305537,119,119,6032.15381,-687.48871,-220.29367,475.55988,
145,0.16602771,119,119,6040.6123,-690.61206,-222.35518,483.08423,
145,0.73773223,119,119,6048.28516,-693.75946,-224.44492,490.54407,
146,0.25416306,119,119,6055.23389,-696.91376,-226.55719,497.95383,
146,0.72056496,119,119,6061.52539,-700.0874,-228.69473,505.31305,
147,0.14792429,119,119,6067.29883,-703.34991,-230.87743,512.58374,
147,0.54634672,119,119,6072.69678,-706.81403,-233.14098,519.67719,
147,0.91639841,119,119,6077.70996,-710.40912,-235.46681,526.61835,
148,0.25833791,119,119,6082.35303,-714.06842,-237.83484,533.45172,
148,0.57858789,119,119,6086.7041,-717.85828,-240.2648,540.13385,
148,0.87695313,119,119,6090.7583,-721.71265,-242.7366,546.71155,
149,0.15429564,119,119,6094.52979,-725.59613,-245.23865,553.21686,
149,0.41107646,119,119,6098.02344,-729.48944,-247.76422,559.67072,
149,0.64907932,119,119,6101.26221,-733.38226,-250.30951,566.08624,
149,0.87012976,119,119,6104.27002,-737.26904,-252.87239,572.47131,
150,0.07533956,119,119,6107.0625,-741.13751,-255.44885,578.83746,
150,0.26347211,119,119,6109.62256,-744.94385,-258.02576,585.21735,
150,0.43094715,119,119,6111.90137,-748.58575,-260.57364,591.67798,
150,0.57764816,119,119,6113.89746,-752.02325,-263.08041,598.25232,
150,0.70517975,119,119,6115.6333,-755.25342,-265.54419,604.95233,
150,0.8183614,119,119,6117.17334,-758.34772,-267.98291,611.7533,
150,0.92112815,119,119,6118.57178,-761.36755,-270.41336,618.61987,
151,0.01583675,119,119,6119.86035,-764.34637,-272.84592,625.52228,
151,0.10383948,119,119,6121.05566,-767.30157,-275.28665,632.43872,
151,0.18606307,119,119,6122.17285,-770.24176,-277.73904,639.35474,
151,0.26319599,119,119,6123.2207,-773.17084,-280.20502,646.26123,
151,0.33575577,119,119,6124.20654,-776.09027,-282.68561,653.15289,
151,0.40415573,119,119,6125.13574,-779.00055,-285.18146,660.02673,
151,0.46875396,119,119,6126.01367,-781.90173,-287.69293,666.88104,
151,0.52985525,119,119,6126.84375,-784.79376,-290.22037,673.71503,
151,0.58773583,119,119,6127.62988,-787.67651,-292.76404,680.52814,
151,0.64263523,119,119,6128.37598,-790.54987,-295.32419,687.32025,
151,0.69477528,119,119,6129.08398,-793.4137,-297.90109,694.09119,
151,0.74435198,119,119,6129.75781,-796.26782,-300.49496,700.84106,
151,0.79154164,119,119,6130.39893,-799.11218,-303.10608,707.56982,
151,0.83651215,119,119,6131.00977,-801.94672,-305.73474,714.27747,
151,0.87940878,119,119,6131.59277,-804.7713,-308.38123,720.96405,
151,0.9203707,119,119,6132.14893,-807.58594,-311.04581,727.62958,
151,0.95951658,119,119,6132.68115,-810.39044,-313.72879,734.27411,
151,0.9969604,119,119,6133.18945,-813.18475,-316.43048,740.89771,
152,0.03279444,119,119,6133.67529,-815.96881,-319.15121,747.50031,
152,0.06710031,119,119,6134.14014,-818.74255,-321.89133,754.08191,
152,0.09996919,119,119,6134.58545,-821.50586,-324.65115,760.64252,
152,0.13148089,119,119,6135.01221,-824.25861,-327.431,767.18219,
152,0.16222617,119,119,6135.42871,-827.01978,-330.23618,773.69086,
152,0.19376284,119,119,6135.85596,-829.8454,-333.08212,780.133,
152,0.2294284,119,119,6136.33936,-832.85822,-336.00403,786.41064,
152,0.27063599,119,119,6136.89746,-836.10931,-339.02032,792.44476,
152,0.31721538,119,119,6137.52832,-839.59375,-342.13321,798.20746,
152,0.36739886,119,119,6138.2085,-843.25134,-345.32669,803.74664,
152,0.41906068,119,119,6138.9082,-847.00775,-348.57928,809.13855,
152,0.47083589,119,119,6139.60986,-850.81378,-351.87674,814.43628,
152,0.52197945,119,119,6140.30273,-854.6413,-355.21103,819.67126,
152,0.57210058,119,119,6140.98193,-858.47424,-358.57776,824.86212,
152,0.62137491,119,119,6141.64941,-862.31781,-361.97867,830.00604,
152,0.66954744,119,119,6142.30176,-866.16034,-365.41077,835.11493,
152,0.71649581,119,119,6142.93799,-869.995,-368.87256,840.1958,
152,0.76217568,119,119,6143.55664,-873.81799,-372.36337,845.25281,
152,0.8065899,119,119,6144.15869,-877.62714,-375.883,850.28821,
152,0.84975147,119,119,6144.74316,-881.42102,-379.43152,855.30347,
152,0.89169341,119,119,6145.31152,-885.19873,-383.00916,860.29938,
152,0.93245143,119,119,6145.86377,-888.95978,-386.6163,865.27625,
152,0.97224051,119,119,6146.40283,-892.71112,-390.2554,870.22729,
153,0.0111819,119,119,6146.92969,-896.45618,-393.92795,875.14874,
153,0.04933885,119,119,6147.44434,-900.19696,-397.6351,880.03815,
153,0.08691864,119,119,6147.95166,-903.94116,-401.37958,884.88739,
153,0.12389917,119,119,6148.4502,-907.6864,-405.16141,889.69806,
153,0.16011542,119,119,6148.93896,-911.42426,-408.97885,894.47821,
153,0.19548854,119,119,6149.41602,-915.14978,-412.83118,899.2326,
153,0.22998494,119,119,6149.88135,-918.86005,-416.7182,903.96393,
153,0.26360118,119,119,6150.33496,-922.55334,-420.64011,908.67377,
153,0.29634452,119,119,6150.77686,-926.22845,-424.59723,913.36292,
153,0.32824245,119,119,6151.20703,-929.88513,-428.59024,918.03137,
153,0.36302283,119,119,6151.67627,-933.68463,-432.66602,922.4859,
153,0.40137923,119,119,6152.19385,-937.65448,-436.83731,926.67242,
153,0.44306448,119,119,6152.75635,-941.78375,-441.10767,930.59357,
153,0.48725894,119,119,6153.35254,-946.03741,-445.47601,934.2887,
153,0.53323156,119,119,6153.97266,-950.38025,-449.94394,937.78583,
153,0.5799492,119,119,6154.60303,-954.76312,-454.50104,941.13263,
153,0.6264168,119,119,6155.22998,-959.13629,-459.13708,944.37292,
153,0.67235136,119,119,6155.84961,-963.47705,-463.84735,947.50275,
153,0.71841955,119,119,6156.47119,-967.80078,-468.63214,950.45538,
153,0.76640308,119,119,6157.11865,-972.16107,-473.49023,953.07159,
153,0.81804466,119,119,6157.81543,-976.59943,-478.40411,955.1701,
153,0.87322807,119,119,6158.55957,-981.12238,-483.37405,956.79291,
180,0.4373484,119,180,7119.28613,-985.70764,-488.52777,958.03552,
180,0.43889558,119,180,7120.28027,-990.29565,-493.83978,958.94836,
180,0.43991643,119,180,7120.93652,-994.86066,-499.29193,959.55066,
180,0.44042343,119,180,7121.26221,-999.39557,-501.25812,959.84979,
180,0.44079626,180,180,7121.50195,-1003.75122,-501.59018,960.06976,
180,0.4446395,180,180,7123.97217,-1007.69177,-503.31271,962.33728,
180,0.44839153,180,180,7126.38379,-1011.59369,-505.16769,964.55096,
180,0.45218045,180,180,7128.81885,-1015.50311,-506.66916,966.78644,
180,0.45594695,180,180,7131.23975,-1019.49316,-507.90024,969.00867,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
