Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
36,0.96196228,36,36,7212.3125,747.85669,0.86377,2156.94409,End skip
37,0.00788465,37,36,7220.88379,741.81366,0.86634,2160.00952,Retired
37,0.01960382,37,37,7227.10645,735.59076,0.86871,2162.69214,
37,0.0316231,37,37,7233.48877,729.2085,0.87093,2164.98657,
37,0.04389468,37,37,7240.00488,722.69226,0.87299,2166.89038,
37,0.05637167,37,37,7246.63037,716.06696,0.87485,2168.40234,
37,0.06900773,37,37,7253.34033,709.35718,0.87633,2169.52246,
37,0.08175782,37,37,7260.11035,702.58685,0.87741,2170.25146,
37,0.09473987,37,37,7267.00391,695.69336,0.87416,2170.75098,
37,0.10772077,37,37,7273.89697,688.80048,0.8711,2171.27856,
37,0.12069304,37,37,7280.78516,681.91217,0.86885,2171.88037,
37,0.13367015,37,37,7287.67627,675.0213,0.8677,2172.50952,
37,0.14665449,37,37,7294.5708,668.12659,0.86759,2173.1499,
37,0.15964757,37,37,7301.47021,661.22723,0.86831,2173.79492,
37,0.17264962,37,37,7308.37451,654.32312,0.86924,2174.44263,
37,0.18566063,37,37,7315.2832,647.41425,0.86995,2175.09204,
37,0.19868061,37,37,7322.19727,640.50061,0.8701,2175.74243,
37,0.21170944,37,37,7329.11523,633.58228,0.8697,2176.39258,
37,0.224747,37,37,7336.03857,626.6593,0.86901,2177.04224,
37,0.23779295,37,37,7342.96582,619.73187,0.86839,2177.69189,
37,0.25084719,37,37,7349.89795,612.80005,0.8679,2178.3418,
37,0.26390958,37,37,7356.83398,605.86389,0.86748,2178.99219,
37,0.27697989,37,37,7363.77441,598.92352,0.86729,2179.64307,
37,0.29005793,37,37,7370.71875,591.97906,0.86711,2180.29443,
37,0.30314353,37,37,7377.66748,585.03058,0.86705,2180.94629,
37,0.3162365,37,37,7384.61963,578.07819,0.86715,2181.59863,
37,0.3293367,37,37,7391.57617,571.12195,0.86728,2182.25146,
37,0.34244394,37,37,7398.53613,564.16199,0.86724,2182.90479,
37,0.35555804,37,37,7405.49951,557.19836,0.86728,2183.55835,
37,0.36867896,37,37,7412.4668,550.23114,0.86721,2184.2124,
37,0.3818064,37,37,7419.4375,543.26044,0.86714,2184.8667,
37,0.39494041,37,37,7426.41211,536.28625,0.86706,2185.521,
37,0.40808073,37,37,7433.38965,529.30872,0.86702,2186.17554,
37,0.42122725,37,37,7440.37012,522.32788,0.86695,2186.83032,
37,0.43437976,37,37,7447.35449,515.34387,0.86695,2187.48535,
37,0.44753808,37,37,7454.34131,508.35675,0.86696,2188.14063,
37,0.4607023,37,37,7461.33154,501.36652,0.86697,2188.79492,
37,0.47387475,37,37,7468.32617,494.37192,0.86699,2189.43384,
37,0.4870545,37,37,7475.32471,487.37344,0.86701,2190.0625,
37,0.5002442,37,37,7482.32861,480.36969,0.86772,2190.53711,
37,0.5134576,37,37,7489.34521,473.35333,0.86875,2190.85083,
37,0.52668148,37,37,7496.36719,466.33142,0.86981,2190.99854,
37,0.53991461,37,37,7503.39355,459.30463,0.87042,2190.97021,
37,0.5531528,37,37,7510.42334,452.27512,0.87069,2190.75586,
37,0.56638962,37,37,7517.45215,445.24634,0.8703,2190.34595,
37,0.57960016,37,37,7524.4668,438.23151,0.86977,2189.71484,
37,0.59275883,37,37,7531.4541,431.24423,0.86915,2188.83203,
37,0.60582215,37,37,7538.39111,424.30759,0.86855,2187.66333,
37,0.618738,37,37,7545.24951,417.44925,0.86808,2186.17334,
37,0.6314652,37,37,7552.00781,410.69107,0.86741,2184.33716,
37,0.6439327,37,37,7558.62793,404.0708,0.86679,2182.13452,
37,0.65606403,37,37,7565.06982,397.62903,0.86616,2179.54224,
37,0.66774613,37,37,7571.27295,391.42581,0.86659,2176.58105,
37,0.67894274,37,37,7577.21826,385.48038,0.86654,2173.20654,
