Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
36,0.99282843,36,36,7215.87012,746.3645,0.86799,2160.40186,End skip
37,0.00610981,37,36,7219.94092,742.7561,0.86912,2166.01904,Survived
37,0.0132332,37,37,7223.72363,738.97357,0.87128,2171.52026,Lap length is ~10822.36719
37,0.02073716,37,37,7227.7085,734.98895,0.8743,2176.875,Last checkpoint is 58
37,0.02866227,37,37,7231.9165,730.7807,0.87803,2182.0459,
37,0.03703865,37,37,7236.36426,726.33282,0.88199,2187.00391,
37,0.04587619,37,37,7241.05713,721.64008,0.88571,2191.71997,
37,0.05517453,37,37,7245.99463,716.70264,0.88854,2196.16626,
37,0.06492495,37,37,7251.17236,711.52515,0.88991,2200.31665,
37,0.07510468,37,37,7256.57764,706.11969,0.88998,2204.13159,
37,0.0857136,37,37,7262.21094,700.48633,0.88804,2207.59131,
37,0.09670862,37,37,7268.04932,694.64795,0.88443,2210.67456,
37,0.10805709,37,37,7274.07568,688.62189,0.87942,2213.36523,
37,0.11971683,37,37,7280.26709,682.43054,0.87381,2215.65234,
37,0.13164531,37,37,7286.60107,676.0965,0.86815,2217.53271,
37,0.14379126,37,37,7293.05078,669.64697,0.86337,2219.0061,
37,0.15610467,37,37,7299.58887,663.10852,0.85982,2220.07397,
37,0.16853672,37,37,7306.19043,656.50708,0.85801,2220.73853,
37,0.18104002,37,37,7312.82959,649.8678,0.85774,2221.00317,
37,0.19356896,37,37,7319.48291,643.2149,0.85885,2220.87256,
37,0.20607939,37,37,7326.12598,636.57184,0.86097,2220.35205,
37,0.21852891,37,37,7332.73682,629.96112,0.86395,2219.44751,
37,0.23097302,37,37,7339.34424,623.35327,0.86596,2218.21045,
37,0.24340633,37,37,7345.94678,616.75116,0.86758,2216.74902,
37,0.25589803,37,37,7352.57959,610.11804,0.86915,2215.38721,
37,0.26838744,37,37,7359.21191,603.48615,0.87114,2214.04419,
37,0.2808888,37,37,7365.8501,596.8479,0.87263,2212.68408,
37,0.29339668,37,37,7372.4917,590.20618,0.87343,2211.31616,
37,0.30591586,37,37,7379.13965,583.55847,0.87355,2209.94604,
37,0.31844607,37,37,7385.79297,576.90491,0.87318,2208.5752,
37,0.33098695,37,37,7392.45215,570.24567,0.87253,2207.20264,
37,0.34353808,37,37,7399.11719,563.58099,0.8718,2205.82788,
37,0.35609943,37,37,7405.78711,556.91089,0.87119,2204.45117,
37,0.36867112,37,37,7412.46289,550.23529,0.87086,2203.07324,
37,0.38125294,37,37,7419.14355,543.55432,0.8708,2201.69409,
37,0.39384475,37,37,7425.83008,536.86804,0.87086,2200.31372,
37,0.40644646,37,37,7432.52148,530.17651,0.87089,2198.93213,
37,0.41905805,37,37,7439.21826,523.47974,0.87059,2197.54932,
37,0.43167928,37,37,7445.92041,516.77783,0.8701,2196.16553,
37,0.44430977,37,37,7452.62744,510.07098,0.86936,2194.78076,
37,0.45694947,37,37,7459.33887,503.35928,0.86873,2193.39502,
37,0.46959811,37,37,7466.05566,496.64282,0.86832,2192.0083,
37,0.48225558,37,37,7472.77637,489.92169,0.86816,2190.62061,
37,0.49492168,37,37,7479.50244,483.19595,0.86819,2189.23193,
37,0.50759631,37,37,7486.23242,476.4657,0.86837,2187.84229,
37,0.52027929,37,37,7492.96729,469.73102,0.86853,2186.45166,
37,0.53297043,37,37,7499.70654,462.992,0.86865,2185.0603,
37,0.5456695,37,37,7506.44971,456.24875,0.86868,2183.66797,
37,0.55837649,37,37,7513.19727,449.50131,0.86869,2182.27466,
37,0.57109118,37,37,7519.94873,442.74979,0.86864,2180.88062,
37,0.58381343,37,37,7526.7041,435.99426,0.86853,2179.48584,
37,0.59654301,37,37,7533.46387,429.23483,0.86841,2178.09009,
37,0.60927981,37,37,7540.22705,422.47156,0.8683,2176.6936,
37,0.6220237,37,37,7546.99414,415.70453,0.86825,2175.29639,
37,0.63477355,37,37,7553.76416,408.93433,0.86821,2173.896,
37,0.64745969,37,37,7560.50049,402.19797,0.86837,2172.3562,
37,0.6600793,37,37,7567.20166,395.49692,0.86854,2170.66187,
37,0.67262346,37,37,7573.86279,388.83594,0.86883,2168.80981,
37,0.68508291,37,37,7580.479,382.21994,0.86929,2166.79272,
37,0.69744235,37,37,7587.0415,375.65707,0.86982,2164.59644,
37,0.70967412,37,37,7593.53711,369.16196,0.87059,2162.20068,
