Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
33,0.99951392,33,33,5198.9917,890.17285,30.00962,553.95599,2nd last jump plate to cut 2 corners
35,0.13972269,33,33,5552.56055,889.17108,28.87554,561.50262,Retired
35,0.1438863,33,33,5560.05713,888.16931,27.60433,568.99713,
35,0.14800733,33,33,5567.47656,887.17651,26.2356,576.41498,
35,0.15208916,33,33,5574.82568,886.21924,24.78695,583.76227,
35,0.15612414,33,33,5582.09082,885.25018,23.23496,591.02521,
35,0.16010557,33,33,5589.25879,884.24799,21.57619,598.19177,
35,0.1640241,33,33,5596.31396,883.18384,19.80674,605.24512,
35,0.16786861,33,33,5603.23584,882.0321,17.92875,612.16522,
35,0.17164743,33,33,5610.03955,880.88782,15.99006,618.9671,
35,0.1753514,33,33,5616.70801,879.72949,13.98783,625.63422,
35,0.17897923,33,33,5623.23975,878.54285,11.91315,632.16431,
35,0.18253323,33,33,5629.63867,877.37695,9.7829,638.56152,
35,0.186013,33,33,5635.90381,876.25873,7.60394,644.82507,
35,0.18941733,33,33,5642.0332,875.20581,5.37847,650.95288,
35,0.19274437,33,33,5648.02344,874.22113,3.10398,656.94153,
35,0.1959928,33,33,5653.87207,873.3017,0.77635,662.7887,
35,0.1991626,33,33,5659.5791,872.44135,-1.60874,668.49432,
35,0.20229018,33,33,5665.20996,871.63275,-4.08187,674.12396,
35,0.20539111,33,33,5670.79297,870.87207,-6.64983,679.70563,
35,0.20847939,33,33,5676.35352,870.17828,-9.30998,685.26453,
35,0.21156573,33,33,5681.91016,869.5451,-12.0594,690.81995,
35,0.21472658,33,33,5687.60107,868.95422,-14.92826,696.50946,
35,0.217917,33,33,5693.34521,868.38141,-17.88938,702.2522,
35,0.22114274,33,35,5699.15283,867.88336,-21.03758,708.05853,
35,0.2244058,33,35,5705.02783,867.62494,-24.34528,713.93201,
35,0.22772203,33,35,5710.99854,867.73126,-27.7933,719.90125,
35,0.23111674,33,35,5717.11035,868.04144,-31.38108,726.01172,
35,0.23455018,33,35,5723.29199,868.32355,-34.21488,732.19189,
35,0.23799251,35,35,5729.48975,868.64276,-34.06485,738.38806,
