Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
33,0.99497849,33,33,5197.31885,891.8056,45.05973,481.17047,2nd last jump plate to cut 2 corners
35,0.09901448,33,33,5479.26807,889.72137,44.47089,488.228,Survived
35,0.10294905,33,33,5486.35205,887.79858,43.83059,495.31018,
35,0.10689586,33,33,5493.45801,886.03735,43.14046,502.41443,
35,0.11085303,33,33,5500.58252,884.43726,42.40227,509.53735,
35,0.11481881,33,33,5507.72266,882.99799,41.61784,516.67572,
35,0.11878909,33,33,5514.87109,881.6991,40.77322,523.8222,
35,0.12275323,33,33,5522.0083,880.50433,39.85242,530.95764,
35,0.1267077,33,33,5529.12793,879.42773,38.87608,538.07568,
35,0.13064782,33,33,5536.22217,878.38696,37.77446,545.16791,
35,0.13453496,33,33,5543.2207,877.25861,36.5135,552.16473,
35,0.13836068,33,33,5550.1084,876.02661,35.10008,559.05103,
35,0.14212798,33,33,5556.89111,874.70673,33.54696,565.83215,
35,0.14583892,33,33,5563.57275,873.30243,31.85809,572.51184,
35,0.14950246,33,33,5570.16846,871.83118,30.03338,579.1062,
35,0.1531129,33,33,5576.66895,870.27502,28.0741,585.60498,
35,0.15666996,33,33,5583.07324,868.64038,25.98989,592.00769,
35,0.16017637,33,33,5589.38623,866.94482,23.7923,598.31921,
35,0.1636384,33,33,5595.61963,865.21735,21.49286,604.55084,
35,0.16705993,33,33,5601.77979,863.47778,19.0999,610.70959,
35,0.17044406,33,33,5607.87305,861.74176,16.62143,616.80103,
35,0.17379434,33,33,5613.90479,860.03094,14.0656,622.83154,
35,0.17711097,33,33,5619.87598,858.35498,11.43769,628.80145,
35,0.18039227,33,33,5625.78418,856.71973,8.74253,634.70776,
35,0.18363529,33,33,5631.62305,855.12958,5.98497,640.54523,
35,0.1868362,33,33,5637.38574,853.5882,3.16953,646.30682,
35,0.18999036,33,33,5643.06494,852.09796,0.29981,651.98431,
35,0.19309299,33,33,5648.65088,850.66071,-2.62175,657.56903,
35,0.19614238,33,33,5654.14111,849.2937,-5.59142,663.05792,
35,0.19915076,33,33,5659.55762,848.10541,-8.59,668.47302,
35,0.20213392,33,33,5664.92871,847.40704,-11.53588,673.84271,
35,0.20509024,33,33,5670.25146,847.24652,-14.42777,679.16406,
35,0.2080774,33,33,5675.62939,847.42542,-17.39195,684.54095,
35,0.21108437,33,33,5681.04346,847.79224,-20.45352,689.95349,
35,0.21415177,33,35,5686.56592,848.3158,-23.76554,695.47479,
35,0.2172197,33,35,5692.08984,848.92889,-27.28792,700.99707,
35,0.22029927,33,35,5697.63428,849.6261,-31.01581,706.54028,
35,0.2234063,33,35,5703.22852,850.40131,-34.3844,712.13293,
35,0.22653528,35,35,5708.86182,851.27008,-34.38922,717.76508,
35,0.23012619,35,35,5715.32715,852.48553,-34.23148,724.2287,
35,0.23362458,35,35,5721.62598,853.55695,-33.95042,730.52582,
35,0.23708887,35,35,5727.86279,854.48096,-33.60796,736.76154,
35,0.24051465,35,35,5734.03076,855.25549,-33.26592,742.92792,
35,0.24391221,35,35,5740.14795,855.88538,-32.97059,749.04352,
35,0.24728596,35,35,5746.22217,856.3811,-32.7458,755.11627,
35,0.25063962,35,35,5752.26025,856.75208,-32.59234,761.15283,
35,0.25397754,35,35,5758.27002,857.00983,-32.49415,767.16107,
35,0.25730303,35,35,5764.25732,857.16437,-32.42586,773.14697,
35,0.26061985,35,35,5770.229,857.21735,-32.36124,779.11725,
35,0.26393351,35,35,5776.19531,857.19403,-32.28025,785.08179,
35,0.26725081,35,35,5782.16797,857.09991,-32.17054,791.05292,
35,0.2705729,35,35,5788.14893,856.97351,-32.0293,797.03271,
35,0.2739014,35,35,5794.14209,856.84882,-31.86146,803.02399,
35,0.27714145,35,35,5799.97559,856.78589,-24.83202,808.85608,
35,0.28046003,35,35,5805.9502,856.74023,-18.23042,814.82953,
35,0.28376615,35,35,5811.90283,856.70215,-12.03249,820.78052,
35,0.28708211,35,35,5817.87305,856.63879,-6.11206,826.74921,
35,0.29040369,35,35,5823.85352,856.55768,-0.45665,832.72809,
35,0.29374799,35,35,5829.87451,856.46716,4.94281,838.7478,
35,0.29712725,35,35,5835.9585,856.37006,10.09302,844.83044,
35,0.30055761,35,35,5842.13477,856.26727,14.99719,851.00513,
35,0.30405429,35,35,5848.43066,856.1593,19.65489,857.29913,
35,0.30763116,35,35,5854.87012,856.04614,24.06207,863.73749,
35,0.31130061,35,35,5861.47705,855.92792,28.21112,870.34247,
35,0.31507254,35,35,5868.26807,855.80481,32.09156,877.13196,
35,0.31895381,35,35,5875.25635,855.677,35.6911,884.11823,
35,0.32294983,35,35,5882.45068,855.54474,38.99574,891.31104,
35,0.32706407,35,35,5889.8584,855.40833,41.99046,898.71667,
35,0.33129793,35,35,5897.48096,855.26794,44.66021,906.33759,
35,0.33565208,35,35,5905.32031,855.1239,46.98941,914.17505,
