Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,Notes
0,0,0,0,1,0,0,60,
1,0,0,-1000.00024,1,0,0,60,
2,-0.00163,0,-1000.60223,1,0,0,60,Left path
2,0.00163,0,-1000.60242,1,0,0,60,Right path
3,-29.82483,0,-1099.61108,0.90631,0,-0.42261,60,Left path
3,29.82142,0,-1099.60352,0.90631,0,0.42261,60,Right path
4,-59.99712,0,-1199.20056,1,0,0,60,Left path
4,59.99712,0,-1199.20068,1,0,0,60,Right path
5,-59.99977,0,-1199.79956,1,0,0,60,Left path
6,-60,0,-1200.99951,1,0,0,60,Left path
7,-60.00062,0,-1399.59741,1,0,0,60,Left path
8,-59.98917,-1e-05,-1414.60645,1,-0.00192,0,60,Left path
9,-56.36612,-0.0408,-1599.39917,0.9932,-0.11641,0,60,Left path
10,-56.34185,-0.05146,-1600,0.99327,-0.11584,0,60,Left path
388,-1001.22681,0.89705,999.91876,0.00038,0,1,60,
390,-921.72528,0.89706,996.89856,0.07844,0,0.99692,119.973,
391,-843.7785,0.89709,987.66656,0.1564,0,0.98769,120,
392,-733.19641,0.89709,963.69031,0.2669,0,0.96372,120,
393,-624.54376,0.89704,926.78009,0.3755,0,0.92682,120,
394,-440.73026,0.89698,828.89801,0.55939,0,0.8289,120,
395,-412.44293,0.89703,809.1236,0.58766,0,0.80911,120,
396,-350.59821,0.89722,760.41022,0.64946,0,0.76039,120,
397,-306.41483,0.89701,720.27344,0.6937,0,0.72027,74.419,
398,-301.79337,0.89698,715.8042,0.69831,0,0.7158,69.507,
399,-292.77048,0.89711,706.86475,0.70731,0,0.7069,60,
400,-101.38189,0.89701,438.46387,0.89876,0,0.43844,60,
401,-75.50468,0,381.10977,0.92454,0,0.38109,60,
402,-28.43334,0,236.45796,0.97164,0,0.23646,60,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
