Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap index,Lap distance,X,Y,Z,Notes
3,0.79871863,14,14,0,1179.15137,-2352.16528,210.51799,-979.24548,"First turn strat, too far from track on forward crossing"
3,0.79822236,14,14,0,1179.10193,-2360.02124,210.7571,-978.00995,
3,0.79812205,14,14,0,1179.09192,-2367.95874,211.09616,-977.20721,
3,0.79841948,14,14,0,1179.12158,-2375.95435,211.5334,-976.84589,
3,0.79911512,14,14,0,1179.1908,-2383.98657,212.06264,-976.93225,
3,0.80020475,14,14,0,1179.29932,-2392.02734,212.68129,-977.46808,
3,0.80168629,14,14,0,1179.4469,-2400.05029,213.38695,-978.45709,
3,0.8035568,14,14,0,1179.6333,-2408.0293,214.17621,-979.90198,
3,0.80581093,14,14,0,1179.85779,-2415.93701,215.04587,-981.80237,
3,0.80844235,14,14,0,1180.11987,-2423.74585,215.99266,-984.15668,
3,0.81144357,14,14,0,1180.4187,-2431.42847,217.01294,-986.96112,
3,0.81480616,14,14,0,1180.75366,-2438.95996,218.10025,-990.21063,
3,0.81849861,14,14,0,1181.12146,-2446.34204,219.20377,-993.87103,
3,0.82234126,14,14,0,1181.50415,-2453.70288,220.06288,-997.72705,
3,0.8260259,14,14,0,1181.87122,-2461.07959,220.55757,-1001.42078,
3,0.82955438,14,14,0,1182.22266,-2468.50732,220.66394,-1004.95081,
3,0.83295071,14,14,0,1182.56091,-2475.95117,220.45271,-1008.3465,
3,0.83619845,14,14,0,1182.8844,-2483.4209,219.94051,-1011.58722,
3,0.83904928,14,14,0,1183.16833,-2490.9585,219.12697,-1014.37952,
3,0.84119916,14,14,0,1183.38245,-2498.56958,218.08463,-1016.36517,
3,0.84256488,14,14,0,1183.51843,-2506.26294,216.84399,-1017.44031,
3,0.84326762,14,14,0,1183.58838,-2514.04468,215.38814,-1017.73975,
3,0.84343719,14,14,0,1183.60535,-2521.83521,213.8109,-1017.41534,
3,0.84315652,14,14,0,1183.57739,-2529.56104,212.20374,-1016.56482,
3,0.84245872,14,14,0,1183.50781,-2537.17578,210.62653,-1015.22565,
3,0.84135389,14,14,0,1183.39783,-2544.64746,209.12167,-1013.40814,
3,0.83984214,14,14,0,1183.24731,-2551.95557,207.71472,-1011.10938,
3,0.8379274,14,14,0,1183.05652,-2559.08276,206.42307,-1008.33136,
3,0.83562011,14,14,0,1182.82678,-2566.01123,205.25998,-1005.08423,
3,0.83293515,14,14,0,1182.55933,-2572.72266,204.23471,-1001.38348,
3,0.82988983,14,14,0,1182.25598,-2579.19873,203.35306,-997.24805,
3,0.82650208,14,14,0,1181.91858,-2585.42139,202.61806,-992.698,
3,0.82278913,14,14,0,1181.54883,-2591.37305,202.03021,-987.7533,
3,0.81876838,14,14,0,1181.14832,-2597.03589,201.58821,-982.4342,
3,0.81445611,14,14,0,1180.71875,-2602.39233,201.28918,-976.76044,
3,0.80986893,14,14,0,1180.26196,-2607.4248,201.12939,-970.75244,
3,0.8050229,14,14,0,1179.7793,-2612.11621,201.10442,-964.43054,
3,0.79993385,14,14,0,1179.27234,-2616.44922,201.20973,-957.81555,
3,0.79461777,14,14,0,1178.74292,-2620.40674,201.44028,-950.92859,
3,0.78909105,14,14,0,1178.1925,-2623.97217,201.79134,-943.79199,
3,0.78336978,14,14,0,1177.62256,-2627.12964,202.25778,-936.42834,
3,0.77747124,14,14,0,1177.03516,-2629.86401,202.83475,-928.86163,
3,0.77141225,14,14,0,1176.43164,-2632.16064,203.51724,-921.11639,
3,0.76521111,14,14,0,1175.81396,-2634.00659,204.30055,-913.21893,
3,0.75888729,14,14,0,1175.1842,-2635.38989,205.18063,-905.19727,
3,0.75245953,14,14,0,1174.54395,-2636.30005,206.15312,-897.07922,
3,0.74594754,14,14,0,1173.89539,-2636.72827,207.2137,-888.8938,
3,0.73937219,14,14,0,1173.24048,-2636.66772,208.35823,-880.67145,
3,0.73275471,14,14,0,1172.5813,-2636.11401,209.5831,-872.44348,
3,0.72611672,14,14,0,1171.92017,-2635.06396,210.88481,-864.24146,
3,0.71948034,14,14,0,1171.25928,-2633.51685,212.25993,-856.0976,
3,0.71286815,14,14,0,1170.60059,-2631.47461,213.7052,-848.04431,
3,0.70630252,14,14,0,1169.94678,-2628.94067,215.21725,-840.11383,
3,0.69980669,14,14,0,1169.29968,-2625.92188,216.79312,-832.33881,
3,0.6934033,14,14,0,1168.66199,-2622.42651,218.42973,-824.7511,
3,0.68711591,14,14,0,1168.03577,-2618.46582,220.1245,-817.38251,
3,0.68096703,14,14,0,1167.42334,-2614.05225,221.87447,-810.26373,
3,0.67497969,14,14,0,1166.8269,-2609.20215,223.67708,-803.42493,
3,0.66917676,14,14,0,1166.24902,-2603.93286,225.52992,-796.89526,
3,0.66318321,14,14,0,1165.65198,-2598.77515,226.72998,-790.12988,
3,0.65718478,14,14,0,1165.05457,-2593.7019,227.60483,-783.36456,
3,0.65113515,14,14,0,1164.45203,-2588.74976,228.09814,-776.53552,
3,0.64504212,14,14,0,1163.84521,-2583.93335,228.24236,-769.64935,
3,0.63889116,14,14,0,1163.23254,-2579.32861,228.05405,-762.67474,
3,0.63267845,14,14,0,1162.61377,-2575.01221,227.58328,-755.59302,
3,0.62640238,14,14,0,1161.98865,-2571.0564,226.87993,-748.38812,
3,0.62006861,14,14,0,1161.35779,-2567.49561,225.98625,-741.05823,
3,0.61369187,14,14,0,1160.72266,-2564.35254,224.94844,-733.6145,
3,0.60728985,14,14,0,1160.08508,-2561.63232,223.80498,-726.07477,
3,0.60088485,14,14,0,1159.44714,-2559.34375,222.59767,-718.46161,
3,0.59449619,14,14,0,1158.81079,-2557.4895,221.35841,-710.79474,
3,0.58814329,14,14,0,1158.1781,-2556.07593,220.1179,-703.09375,
3,0.58184385,14,14,0,1157.55066,-2555.1001,218.89934,-695.37781,
3,0.57561517,14,14,0,1156.9303,-2554.56055,217.72348,-687.66498,
3,0.56947029,14,14,0,1156.31824,-2554.45654,216.6033,-679.96832,
3,0.56342196,14,14,0,1155.71582,-2554.7854,215.54904,-672.30121,
3,0.55748451,14,14,0,1155.12439,-2555.54199,214.56989,-664.67938,
3,0.55167168,14,14,0,1154.54553,-2556.72021,213.67284,-657.11877,
3,0.5459975,14,14,0,1153.98035,-2558.31323,212.86247,-649.6355,
3,0.54047477,14,14,0,1153.4303,-2560.31177,212.14015,-642.24536,
3,0.53511596,14,14,0,1152.89648,-2562.70801,211.50586,-634.96381,
3,0.52993494,14,14,0,1152.38049,-2565.49121,210.96056,-627.80865,
3,0.52494425,14,14,0,1151.88342,-2568.65283,210.50362,-620.79657,
3,0.52015674,14,14,0,1151.40662,-2572.18433,210.13376,-613.94446,
3,0.51558459,14,14,0,1150.95117,-2576.0769,209.8488,-607.26898,
3,0.51123941,14,14,0,1150.51843,-2580.32007,209.64635,-600.78705,
3,0.50713235,14,14,0,1150.10938,-2584.90405,209.52324,-594.51514,
3,0.50327444,14,14,0,1149.7251,-2589.81738,209.47658,-588.46997,
3,0.49967581,14,14,0,1149.3667,-2595.04858,209.50348,-582.66809,
3,0.49634624,14,14,0,1149.03503,-2600.58521,209.60092,-577.12579,
3,0.49329475,14,14,0,1148.7312,-2606.41431,209.7659,-571.85907,
3,0.49052951,14,14,0,1148.45569,-2612.52173,209.99565,-566.88361,
3,0.48805732,14,14,0,1148.20947,-2618.89258,210.28586,-562.21338,
3,0.48588485,14,14,0,1147.99316,-2625.51172,210.63364,-557.86279,
3,0.48401734,14,14,0,1147.80713,-2632.36157,211.03691,-553.84564,
3,0.48246047,14,14,0,1147.6521,-2639.42456,211.49422,-550.17578,
3,0.48121864,14,14,0,1147.52832,-2646.68335,212.00385,-546.86627,
3,0.48029467,14,14,0,1147.43628,-2654.11963,212.56247,-543.9281,
3,0.47966772,14,14,0,1147.3739,-2661.71484,213.13043,-541.34125,
3,0.47915947,14,14,0,1147.32324,-2669.39868,213.48547,-538.88763,
3,0.4785859,14,14,0,1147.26611,-2676.99536,213.54483,-536.36316,
3,0.47787181,14,14,0,1147.19507,-2684.48853,213.23941,-533.6701,
3,0.47706759,14,14,0,1147.11487,-2691.88892,212.64412,-530.8725,
3,0.47619641,14,14,0,1147.0282,-2699.21167,211.79234,-527.99701,
3,0.47521305,14,14,0,1146.93018,-2706.42749,210.68855,-524.98871,
3,0.47361642,14,14,0,1146.77124,-2713.07446,209.33037,-521.27588,
3,0.4713496,14,14,0,1146.54541,-2719.01758,207.83473,-516.8078,
3,0.46842569,14,14,0,1146.25415,-2724.23291,206.2531,-511.60327,
3,0.46496016,14,14,0,1145.90906,-2728.84521,204.56493,-505.7868,
3,0.46110111,14,14,0,1145.52466,-2732.93994,202.84227,-499.53821,
3,0.45695898,14,14,0,1145.11206,-2736.56274,201.16266,-492.99707,
3,0.45258361,14,14,0,1144.67627,-2739.72388,199.57239,-486.22968,
3,0.44799572,14,14,0,1144.21936,-2742.41943,198.09709,-479.26624,
3,0.44320935,14,14,0,1143.74268,-2744.64429,196.75279,-472.12894,
3,0.43823966,14,14,0,1143.24768,-2746.39673,195.54976,-464.84094,
3,0.43310395,14,14,0,1142.73608,-2747.677,194.4948,-457.42786,
3,0.42781934,14,14,0,1142.20984,-2748.4873,193.59062,-449.91559,
3,0.42240378,14,14,0,1141.67041,-2748.83057,192.83757,-442.33081,
3,0.41687539,14,14,0,1141.11975,-2748.71021,192.23434,-434.70041,
3,0.41125128,14,14,0,1140.55957,-2748.12939,191.77798,-427.05075,
3,0.40554881,14,14,0,1139.9917,-2747.09131,191.46489,-419.40836,
3,0.39978516,14,14,0,1139.4176,-2745.59912,191.29066,-411.7995,
3,0.39397684,14,14,0,1138.83911,-2743.65625,191.25009,-404.25006,
3,0.38814151,14,14,0,1138.25793,-2741.26709,191.3382,-396.78674,
3,0.3822968,14,14,0,1137.67578,-2738.43652,191.55031,-389.43658,
3,0.3764604,14,14,0,1137.09448,-2735.16968,191.88148,-382.22638,
3,0.37065041,14,14,0,1136.51575,-2731.47339,192.32681,-375.18311,
3,0.36488539,14,14,0,1135.94153,-2727.35571,192.88124,-368.33368,
3,0.35918424,14,14,0,1135.37378,-2722.82642,193.54005,-361.70523,
3,0.35356674,14,14,0,1134.81421,-2717.89722,194.29933,-355.3251,
3,0.3480525,14,14,0,1134.26501,-2712.58032,195.15443,-349.21973,
3,0.34266153,14,14,0,1133.72803,-2706.8916,196.10133,-343.41525,
3,0.33741412,14,14,0,1133.20544,-2700.84766,197.13594,-337.9371,
3,0.33233061,14,14,0,1132.6991,-2694.46729,198.25464,-332.80997,
3,0.32743141,14,14,0,1132.21118,-2687.771,199.45381,-328.0575,
3,0.32273671,14,14,0,1131.74353,-2680.78149,200.72992,-323.7019,
3,0.3182666,14,14,0,1131.29834,-2673.52246,202.07941,-319.76416,
