Checkpoint number,Checkpoint fraction,CP number branch 1,CP fraction branch 1,CP number branch 2,CP fraction branch 2,Ground checkpoint,Contact checkpoint,Lap index,Lap distance,X,Y,Z,Notes
0,0.98270154,2,0.00469685,2,0.0053108,0,0,0,982.70154,-3.99736,0.90491,-982.70154,"First turn strat attempt on right path: Doesn't work.
Seems to be because the right path is not the primary path, and the multiple-branches checkpoint values turn off when the primary path crosses behind checkpoint 2."
0,0.98634309,2,0.00469685,2,0.0053108,0,0,0,986.34308,-3.93282,0.90497,-986.34308,
0,0.99001646,2,0.00469685,2,0.0053108,0,0,0,990.01648,-3.82051,0.90495,-990.01648,
0,0.99372065,2,0.00469685,2,0.0053108,0,0,0,993.72064,-3.66335,0.90497,-993.72064,
0,0.99745643,2,0.00469685,2,0.0053108,0,0,0,997.45642,-3.46599,0.90493,-997.45642,
2,0.00624955,2,0.00624955,2,0.00607606,2,0,0,1001.21869,-3.34023,0.90492,-1001.23083,
2,0.04262688,2,0.04262688,2,0.04137991,2,2,0,1004.82001,-3.59834,0.90478,-1004.91406,
2,0.07751858,2,0.07751858,2,0.07487756,2,2,0,1008.27423,-4.22093,0.90457,-1008.45074,
2,0.11191094,2,0.11191094,2,0.10734711,2,2,0,1011.67908,-5.08734,0.90443,-1011.92938,
2,0.14644246,2,0.14644246,2,0.13945371,2,2,0,1015.09766,-5.9947,0.90443,-1015.41693,
2,0.18105419,2,0.18105419,2,0.17112969,2,2,0,1018.52417,-6.93404,0.90455,-1018.90631,
2,0.21592197,2,0.21592197,2,0.20260145,2,2,0,1021.97601,-7.85693,0.90473,-1022.41864,
2,0.25111836,2,0.25111836,2,0.23398629,2,2,0,1025.46045,-8.74683,0.90483,-1025.96423,
2,0.28665873,2,0.28665873,2,0.26533437,2,2,0,1028.97888,-9.59853,0.90497,-1029.547,
2,0.32243401,2,0.32243401,2,0.29668346,2,2,0,1032.52063,-10.36827,0.90508,-1033.16406,
2,0.35828727,2,0.35828727,2,0.32811311,2,2,0,1036.07007,-10.99448,0.90515,-1036.81274,
2,0.39423314,2,0.39423314,2,0.35991272,2,2,0,1039.62866,-11.41963,0.90522,-1040.51172,
2,0.43023705,2,0.43023705,2,0.3922835,2,2,0,1043.19299,-11.61724,0.90517,-1044.27234,
2,0.46610805,2,0.46610805,2,0.4252598,2,2,0,1046.74426,-11.57673,0.90521,-1048.08826,
2,0.50161493,2,0.50161493,2,0.45882416,2,2,0,1050.2594,-11.29338,0.90517,-1051.94727,
2,0.53651851,2,0.53651851,2,0.49294734,2,2,0,1053.71484,-10.76491,0.90519,-1055.83545,
2,0.57058966,2,0.57058966,2,0.52760118,2,2,0,1057.08777,-9.99024,0.90523,-1059.73865,
2,0.60360962,2,0.60360962,2,0.56275898,2,2,0,1060.35669,-8.96904,0.9052,-1063.64233,
2,0.63537818,2,0.63537818,2,0.59839725,2,2,0,1063.50183,-7.70167,0.90521,-1067.53223,
2,0.66571009,2,0.66571009,2,0.63449663,2,2,0,1066.50464,-6.18903,0.90523,-1071.39392,
2,0.69444126,2,0.69444126,2,0.67103976,2,2,0,1069.349,-4.43268,0.90521,-1075.21326,
2,0.72142452,2,0.72142452,2,0.70801198,2,2,0,1072.02026,-2.43474,0.90523,-1078.97595,
2,0.74653608,2,0.74653608,2,0.74540168,2,2,0,1074.50635,-0.19797,0.90518,-1082.66809,
2,0.76967043,2,0.76967043,2,0.78319597,2,2,0,1078.13562,2.27425,0.90518,-1086.27563,
2,0.79074377,2,0.79074377,2,0.82138628,2,2,0,1081.91638,4.97788,0.90521,-1089.78491,
2,0.80968964,2,0.80968964,2,0.85996342,2,2,0,1085.73547,7.90825,0.90515,-1093.18225,
2,0.82646161,2,0.82646161,2,0.89891779,2,2,0,1089.59192,11.06004,0.90514,-1096.45422,
2,0.84103006,2,0.84103006,2,0.93824071,2,2,0,1093.48486,14.42723,0.905,-1099.58765,
2,0.85352087,2,0.85352087,2,0.97808278,2,2,0,1097.4292,18.00368,0.90483,-1102.58777,
2,0.86445087,2,0.86445087,3,0.02039233,2,2,0,1101.63013,21.76893,0.90467,-1105.50574,
2,0.87454027,2,0.87454027,3,0.06384061,2,3,0,1105.95752,25.62115,0.90454,-1108.39026,
2,0.88463092,2,0.88463092,3,0.10622013,2,3,0,1110.17847,29.4394,0.90455,-1111.30286,
2,0.8948068,2,0.8948068,3,0.14771742,2,3,0,1114.31165,33.22592,0.9046,-1114.25574,
2,0.90534329,2,0.90534329,3,0.18852428,2,3,0,1118.37598,36.95024,0.90468,-1117.27515,
2,0.91684157,2,0.91684157,3,0.22883622,2,3,0,1122.39111,40.51793,0.90477,-1120.40857,
2,0.93002105,2,0.93002105,3,0.2695446,2,3,0,1126.44568,43.90166,0.90484,-1123.75208,
2,0.94508606,2,0.94508606,3,0.31097841,2,3,0,1130.57239,47.08559,0.9049,-1127.33594,
2,0.96202362,2,0.96202362,3,0.35319927,2,3,0,1134.77759,50.0554,0.90491,-1131.1593,
2,0.98075908,2,0.98075908,3,0.39619073,2,3,0,1139.05957,52.79827,0.90493,-1135.21106,
3,0.00278606,3,0.00278606,3,0.4399249,3,3,0,1143.41553,55.30254,0.90493,-1139.47681,
3,0.05569797,3,0.05569797,3,0.48437384,3,3,0,1147.84265,57.55748,0.90492,-1143.9408,
3,0.11576902,3,0.11576902,3,0.52952075,3,3,0,1152.33923,59.55315,0.90492,-1148.58704,
