Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap index,Lap distance,X,Y,Z,Notes
3,0.61305153,22,22,0,1160.65894,-2350.66016,344.35376,-769.08032,"First turn strat, left path"
3,0.61224204,22,22,0,1160.57825,-2358.08228,343.46115,-766.88446,0 and 3 intersect at X=-2388
3,0.6110183,22,22,0,1160.45642,-2365.32544,342.66895,-764.23291,
3,0.60938722,22,22,0,1160.29395,-2372.37231,341.98904,-761.13239,
3,0.60735893,22,22,0,1160.09192,-2379.20508,341.43005,-757.59418,
3,0.60494649,22,22,0,1159.85168,-2385.80591,340.99722,-753.63275,
3,0.60216403,22,22,0,1159.57446,-2392.15649,340.69357,-749.2644,
3,0.59902513,22,22,0,1159.26184,-2398.23853,340.51993,-744.5058,
3,0.59554422,22,22,0,1158.91516,-2404.03394,340.47519,-739.37433,
3,0.59173566,22,22,0,1158.53589,-2409.52417,340.55728,-733.888,
3,0.58761334,22,22,0,1158.12524,-2414.69116,340.76303,-728.06512,
3,0.58319145,22,22,0,1157.68481,-2419.51685,341.08841,-721.92456,
3,0.57848507,22,22,0,1157.21606,-2423.98315,341.52933,-715.48669,
3,0.57350934,22,22,0,1156.72046,-2428.07275,342.08145,-708.77252,
3,0.56827933,22,22,0,1156.19958,-2431.7688,342.74008,-701.80353,
3,0.56281096,22,22,0,1155.65491,-2435.05469,343.50073,-694.60254,
3,0.55712092,22,22,0,1155.08826,-2437.91504,344.35873,-687.19379,
3,0.55122691,22,22,0,1154.50122,-2440.33569,345.30988,-679.60297,
3,0.54514652,22,22,0,1153.89563,-2442.30322,346.34973,-671.85614,
3,0.53889841,22,22,0,1153.27332,-2443.80591,347.47385,-663.98065,
3,0.53250229,22,22,0,1152.63623,-2444.83374,348.67834,-656.00555,
3,0.52597839,22,22,0,1151.98645,-2445.37842,349.9592,-647.96039,
3,0.51934797,22,22,0,1151.32605,-2445.43359,351.31299,-639.87616,
3,0.51263243,22,22,0,1150.65723,-2444.99463,352.7363,-631.78406,
3,0.50585401,22,22,0,1149.98206,-2444.05884,354.22565,-623.7157,
3,0.49903536,22,22,0,1149.30286,-2442.62646,355.7778,-615.70349,
3,0.49219996,22,22,0,1148.62207,-2440.69995,357.3898,-607.77997,
3,0.48537076,22,22,0,1147.94189,-2438.28271,359.05878,-599.97736,
3,0.47857213,22,22,0,1147.26477,-2435.38208,360.78192,-592.32813,
3,0.47182751,22,22,0,1146.59302,-2432.00708,362.55615,-584.86389,
3,0.46504405,22,22,0,1145.91736,-2428.24292,364.155,-577.45502,
3,0.45819896,22,22,0,1145.2356,-2425.01196,365.09894,-569.8548,
3,0.45133913,22,22,0,1144.55237,-2422.3252,365.50082,-562.1131,
3,0.44447035,22,22,0,1143.86829,-2420.26904,365.39777,-554.21008,
3,0.43764177,22,22,0,1143.18811,-2418.90332,364.90015,-546.185,
3,0.43085709,22,22,0,1142.51233,-2418.10645,364.07431,-538.06677,
3,0.42417139,22,22,0,1141.84644,-2417.77905,363.05469,-529.94318,
3,0.41762751,22,22,0,1141.1947,-2417.88135,361.93402,-521.87329,
3,0.41125619,22,22,0,1140.56006,-2418.41309,360.77017,-513.89185,
