Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,
0,0,0,0,1,0,0,45,
1,-13.61706,25.90776,-314.08557,0.99619,0,-0.08723,45,Middle path
2,-54.69899,50.88454,-625.13922,0.98482,0,-0.17361,45,Middle path
3,-122.89469,75.87109,-928.18286,0.96594,0,-0.25876,45,Middle path
4,-217.09279,100.8848,-1231.26086,0.93972,0,-0.34194,45,Middle path; dash plate on left
5,-336.83527,129.80949,-1515.18091,0.90639,0,-0.42243,45,Middle path
7,-482.30399,150.88416,-1799.95288,0.86604,0,-0.49997,45,Middle path; dash plate on right
8,-604.52002,153.61028,-1997.38135,0.78504,-0.32942,-0.52459,45,Middle path
9,-659.46667,155.86626,-2078.40356,0.66887,-0.57229,-0.47444,45,Middle path
11,-714.88672,158.27699,-2156.00586,0.48822,-0.79335,-0.36365,45,Middle path
12,-894.89825,165.27388,-2381.33423,-0.18184,-0.97199,0.14891,45,Middle path
14,-1043.00269,172.2406,-2540.59888,-0.35406,-0.86626,0.35246,45,Middle path
19,-1056.44104,173.00758,-2554.16455,-0.352,-0.86644,0.35407,45,Middle path
20,-1296.78308,187.99948,-2773.95093,0.04869,-0.99692,-0.06142,45,Middle path
22,-1362.32825,191.56279,-2826.60425,0.21132,-0.94149,-0.26255,45,Middle path
23,-1579.95093,198.93295,-2983.2124,0.52075,-0.37685,-0.76603,45,Middle path
26,-1799.99048,200.88544,-3117.66089,0.50006,0,-0.86599,45,Middle path
27,-1943.20605,224.29787,-3220.7063,0.65932,0,-0.75186,45,Middle path; start of first refiller
162,1492.37903,21.20082,-1346.73315,-0.98145,0,-0.1917,45,Middle path
163,1465.70679,0.42823,-1222.98608,-0.98436,0,-0.17615,45,Middle path
164,1465.17993,1e-05,-1220.46045,-0.98441,0,-0.17587,45,Middle path
165,1363.80603,-61.22549,-719.91199,-0.99271,0,-0.12051,45,
166,1332.3291,-73.9764,-529.58209,-0.99456,0,-0.10412,45,Middle path
167,1300.84998,-82.02538,-339.23813,-0.99584,0,-0.09115,45,Middle path
168,1251.45459,-86.4099,-45.95603,-0.99693,0,-0.07825,45,Middle path
169,1237.31604,-86.08955,37.97726,-0.99708,0.00011,-0.07636,45,Middle path
170,1074.2124,-90.44386,792.75995,0.49729,0.86599,0.05261,45,Middle path
171,996.78894,-21.04689,1555.65393,-0.97218,-4e-05,-0.23425,45,Middle path
172,913.21002,-33.5492,1924.91821,-0.48059,-0.85943,-0.17437,45,Middle path
173,912.20862,-33.6886,1928.68481,-0.46758,-0.86736,-0.17044,45,Middle path
174,745.21057,-29.22715,2289.66113,0.38309,-0.86602,0.32132,45,Middle path
175,544.65771,-24.16146,2433.44531,0.0747,-0.96819,0.2388,45,Middle path
176,399.8511,-16.29584,2466.72217,-0.00542,-0.99652,-0.08312,45,Middle path
177,304.01221,-9.75924,2461.09985,0.06744,-0.94333,-0.32492,45,Middle path
178,295.48785,-9.1223,2459.54175,0.07826,-0.93532,-0.34505,45,Middle path
179,237.41708,-4.529,2444.27734,0.16849,-0.86594,-0.47091,45,Middle path
180,235.56975,-4.37667,2443.65503,0.17182,-0.86335,-0.47446,45,Middle path
181,141.08789,4.21917,2399.52393,0.38382,-0.69464,-0.6084,45,Middle path
182,101.59032,8.17135,2372.68457,0.49076,-0.60311,-0.62883,45,Middle path
183,90.07478,9.35862,2363.69434,0.52226,-0.57408,-0.63062,45,Middle path
184,-84.36382,30.14211,2000.23206,1,0,-0.00048,45,"Before jump, left path"
184,-16.87856,30.14039,2000.21277,1,0,-0.00048,45,"Before jump, middle path"
184,50.60833,30.14869,2000.15063,1,-0.0001,-0.00048,45,"Before jump, right path"
184,-84.39928,-19.85434,1999.93359,1,0,0,45,"After jump, left path"
184,-16.91501,-19.85835,1999.87939,1,0,0,45,"After jump, middle path"
184,50.64854,-19.85355,1999.70947,1,0,0,45,"After jump, right path"
185,-10.51296,100.91626,1374.5697,1,0,0,45,Middle path; end of visible gaps between paths
186,0.00256,0.91771,500.23947,1,0,0,45,Start of railings
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
