Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,True width
0,0,0,0,1,0,0,60,
138,647.47827,30.64147,1354.98279,0,0,-1,188.496,60
139,573.4129,30.86637,1354.99487,0,0,-1,188.496,60
177,48.66426,917.4212,2789.99023,0.70629,-0.70792,-7e-05,188.496,60
178,-0.01971,799.98035,2789.98364,1,0,0,188.496,60
179,0.00165,280.28278,2851.69287,-1,0,-0.0001,188.496,60
179,-30.86916,279.896,2820.76318,7e-05,0.00041,-1,188.496,60
183,-30.85458,80.00268,2620.89136,-0.0001,1,-0.00036,188.496,60
183,0.03166,110.86951,2620.80005,1,0,0,188.496,60
184,0.01039,110.86644,2124.0437,1,0,0,188.496,60
185,0.01469,110.86613,1824.10132,1,0,0,188.496,60
187,0.01516,110.8657,1300.05151,1,0,0,188.496,60
187,0.01637,0,1299.86255,1,0,0,60,
,,,,,,,,
,,,,,,,,
