Checkpoint number,Checkpoint fraction,X,Y,Z
178,0.34172595,462.92239,622.3028,1031.63367
178,0.33909133,470.11505,623.67279,1027.71436
178,0.33632314,477.54999,625.11224,1024.23157
178,0.33342779,485.19977,626.6178,1021.20245
178,0.3304117,493.03607,628.18616,1018.64264
178,0.32743144,501.04297,629.7359,1016.50409
178,0.32535589,509.12183,630.81519,1014.29633
178,0.32414913,517.05646,631.44269,1011.81122
178,0.32371813,524.91565,631.66681,1009.13556
178,0.32392749,532.67255,631.55798,1006.27991
178,0.32468504,540.28986,631.16406,1003.22131
178,0.32593778,547.6571,630.51263,999.82056
178,0.32729524,554.31531,629.80676,995.67145
178,0.32909259,560.42456,628.87213,990.76312
178,0.33122742,566.0741,627.76202,985.27472
178,0.33349818,571.30682,626.58124,979.38794
178,0.33575448,576.1322,625.40796,973.20923
178,0.33789974,580.54028,624.29242,966.78705
178,0.33988267,584.51477,623.26129,960.13568
178,0.34166983,588.04242,622.33197,953.26617
178,0.34323728,591.11493,621.51691,946.19458
178,0.34456724,593.72766,620.82532,938.94214
178,0.34564838,595.87811,620.26312,931.53253
178,0.34647402,597.56464,619.8338,923.99084
178,0.34704235,598.78589,619.53827,916.34216
178,0.34735468,599.54114,619.37585,908.6123
178,0.34741575,599.82977,619.34412,900.82697
178,0.34723088,599.65186,619.44025,893.01288
178,0.34680799,599.00732,619.66016,885.19604
178,0.34615514,597.89709,619.99963,877.40338
178,0.34528059,596.32263,620.45441,869.66223
178,0.34419322,594.28632,621.01984,862.00012
178,0.34290162,591.79169,621.69147,854.44489
178,0.34141469,588.84314,622.46466,847.02448
178,0.33974141,585.44727,623.33478,839.76715
178,0.33789015,581.61243,624.29742,832.70135
178,0.33586955,577.34851,625.34814,825.85516
178,0.33368742,572.66736,626.48285,819.25665
178,0.33135119,567.58301,627.69769,812.93347
178,0.32886797,562.11133,628.98895,806.91248
178,0.32624453,556.26971,630.35315,801.21997
178,0.32348716,550.07806,631.78699,795.88116
178,0.3206023,543.55756,633.28711,790.91998
178,0.31759608,536.73169,634.85034,786.35901
178,0.31447443,529.625,636.47363,782.21948
178,0.31124288,522.26483,638.15405,778.52063
178,0.30790684,514.67908,639.88879,775.28003
178,0.30447114,506.89746,641.67535,772.51343
178,0.3009412,498.95026,643.51093,770.23462
178,0.29732132,490.86972,645.39325,768.45477
178,0.293928,482.5639,647.15778,767.12006
178,0.29193848,474.27798,648.19232,765.3092
178,0.29087836,466.36548,648.74359,762.83942
178,0.29078117,458.70459,648.79413,759.78998
178,0.29144952,451.31314,648.44659,756.2063
178,0.2926572,444.23706,647.8186,752.12738
178,0.29421923,437.52713,647.00635,747.56921
178,0.29604933,431.17386,646.05469,742.58435
178,0.29803157,425.17291,645.02393,737.24622
178,0.30005488,419.53513,643.9718,731.60699
178,0.30203584,414.2789,642.94171,725.69305
178,0.30390528,409.42422,641.9696,719.52167
178,0.30562046,404.9888,641.0777,713.09918
178,0.30715021,400.98572,640.28223,706.43549
178,0.3084701,397.42383,639.59589,699.54675
178,0.30956206,394.30908,639.02808,692.45361
178,0.31041431,391.64597,638.5849,685.17859
178,0.31101963,389.43805,638.27014,677.74591
178,0.31137562,387.68848,638.08502,670.18018
178,0.31148291,386.39996,638.02924,662.50671
178,0.31134474,385.57507,638.10107,654.75116
178,0.31096715,385.2164,638.29742,646.93872
178,0.31035763,385.3255,638.61444,639.09558
178,0.30952379,385.90311,639.04803,631.24878
178,0.30847445,386.94934,639.59369,623.42542
178,0.30721852,388.4635,640.24677,615.65308
178,0.30576462,390.44351,641.00281,607.9599
178,0.30412135,392.88605,641.8573,600.37445
178,0.302297,395.78619,642.80597,592.92542
178,0.30030042,399.13776,643.84418,585.64136
178,0.29814014,402.9324,644.96753,578.55096
178,0.2958242,407.15967,646.17181,571.68286
178,0.29336026,411.80692,647.45306,565.06543
178,0.29075536,416.85962,648.80762,558.72644
178,0.28801629,422.30188,650.23193,552.69305
178,0.28514928,428.11517,651.72278,546.99146
178,0.28216067,434.27969,653.27686,541.64685
178,0.27905643,440.77332,654.89105,536.68304
178,0.2758427,447.57269,656.56219,532.12256
178,0.27252474,454.65164,658.28754,527.98615
178,0.26910806,461.98337,660.06421,524.29291
178,0.26559702,469.53912,661.88995,521.0603
178,0.26283118,477.26767,663.32819,517.90314
178,0.2610237,484.82266,664.26807,514.4538
178,0.26001793,492.27753,664.79108,510.81699
178,0.25968328,499.62451,664.96509,507.01807
178,0.25990313,506.82556,664.85077,503.05292
178,0.26062441,513.79114,664.47571,498.83383
178,0.26151177,520.02679,664.01428,493.99197
178,0.26281065,525.63629,663.33887,488.48636
178,0.26446259,530.72882,662.47986,482.45914
178,0.26627943,535.36945,661.5351,476.0795
178,0.26810908,539.5824,660.58368,469.45557
178,0.26985338,543.36548,659.67664,462.63943
178,0.27145699,546.70477,658.84277,455.64966
178,0.2728866,549.58734,658.09937,448.49692
178,0.27411717,552.00525,657.45947,441.19659
178,0.27512977,553.95447,656.93292,433.76813
178,0.27591196,555.43317,656.52618,426.23328
178,0.27645668,556.44147,656.24292,418.6156
178,0.27676022,556.98004,656.08508,410.93976
178,0.27682325,557.04974,656.05231,403.23026
178,0.27664801,556.6521,656.14343,395.51279
178,0.27623966,555.78845,656.35577,387.8125
178,0.27560461,554.46118,656.68604,380.15533
178,0.27475035,552.67334,657.13025,372.56747
178,0.27368504,550.42871,657.6842,365.07559
178,0.27241728,547.7326,658.34344,357.70663
178,0.27095583,544.59119,659.10339,350.4877
178,0.26930904,541.01233,659.95972,343.44623
178,0.26748505,537.00519,660.9082,336.60971
178,0.26549232,532.58063,661.94446,330.00528
178,0.26360643,527.6994,662.92511,323.54831
178,0.26324198,523.39484,663.11462,316.72394
178,0.26378062,520.21014,662.83453,309.70139
178,0.26541179,518.06775,661.98633,302.36255
178,0.26797387,516.7251,660.65405,294.76102
178,0.27110708,515.98352,659.02478,287.03601
178,0.2745018,515.72662,657.25952,279.30524
178,0.27799171,515.92395,655.44476,271.62698
178,0.28147978,516.58228,653.63098,264.03223
178,0.28489491,517.71637,651.8551,256.5437
178,0.28817263,519.33459,650.1507,249.18451
178,0.29126146,521.44128,648.54449,241.97488
178,0.29412624,524.03522,647.05481,234.93224
178,0.29673961,527.10553,645.69586,228.07478
178,0.29908195,530.6358,644.47784,221.42102
178,0.30114084,534.60669,643.40723,214.9893
178,0.3029097,538.99756,642.48743,208.79785
178,0.30438733,543.78784,641.71906,202.86441
178,0.30557552,548.95667,641.1012,197.20685
178,0.30648002,554.48395,640.63086,191.84245
178,0.30710807,560.34943,640.30426,186.78859
178,0.30746725,566.53265,640.11749,182.06279
178,0.3075676,573.01416,640.06531,177.68219
178,0.30741867,579.77277,640.14276,173.66365
178,0.30688295,585.72656,640.42133,170.35307
178,0.30600005,591.90741,640.88043,168.1431
178,0.30464613,598.57233,641.58447,167.427
178,0.30332473,604.69647,642.27161,167.60767
178,0.30196986,609.90826,642.97614,168.42439
178,0.30039376,614.12616,643.79572,169.71088
178,0.29850763,617.39355,644.77649,171.29413
178,0.29632962,619.82776,645.90906,173.00543
178,0.29394901,621.58002,647.14697,174.70024
178,0.29150093,623.08704,648.41998,176.61557
178,0.29011825,624.39661,649.13898,178.65425
178,0.2894904,625.51904,649.46545,180.70358
178,0.2892985,626.45435,649.56525,182.66217
178,0.28940824,627.27136,649.50818,184.57336
178,0.28977185,628.03351,649.31909,186.5183
178,0.29036251,628.74396,649.01196,188.49199
178,0.29133931,629.38885,648.50403,190.46953
178,0.29320791,629.83136,647.53235,192.20912
178,0.29594415,630.17871,646.1095,193.92989
178,0.2992667,630.44507,644.38177,195.67641
178,0.30294538,630.62134,642.46887,197.44691
178,0.30687919,630.69556,640.42328,199.237
178,0.31103334,630.65491,638.26312,201.04431
178,0.3153908,630.48682,635.99725,202.86806
178,0.31990564,630.20483,633.64954,204.75732
178,0.32438701,629.87451,631.31921,206.83098
178,0.32861513,629.53943,629.12061,209.10164
178,0.33249497,629.22144,627.10309,211.55299
178,0.33603817,628.92108,625.26062,214.15785
178,0.33933866,628.61877,623.54437,216.88223
178,0.34244603,628.30347,621.92853,219.6962
178,0.34539652,627.9707,620.39429,222.58038
178,0.34821469,627.61963,618.92883,225.52013
178,0.35091913,627.25159,617.52252,228.50432
178,0.35352346,626.86902,616.16827,231.52364
178,0.35603917,626.47473,614.86011,234.57066
178,0.35847563,626.07166,613.59314,237.63896
178,0.36084053,625.66266,612.3634,240.72308
178,0.36314142,625.25018,611.16693,243.81862
178,0.3653847,624.83624,610.00043,246.92148
178,0.36757553,624.42279,608.86121,250.02809
178,0.36971903,624.01129,607.74658,253.1357
178,0.37181911,623.60315,606.65454,256.24158
178,0.37388021,623.19916,605.58276,259.34393
178,0.37590504,622.80017,604.52985,262.44067
178,0.37789679,622.40674,603.49414,265.53058
178,0.37985814,622.01917,602.47424,268.61237
178,0.3817912,621.6377,601.46906,271.68484
178,0.38369808,621.26245,600.47748,274.74738
178,0.3855809,620.89337,599.49841,277.79932
178,0.38744104,620.53033,598.53113,280.84015
178,0.38927996,620.17328,597.57489,283.86954
178,0.39109871,619.82208,596.62915,286.88715
178,0.39289817,619.47656,595.69342,289.89288
178,0.39467946,619.13647,594.76715,292.88666
178,0.39644352,618.80157,593.84985,295.86853
178,0.39819133,618.47156,592.94098,298.83853
178,0.39992332,618.14624,592.04034,301.79663
178,0.4016403,617.82532,591.14752,304.74298
178,0.40334305,617.50848,590.26208,307.67786
178,0.40503198,617.19556,589.38385,310.60129
178,0.40670773,616.88623,588.51245,313.51364
178,0.4083707,616.58032,587.64771,316.41495
178,0.41002113,616.27765,586.78949,319.30542
178,0.41165957,615.97803,585.9375,322.18542
178,0.41328675,615.68121,585.09137,325.0553
178,0.41490301,615.38696,584.25092,327.91522
178,0.41650906,615.09497,583.41577,330.76563
178,0.41810489,614.80518,582.58594,333.60645
178,0.41969076,614.5174,581.76123,336.4382
178,0.42126724,614.23151,580.94147,339.26102
178,0.42283443,613.94745,580.12653,342.07513
178,0.42439294,613.66498,579.3161,344.88095
178,0.42594311,613.38397,578.51001,347.67865
178,0.42748508,613.10437,577.70819,350.46851
178,0.42901951,612.82587,576.91028,353.25085
178,0.43054575,612.54871,576.11664,356.02557
178,0.43206424,612.27289,575.32703,358.79312
178,0.43357521,611.99829,574.54132,361.55359
178,0.43507877,611.72491,573.75946,364.30716
178,0.43657568,611.45264,572.98108,367.05423
178,0.43806598,611.1814,572.20612,369.79492
178,0.43954995,610.91107,571.43445,372.52942
178,0.4410277,610.6416,570.66602,375.25787
178,0.44249997,610.37286,569.90045,377.98068
178,0.44396669,610.1048,569.13776,380.69803
178,0.4454281,609.83734,568.37781,383.41006
178,0.44688451,609.57043,567.62048,386.11697
178,0.44833583,609.30408,566.86578,388.81891
178,0.44978237,609.03821,566.11359,391.51602
178,0.45122421,608.77277,565.36383,394.2085
178,0.45266181,608.50769,564.61627,396.89667
178,0.45409557,608.24286,563.87073,399.58066
178,0.45552555,607.97821,563.12714,402.26065
178,0.45695177,607.71375,562.3855,404.93677
178,0.45837447,607.44934,561.64569,407.60919
178,0.45979378,607.18506,560.90765,410.27805
178,0.4612098,606.92084,560.17133,412.94345
178,0.46262252,606.65668,559.43671,415.60556
178,0.46403208,606.39264,558.70374,418.26447
178,0.4654386,606.12866,557.97235,420.92029
178,0.46684241,605.86475,557.24237,423.57339
178,0.46824375,605.60071,556.51367,426.22385
178,0.46964288,605.33643,555.78613,428.87177
178,0.47103986,605.07196,555.05969,431.5173
178,0.47243488,604.80725,554.33429,434.16052
178,0.47382799,604.5423,553.60986,436.80157
178,0.47521925,604.27704,552.88641,439.44055
