Checkpoint number,Checkpoint fraction,X,Y,Z
187,0.99883538,-8.21958,0.90469,1.51401
0,0.01503333,-8.24346,0.90469,-1.804
0,0.04259674,-8.26726,0.90471,-5.11161
0,0.07007354,-8.29099,0.90473,-8.40882
0,0.09746381,-8.31465,0.90468,-11.69566
0,0.12529913,-8.33869,0.90468,-15.03589
0,0.15333885,-8.3629,0.9047,-18.40066
0,0.18162186,-8.38733,0.90471,-21.79462
0,0.21013576,-8.41195,0.90473,-25.21629
0,0.23887762,-8.43677,0.90468,-28.66532
0,0.26784286,-8.46178,0.90468,-32.14114
0,0.2970272,-8.48699,0.9047,-35.64326
0,0.32642639,-8.51238,0.90471,-39.17117
0,0.35603619,-8.53795,0.90473,-42.72434
0,0.3858524,-8.5637,0.90468,-46.30229
0,0.41587088,-8.58962,0.90468,-49.90451
0,0.44608754,-8.61572,0.9047,-53.53051
0,0.47649834,-8.64198,0.90471,-57.1798
0,0.50709927,-8.6684,0.90473,-60.85191
0,0.53788638,-8.69499,0.90468,-64.54636
0,0.5688557,-8.72174,0.90468,-68.26269
0,0.60000342,-8.74863,0.9047,-72.00041
0,0.63132572,-8.77568,0.90471,-75.75909
0,0.66281885,-8.80288,0.90472,-79.53826
0,0.69447911,-8.83022,0.90474,-83.33749
0,0.72630286,-8.85771,0.90471,-87.15634
0,0.75828642,-8.88533,0.90471,-90.99437
0,0.79042631,-8.91308,0.90471,-94.85116
0,0.82152611,-9.39513,0.90464,-98.58313
0,0.85232872,-10.37893,0.90451,-102.27945
0,0.88385171,-11.70922,0.90444,-106.0622
0,0.91527671,-13.27208,0.90436,-109.83321
0,0.94630164,-15.03357,0.90432,-113.5562
0,0.97678494,-16.98573,0.90435,-117.2142
1,0.00248513,-19.12679,0.9044,-120.79524
1,0.01340165,-21.45547,0.90542,-124.28853
1,0.02401092,-23.96951,0.91212,-127.68349
1,0.0342802,-26.66567,0.92848,-130.96967
1,0.04417758,-29.53974,0.95056,-134.13683
1,0.05367107,-32.58619,0.95672,-137.17474
1,0.06259227,-35.83437,0.79522,-140.02953
1,0.07091484,-39.29331,0.53654,-142.69275
1,0.07850365,-42.92693,0.17812,-145.12117
1,0.08523102,-46.7287,-0.28362,-147.27393
1,0.09099603,-50.69397,-0.85307,-149.11873
1,0.09572373,-54.80827,-1.53422,-150.63159
1,0.09935846,-59.04753,-2.33019,-151.79471
1,0.10185909,-63.38186,-3.24325,-152.59491
1,0.10319681,-67.77831,-4.27498,-153.02298
1,0.10335193,-72.20213,-5.42624,-153.07262
1,0.10231395,-76.6183,-6.69739,-152.74046
1,0.10008021,-80.99088,-8.08655,-152.02567
1,0.09665604,-85.28438,-9.58994,-150.92993
1,0.09205627,-89.46379,-11.20305,-149.45801
1,0.086306,-93.49451,-12.9205,-147.61792
1,0.07943983,-97.34235,-14.7361,-145.42075
1,0.07150164,-100.97457,-16.64303,-142.88052
1,0.06254578,-104.35963,-18.63373,-140.01465
1,0.05263524,-107.46778,-20.7,-136.84328
1,0.04184165,-110.27157,-22.83313,-133.38933
1,0.03024416,-112.74579,-25.0239,-129.67813
1,0.01792865,-114.86816,-27.2627,-125.73717
1,0.0049861,-116.6196,-29.53971,-121.59555
0,0.9773649,-117.98414,-31.84488,-117.28379
0,0.94027531,-118.9493,-34.16816,-112.83304
0,0.9022885,-119.50624,-36.49971,-108.27462
0,0.86366618,-119.6491,-38.82965,-103.63994
0,0.82466,-119.37517,-41.14864,-98.9592
0,0.78551227,-118.68472,-43.44788,-94.26147
0,0.7464537,-117.58054,-45.71907,-89.57445
0,0.70769805,-116.06739,-47.95479,-84.92377
0,0.66945088,-114.1525,-50.14834,-80.33411
0,0.63195741,-111.84439,-52.28886,-75.83489
0,0.59544402,-109.1513,-54.36645,-71.45329
0,0.56012684,-106.08301,-56.37218,-67.21522
0,0.526209,-102.65134,-58.29872,-63.14508
0,0.49388421,-98.87007,-60.13998,-59.26611
0,0.4633396,-94.75486,-61.89065,-55.60075
0,0.4347524,-90.32233,-63.54649,-52.17029
0,0.40829223,-85.59019,-65.10409,-48.99507
0,0.38411951,-80.57689,-66.56097,-46.09434
0,0.36238888,-75.30193,-67.91515,-43.48666
0,0.34324872,-69.78548,-69.16508,-41.18985
0,0.32683817,-64.04819,-70.31017,-39.22058
0,0.31328899,-58.11217,-71.35007,-37.59468
0,0.30272663,-52.00027,-72.28458,-36.32719
0,0.29526967,-45.73594,-73.11388,-35.43236
0,0.29102767,-39.34384,-73.83837,-34.92332
0,0.29009941,-32.84956,-74.45876,-34.81193
0,0.29257172,-26.27994,-74.97579,-35.10861
0,0.29852101,-19.66268,-75.39036,-35.82252
0,0.30800885,-13.02626,-75.70367,-36.96106
0,0.32108301,-6.4003,-75.91678,-38.52996
0,0.33777666,0.1853,-76.03127,-40.5332
0,0.35810229,6.69965,-76.04882,-42.97227
0,0.38205197,13.11109,-75.9709,-45.84624
0,0.40960065,19.38766,-75.79897,-49.15208
0,0.44070557,25.49768,-75.5349,-52.88467
0,0.47530207,31.40931,-75.18047,-57.03625
0,0.5133065,37.09127,-74.73792,-61.59678
0,0.55460835,42.51235,-74.20905,-66.553
0,0.59908009,47.64217,-73.59577,-71.88961
0,0.64657295,52.45102,-72.89972,-77.58875
0,0.69692123,56.91047,-72.12281,-83.63055
0,0.74993873,60.99366,-71.26723,-89.99265
0,0.8054195,64.67545,-70.33531,-96.65034
0,0.86313748,67.93211,-69.32896,-103.5765
0,0.92284977,70.74202,-68.25008,-110.74197
0,0.98430324,73.08549,-67.10071,-118.11639
1,0.01771152,74.94528,-65.88318,-125.66769
1,0.04175448,76.30679,-64.59924,-133.36143
1,0.06613479,77.15748,-63.25121,-141.16313
1,0.09073796,77.48811,-61.84091,-149.03615
1,0.11544942,77.29147,-60.3703,-156.94382
1,0.14015274,76.56326,-58.84163,-164.84888
1,0.16472888,75.30273,-57.25703,-172.71324
1,0.18905716,73.512,-55.61803,-180.49829
1,0.21302028,71.19505,-53.92683,-188.16649
1,0.23649955,68.35976,-52.18509,-195.67986
1,0.2607944,65.81561,-51.15106,-203.45421
1,0.2852293,63.63737,-50.53693,-211.27338
1,0.30986166,62.03423,-50.35083,-219.15573
1,0.33472896,61.07862,-50.55742,-227.11327
1,0.35973129,60.74727,-51.07156,-235.11401
1,0.38474813,60.92182,-51.8155,-243.1194
1,0.40957007,61.51479,-52.68508,-251.06242
1,0.4340542,62.49498,-53.60856,-258.89734
1,0.45810604,63.8619,-54.53725,-266.59393
1,0.48166019,65.62706,-55.43624,-274.13126
1,0.50467473,67.80502,-56.28199,-281.49591
1,0.52711618,70.40421,-57.0574,-288.67719
1,0.54894865,73.42309,-57.74825,-295.66357
1,0.57013422,76.85349,-58.34356,-302.44296
1,0.59063286,80.68266,-58.83513,-309.00253
1,0.61040241,84.89552,-59.21726,-315.3288
1,0.62939984,89.47604,-59.48646,-321.40796
1,0.64758116,94.40833,-59.64135,-327.22598
1,0.66490179,99.67605,-59.68208,-332.76859
1,0.6813162,105.2628,-59.60994,-338.02121
1,0.69677871,111.15179,-59.42714,-342.96921
1,0.71124268,117.32581,-59.13625,-347.59769
1,0.72466177,123.76746,-58.74028,-351.89178
1,0.73698914,130.4593,-58.24264,-355.83655
1,0.74817991,137.38266,-57.64716,-359.4176
1,0.75819045,144.51772,-56.95758,-362.62097
1,0.76697868,151.84378,-56.17762,-365.4332
1,0.7745049,159.33919,-55.31093,-367.84158
1,0.7807321,166.98132,-54.36101,-369.83429
1,0.7856254,174.74699,-53.33134,-371.40015
1,0.78915447,182.61171,-52.22535,-372.52945
1,0.79129404,190.55009,-51.04671,-373.21411
1,0.79202437,198.53535,-49.79844,-373.44781
1,0.79132789,206.54092,-48.48369,-373.22495
1,0.78919488,214.53868,-47.10515,-372.54239
1,0.78561854,222.50108,-45.66589,-371.39795
1,0.78060037,230.39935,-44.16852,-369.79214
1,0.7741465,238.20514,-42.6159,-367.7269
1,0.76626968,245.88948,-41.01031,-365.20633
1,0.75698709,253.42404,-39.35427,-362.2359
1,0.74632305,260.78058,-37.65028,-358.82339
1,0.73430949,267.93094,-35.90043,-354.97906
1,0.72098219,274.84756,-34.1067,-350.71432
1,0.7063843,281.50351,-32.27087,-346.043
1,0.69056207,287.87296,-30.39499,-340.97989
1,0.67356867,293.93094,-28.48108,-335.54199
1,0.65546495,299.65363,-26.53101,-329.74881
1,0.6363166,305.01816,-24.54614,-323.62134
1,0.61619073,310.00308,-22.52819,-317.18103
1,0.59516019,314.58853,-20.47898,-310.45126
1,0.57330453,318.75623,-18.39992,-303.45746
1,0.55070508,322.4892,-16.29237,-296.22562
1,0.52744818,325.77243,-14.15753,-288.78342
1,0.50362176,328.59238,-11.99657,-281.15897
1,0.47931558,330.93741,-9.81105,-273.38098
1,0.45462561,332.79843,-7.602,-265.48019
1,0.4296464,334.1676,-5.37058,-257.48685
1,0.40447468,335.03925,-3.11805,-249.43192
1,0.37921023,335.41028,-0.8454,-241.34729
1,0.35395193,335.27905,1.44649,-233.26463
1,0.32879871,334.64597,3.75663,-225.21561
1,0.30384985,333.51355,6.08405,-217.23196
1,0.27920467,331.88708,8.4279,-209.3455
1,0.25495991,329.77319,10.78709,-201.58719
1,0.23121104,327.18085,13.16052,-193.98755
1,0.20805201,324.121,15.54721,-186.57666
1,0.1855751,320.60706,17.94646,-179.38405
1,0.16386923,316.65359,20.35756,-172.43817
1,0.14302059,312.27698,22.77981,-165.7666
1,0.12311183,307.496,25.21266,-159.3958
1,0.1040596,302.34305,27.58739,-153.29909
1,0.08499118,296.97662,29.55187,-147.19719
1,0.06523524,291.92542,31.00984,-140.87529
1,0.04492493,287.08603,32.02147,-134.37599
1,0.02424481,282.46201,32.69896,-127.75835
1,0.00327108,278.06314,33.10402,-121.04675
0,0.95211112,273.9053,33.27911,-114.25334
0,0.89482206,270.02267,33.25575,-107.37865
0,0.83659327,266.55655,33.07404,-100.3912
0,0.77733058,263.97198,32.96767,-93.27968
0,0.71627492,262.19775,32.77565,-85.953
0,0.65400589,261.08621,32.51246,-78.48071
0,0.59130925,260.51263,32.23725,-70.95712
0,0.52872938,260.40881,31.99748,-63.44753
0,0.46655613,260.75336,31.82046,-55.98674
0,0.40497676,261.54343,31.72308,-48.59721
0,0.34414956,262.78003,31.71606,-41.29795
0,0.28423569,264.46231,31.80649,-34.10828
0,0.22540449,266.5867,31.99864,-27.04854
0,0.16783458,269.147,32.29483,-20.14015
0,0.11171018,272.13544,32.69576,-13.40522
0,0.05721849,275.5433,33.20061,-6.86622
0,0.00454916,279.36029,33.80724,-0.5459
187,0.99574417,283.57394,34.51301,5.53263
187,0.99127215,288.17105,35.31465,11.34624
187,0.98702157,293.13684,36.2084,16.872
187,0.98300987,298.45499,37.19035,22.08715
187,0.97925413,304.10745,38.25619,26.96964
187,0.97577083,310.07422,39.40178,31.49796
187,0.97257596,316.3335,40.6235,35.65129
187,0.9696849,322.86307,41.91725,39.40972
187,0.96711165,329.63776,43.27945,42.75494
187,0.9648695,336.63223,44.70617,45.6697
187,0.96297014,343.81873,46.19376,48.13877
187,0.96142417,351.16785,47.73927,50.14858
187,0.96024084,358.65015,49.33949,51.68686
187,0.95942765,366.23438,50.99153,52.74399
187,0.95899075,373.88882,52.69258,53.31202
187,0.95893413,381.58087,54.43994,53.38561
187,0.95926034,389.27728,56.23124,52.96158
187,0.95997006,396.94464,58.0642,52.03896
187,0.96106231,404.54938,59.93672,50.61906
187,0.96253425,412.05792,61.84682,48.70548
187,0.9643814,419.43692,63.79265,46.30417
187,0.96659732,426.65335,65.77243,43.42345
187,0.96917337,433.6749,67.78426,40.07455
187,0.97209954,440.46994,69.82652,36.27068
187,0.97536379,447.00784,71.89761,32.02714
187,0.97895283,453.25894,73.99611,27.36131
187,0.98285186,459.19482,76.12061,22.29264
187,0.98704362,464.78842,78.27,16.84327
187,0.99151039,470.0141,80.44326,11.03648
187,0.99623293,474.84793,82.63931,4.89721
0,0.01290395,479.26764,84.85687,-1.54847
0,0.06893044,483.25336,87.09483,-8.27165
0,0.12580165,487.36374,88.78758,-15.0962
0,0.18021658,491.79306,90.01756,-21.62599
0,0.2319221,496.68417,90.7236,-27.83066
0,0.28051367,502.03629,91.00272,-33.66164
0,0.32629967,507.76202,90.95011,-39.15596
0,0.3695274,513.74542,90.68105,-44.34329
0,0.41017017,519.91339,90.28912,-49.22042
0,0.44805327,526.23853,89.8325,-53.7664
0,0.4829601,532.71027,89.35271,-57.95522
0,0.51467907,539.32568,88.87961,-61.76149
0,0.54304206,546.0769,88.44074,-65.16505
0,0.56790471,552.96033,88.0545,-68.14857
0,0.58916813,559.96887,87.73483,-70.70019
0,0.60677338,567.08997,87.4934,-72.81281
0,0.62068748,574.30743,87.33936,-74.48251
0,0.63089305,581.60272,87.27932,-75.70718
0,0.63738364,588.95526,87.3181,-76.48605
0,0.64015603,596.34375,87.45857,-76.81873
0,0.63920867,603.74646,87.70159,-76.70506
0,0.63454705,611.14075,88.04673,-76.14566
0,0.62618423,618.50293,88.4928,-75.14212
0,0.61413485,625.80914,89.03764,-73.6962
0,0.59842229,633.03491,89.67855,-71.81069
0,0.57907861,640.15527,90.41239,-69.48945
0,0.55614561,647.14478,91.23593,-66.73749
0,0.52967471,653.97778,92.14562,-63.56097
0,0.49972928,660.62854,93.13774,-59.96753
0,0.46639299,667.07086,94.20894,-55.96717
0,0.42975438,673.27924,95.35542,-51.57053
0,0.38992298,679.22815,96.57378,-46.79077
0,0.34701729,684.89258,97.86056,-41.64209
0,0.30117685,690.24823,99.21254,-36.14123
0,0.25255343,695.2713,100.62682,-30.30642
0,0.20131338,699.93921,102.10047,-24.15761
0,0.14763601,704.23053,103.63062,-17.71632
0,0.09171346,708.12512,105.21442,-11.00562
0,0.03375502,711.60461,106.84917,-4.0506
187,0.99759823,714.65198,108.53248,3.12226
187,0.99193436,717.25195,110.26211,10.48538
187,0.98614615,719.39093,112.03601,18.01005
187,0.98025656,721.05725,113.85207,25.66656
187,0.97428948,722.2417,115.7085,33.42371
187,0.96826911,722.93665,117.60361,41.25012
187,0.96221989,723.13666,119.53537,49.11419
187,0.95616651,722.83887,121.50181,56.98355
187,0.95013446,722.04321,123.50127,64.82514
187,0.9441492,720.75098,125.53238,72.60613
187,0.9382354,718.96564,127.59363,80.29388
187,0.9324187,716.69373,129.68373,87.85566
187,0.92672354,713.94324,131.8015,95.25935
187,0.92117405,710.7243,133.94534,102.47374
187,0.91579396,707.0498,136.11411,109.46786
187,0.91060621,702.93475,138.3065,116.21186
187,0.90563315,698.39594,140.52136,122.67691
187,0.90089589,693.45203,142.75752,128.83534
187,0.89641482,688.12354,145.01381,134.66081
187,0.89220899,682.4328,147.28912,140.12831
187,0.88829654,676.40448,149.58263,145.21446
187,0.88469434,670.06403,151.89354,149.89735
187,0.88141781,663.43835,154.22095,154.15691
187,0.87848091,656.55566,156.56396,157.97491
187,0.8758961,649.4455,158.92175,161.33511
187,0.87367439,642.13837,161.29343,164.22327
187,0.87182522,634.66571,163.67816,166.62726
187,0.87035608,627.05981,166.07515,168.53708
187,0.86927319,619.35345,168.48364,169.94489
187,0.8685807,611.57996,170.90283,170.84514
187,0.86828107,603.77301,173.33191,171.23456
187,0.86837494,595.96686,175.77045,171.11253
187,0.86886185,588.19464,178.21748,170.47961
187,0.8697384,580.49048,180.67253,169.34004
187,0.87100041,572.88745,183.13487,167.69945
187,0.8725087,565.2561,185.33151,165.73862
187,0.87391967,557.58636,187.09906,163.9044
187,0.87531298,549.88739,188.49849,162.09317
187,0.87666965,542.16425,189.56769,160.32945
187,0.87792629,534.42871,190.34674,158.69574
187,0.87894332,526.68335,190.85718,157.37369
187,0.87901312,519.14594,191.38707,157.28297
187,0.87823159,511.73117,191.82547,158.299
187,0.87681568,504.43283,192.17252,160.13959
187,0.87494665,497.28357,192.47781,162.56927
187,0.87274206,490.31955,192.79137,165.43535
187,0.8702504,483.56641,193.14343,168.67444
187,0.86748582,477.04416,193.55188,172.26848
187,0.86445105,470.77087,194.02777,176.21367
187,0.86114907,464.76398,194.57817,180.50627
187,0.85758495,459.04077,195.20734,185.1395
187,0.85376692,453.61844,195.9175,190.10304
187,0.84970468,448.51416,196.7093,195.38394
187,0.84541023,443.74496,197.58241,200.96667
187,0.84089696,439.32791,198.53596,206.83398
187,0.83617866,435.27975,199.56821,212.96771
187,0.83127058,431.61661,200.67664,219.34825
187,0.82618904,428.35367,201.85825,225.95425
187,0.82095188,425.5051,203.10983,232.76259
187,0.81557834,423.08389,204.42865,239.74812
187,0.8100878,421.10242,205.81157,246.88582
187,0.80450076,419.57123,207.2552,254.14909
187,0.79883862,418.49902,208.75664,261.5097
187,0.79312378,417.89325,210.31279,268.93909
187,0.78737867,417.7594,211.92072,276.40775
187,0.78162664,418.10086,213.57762,283.88535
187,0.77589154,418.91891,215.28088,291.341
187,0.77019709,420.21289,217.02798,298.74374
187,0.76456732,421.98013,218.81644,306.0625
187,0.75902635,424.21542,220.64433,313.26578
187,0.75359786,426.9122,222.50954,320.32281
187,0.7483052,430.0614,224.40981,327.20325
187,0.74317163,433.65134,226.34335,333.87689
187,0.73821956,437.66876,228.3082,340.31458
187,0.73347086,442.09753,230.30275,346.48788
187,0.72894669,446.92026,232.32559,352.36932
187,0.72466719,452.1178,234.37526,357.93268
187,0.72065163,457.66919,236.45047,363.15289
187,0.71691799,463.55103,238.55002,368.00656
187,0.71348333,469.73892,240.67282,372.47165
187,0.71036309,476.20731,242.81749,376.52802
187,0.70757139,482.92862,244.98305,380.1572
187,0.70512104,489.87454,247.16818,383.34262
187,0.70298404,497.11108,249.25677,386.12076
187,0.70059514,504.36478,250.68901,389.22635
187,0.69771773,511.06772,251.68736,392.96695
187,0.69427079,517.22638,252.20499,397.448
187,0.69036031,523.01648,252.25131,402.53162
187,0.68614542,528.49915,251.99055,408.01096
