Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,True width,Notes
0,0,0,0,1,0,0,60,,
1,0,0,-599.97278,1,0,0,60,,
2,117.50978,15.74057,-882.51062,0.61238,-0.49997,0.61238,60,,
3,400.01096,15.7684,-999.56079,0.0001,-0.49997,0.86604,60,,
4,1200.19971,15.70043,-999.64917,-5e-05,-0.50006,0.86599,60,,"Blue railing ends, pipe begins"
5,1599.953,12.52442,-1001.43628,-5e-05,-0.50006,0.86599,58.903,,
6,1999.8855,9.29532,-1003.32263,-5e-05,-0.50006,0.86599,141.339,45,Blue pipe begins here
7,2191.39087,6.39745,-954.41144,-0.38277,0,0.92384,141.372,45,
8,2353.6394,6.39748,-845.93921,-0.70731,0,0.7069,141.372,45,
12,2498.03052,3.68376,-444.5593,-0.99759,-0.01954,-0.06655,141.372,45,
15,2456.16187,-39.3399,-354.40646,-0.87947,0.06581,-0.47138,141.372,45,
19,2339.35059,-152.11169,-227.63469,-0.69467,0.07845,-0.71504,141.372,45,
23,2265.68506,-202.03775,-156.87286,-0.69644,0.00355,-0.7176,141.372,45,
26,2171.32202,-221.61009,-64.17874,-0.70541,-0.00017,-0.7088,141.372,45,Semi-transparent pipe begins here
30,2036.495,-139.01622,25.46874,-0.58946,-0.7831,0.19825,141.372,45,
33,1932.61047,75.52736,-11.79918,0.85632,0.51163,-0.07035,141.372,45,
36,1728.3877,197.1178,65.63908,-0.09496,0.99093,-0.0951,141.372,45,
37,1681.15906,182.03241,136.61623,-0.26253,0.92514,0.27421,141.372,45,
38,1657.30103,138.99771,212.06279,-0.19817,0.78301,0.5896,141.372,45,
162,0.00239,0,999.96661,1,0,0,60,,
163,0.00969,0,400.00464,1,0,0,60,,
,,,,,,,,,
,,,,,,,,,
