Checkpoint number,Checkpoint fraction,X,Y,Z
4,0.21327411,1285.30969,15.62187,-997.50299
4,0.22920121,1291.68054,15.5192,-997.31268
4,0.24552201,1298.20886,15.4127,-997.11285
4,0.26162887,1304.65161,15.3066,-996.91315
4,0.27779526,1311.11816,15.19613,-996.71307
4,0.29413557,1317.6543,15.07842,-996.51337
4,0.31046581,1324.1864,14.95336,-996.3175
4,0.32689312,1330.75732,14.81951,-996.12451
4,0.34335214,1337.34094,14.678,-995.93506
4,0.35987985,1343.95203,14.52936,-995.74847
4,0.37645242,1350.58105,14.37491,-995.56445
4,0.39308202,1357.23291,14.21553,-995.38226
4,0.40975958,1363.90393,14.05165,-995.20184
4,0.4264887,1370.59558,13.88339,-995.02313
4,0.44326541,1377.30627,13.71078,-994.84619
4,0.46009037,1384.03625,13.53373,-994.67096
4,0.47696137,1390.78467,13.35251,-994.4975
4,0.49387786,1397.55127,13.16722,-994.32562
4,0.51083833,1404.33545,12.97832,-994.15509
4,0.5278421,1411.13696,12.78621,-993.98578
4,0.54488796,1417.95532,12.59121,-993.8175
4,0.56197476,1424.79004,12.3939,-993.65009
4,0.5791015,1431.64075,12.19431,-993.48346
4,0.59626734,1438.50708,11.99242,-993.31769
4,0.61347097,1445.38855,11.78829,-993.15265
4,0.63071162,1452.28479,11.5828,-992.98993
4,0.6479882,1459.19543,11.37732,-992.83185
4,0.66530049,1466.12036,11.17409,-992.68256
4,0.68264759,1473.0592,10.97441,-992.54401
4,0.70002824,1480.01147,10.77927,-992.41742
4,0.71744126,1486.97668,10.58907,-992.30341
4,0.73488605,1493.95459,10.40398,-992.20203
4,0.7523613,1500.9447,10.22341,-992.11163
4,0.76986587,1507.94653,10.04631,-992.02948
4,0.78739882,1514.95972,9.87129,-991.953
4,0.80495924,1521.98389,9.69744,-991.87988
4,0.82254618,1529.01868,9.52459,-991.80872
4,0.84015876,1536.06372,9.35238,-991.73859
4,0.8574363,1542.97473,9.18435,-991.67053
4,0.87461126,1549.84473,9.01831,-991.60315
4,0.89162451,1556.65002,8.85482,-991.53656
4,0.90849888,1563.39978,8.69409,-991.47034
4,0.92523319,1570.09351,8.53629,-991.40436
4,0.9418332,1576.73352,8.38166,-991.33856
4,0.95830262,1583.32129,8.23015,-991.27289
4,0.97464508,1589.85828,8.08211,-991.20728
4,0.99086457,1596.34607,7.93756,-991.14166
5,0.00681336,1602.72559,7.79825,-991.0766
5,0.02271821,1609.08752,7.66217,-991.01111
5,0.03858674,1615.43494,7.52932,-990.94507
5,0.05441957,1621.76807,7.39981,-990.87848
5,0.07021639,1628.08679,7.27349,-990.8114
5,0.0859772,1634.39111,7.15032,-990.74384
5,0.1017023,1640.68115,7.03042,-990.67584
5,0.11739139,1646.95679,6.91389,-990.6073
5,0.13304448,1653.21802,6.80064,-990.53754
5,0.14866154,1659.46484,6.69027,-990.46307
5,0.1642423,1665.69714,6.58179,-990.37738
5,0.17978643,1671.91479,6.47461,-990.27643
5,0.19529334,1678.11755,6.36838,-990.15533
5,0.21076331,1684.30554,6.2636,-990.01251
5,0.22619575,1690.47852,6.16149,-989.84772
5,0.24159096,1696.6366,6.06372,-989.664
5,0.25694925,1702.77991,5.97225,-989.46625
5,0.27227089,1708.90857,5.88873,-989.25909
5,0.28755593,1715.02258,5.81425,-989.04614
5,0.30280498,1721.12219,5.74939,-988.8299
5,0.31801799,1727.2074,5.69457,-988.61194
5,0.333195,1733.2782,5.64954,-988.39331
5,0.34833598,1739.33459,5.61431,-988.17474
5,0.36344096,1745.37659,5.5885,-987.95667
5,0.37850994,1751.40417,5.57175,-987.73773
5,0.39354259,1757.41724,5.56411,-987.51532
5,0.40853864,1763.41565,5.56586,-987.28668
5,0.42349774,1769.39929,5.57737,-987.04919
5,0.4385719,1775.42896,5.59936,-986.80072
5,0.45346084,1781.38452,5.63224,-986.54498
5,0.46826643,1787.30676,5.67804,-986.27313
5,0.48295945,1793.18396,5.73737,-985.98651
5,0.49755326,1799.02148,5.81101,-985.68542
5,0.51204729,1804.81909,5.89972,-985.3703
5,0.52644515,1810.57825,6.00446,-985.04163
5,0.54074907,1816.2998,6.12616,-984.70007
5,0.55496174,1821.98486,6.26551,-984.34631
