Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width
0,0,0,0,1,0,0,60
1,0,0,-300,1,0,0,60
2,0,0,-400,1,0,0,60
3,30.72908,8.30594,-552.90857,0.92087,-0.08159,0.38123,90
69,815.00122,-13.63957,319.90329,0.23302,0.97247,0,90
70,815.70465,-10.03771,399.89148,0.00038,1,0,90
71,815.01044,-6.40204,480.04861,-0.23274,0.97254,0,90
72,803.05566,-1.01653,879.7002,-0.94691,0.3215,0,90
73,799.99652,-3.89594,1200.08875,-1,0,0,90
74,785.19135,-5.60303,1260.99805,-0.89488,-0.0139,-0.44608,93.12
75,748.27942,-9.37004,1313.11255,-0.73619,-0.04944,-0.67497,100.554
76,725.17365,-11.37854,1334.66357,-0.66443,-0.07364,-0.74371,104.997
77,700.87585,-13.13522,1353.33606,-0.61052,-0.10232,-0.78536,109.446
78,653.51526,-14.79462,1384.74878,-0.58223,-0.17559,-0.79384,116.936
79,614.9447,-12.35435,1414.6842,-0.68286,-0.25848,-0.6833,120
80,582.63953,-5.34128,1451.24731,-0.72783,-0.32348,-0.60467,113.779
81,548.86267,4.16739,1492.55652,-0.71374,-0.37137,-0.59385,98.822
82,529.95557,9.27509,1513.71985,-0.68992,-0.39099,-0.60921,90.001
83,508.60861,14.46122,1534.86633,-0.64475,-0.41156,-0.64414,81.056
89,186.24275,45.19122,1619.49963,0.12063,-0.37949,-0.9173,98.883
92,7.26585,39.72559,1485.26758,0.90374,-0.17879,-0.38895,116.875
95,-12.28967,20.28086,1333.98901,0.99626,-0.05047,0.07016,100.561
98,0,8.90514,1199.95276,1,0,0,90
99,0,8.5689,1101.22156,1,0,0,60
103,0,0,559.99213,1,0,0,60
104,0,0,401.20056,1,0,0,60
105,0,0,400,1,0,0,60
,,,,,,,
,,,,,,,
