Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,True width,Notes
0,0,0,0,1,0,0,60,,
1,-0.00068,0.87526,-80.73804,1,0,0,51.612,,Pipe track width starts about Z = -76.5
2,-0.00775,0.87545,-160.16077,1,0,0,64.069,63,True width from max x value when going to edge of pipe
5,0.00126,0.88272,-399.97443,1,0,0,145.287,88.4,Middle of first dash plate
10,-0.02635,0.88445,-800.21167,1,0,0.00038,376.991,120,Start of full pipe
391,-570.36768,358.71811,-730.24548,-0.96729,0.11744,0.22485,88.643,,Before start of downslope
392,-571.61328,360.83292,-694.0177,-0.96835,0.03837,0.24663,94.078,,
393,-572.13098,355.32703,-655.01721,-0.97117,-0.04215,0.23463,100.009,,
397,-562.37878,237.31444,-532.51318,-0.99032,-0.13579,0.02873,118.881,,
400,-541.30676,45.99131,-294.39929,-0.93455,-0.35556,0.01371,120,,End of downslope
400,-503.01843,-55.01528,-295.21936,-1,0,0,300,,
401,-505.5741,-55.57204,-246.28123,-0.99982,0.01879,0.00134,297.611,,
404,-565.36646,-65.5486,63.37176,-0.89771,0.43953,0.03058,242.366,,
406,-588.69116,-60.88987,194.47432,-0.77303,0.43008,-0.46632,238.32,,
409,-737.90222,-27.32765,270.24969,0.13458,0.24552,-0.96,227.034,,
412,-866.45947,22.56126,157.6282,0.9653,-0.04845,-0.25661,210,,
414,-861.04498,47.44478,68.79488,0.92605,-0.20278,0.31828,201.056,,
416,-729.9809,85.39936,-25.45708,0.06458,-0.44593,0.89274,186.236,,
419,-596.88696,99.81142,49.21,-0.74557,-0.54023,0.39024,180,,
421,-575.03674,95.56824,91.89092,-0.75471,-0.52266,0.39653,178.712,,
424,-535.58514,80.51875,197.5412,-0.81377,-0.37738,0.44199,162.015,,
427,-517.15649,72.64737,255.88147,-0.84277,-0.2671,0.46733,142.908,,
430,-482.98453,61.70601,350.98105,-0.86424,-0.10253,0.49253,104.948,,
433,-447.00778,51.88628,422.11142,-0.8658,-0.04843,0.49803,90,,Start of ice path
434,-355.3418,56.0075,504.81137,-0.40672,-0.02405,0.91324,90,,
435,-232.5966,67.39395,517.83813,0.21181,0.04213,0.9764,90,,
436,-125.62869,84.19956,456.17776,0.74322,0.13926,0.65439,90,,
437,-75.45614,104.54346,343.57727,0.96333,0.25527,0.08265,90,,
438,-100.85977,126.70316,223.11559,0.78887,0.37718,-0.48521,90,,
439,-192.48085,148.88469,140.44351,0.32199,0.49317,-0.80815,90,,
440,-314.91342,169.22966,127.45135,-0.20729,0.5924,-0.77852,90,,
441,-421.57324,185.98409,188.84233,-0.58262,0.66789,-0.46312,90,,
442,-471.79614,197.33577,301.27017,-0.69813,0.71556,-0.02412,90,,
443,-446.43289,201.52327,421.6207,-0.5632,0.73235,0.38273,90,,
448,-368.31976,190.24062,552.42413,-0.542,0.74446,0.3899,90,,Middle of dash plate on ice path
453,-280.633,172.85059,676.05042,-0.60158,0.62643,0.49567,90,,
458,-190.80171,155.3098,798.25702,-0.64731,0.49378,0.58067,90,,
463,-94.10337,142.87248,915.70618,-0.63347,0.51028,0.58166,90,,End of ice path
468,-6.30685,135.48134,1111.82056,-0.8201,0.51008,0.25933,120.007,,
473,-10.06333,128.09511,1321.00012,-0.85288,0.51016,-0.11109,150,,
478,162.05731,94.17876,1445.1405,0.47666,0.236,0.84682,164.998,,
483,149.18379,87.72138,1214.95996,0.3415,0.1591,-0.92632,180,,Start of refiller
488,-54.36076,63.64627,1169.90137,0.0871,0.04274,-0.99528,180,,
491,-178.98877,52.7196,1169.1908,-0.07175,-0.05303,-0.99601,180,,
492,-220.43159,52.54739,1173.36426,-0.12391,-0.07035,-0.9898,180,,
493,-261.51929,53.73238,1179.60229,-0.17516,-0.07521,-0.98166,180,,End of refiller
494,-301.60822,54.1446,1180.22681,0.1544,-0.08552,-0.9843,180,,
495,-339.25909,54.96801,1167.69421,0.46419,-0.10946,-0.87895,180,,
496,-370.79037,55.60256,1143.50293,0.72254,-0.13686,-0.67764,180,,
497,-392.6337,55.42418,1110.4386,0.90088,-0.15771,-0.4044,180,,
498,-402.51486,53.84136,1072.24194,0.98273,-0.16188,-0.08965,180,,
499,-399.62857,49.60228,1032.80908,0.96145,-0.14027,0.23649,180,,
500,-384.18304,43.1782,996.34955,0.83571,-0.09964,0.54005,180,,
501,-357.74176,36.40085,966.93323,0.61642,-0.05358,0.78559,180,,
