Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
532,0.85475576,532,532,27397.00586,11.33656,0.90325,6.99384,
532,0.88522804,532,532,27398.47266,10.87913,0.90306,5.52654,Even with an ice track scrape
532,0.91671586,532,532,27399.98828,10.44426,0.90336,4.01033,
532,0.94941473,532,532,27401.56445,10.03291,0.90393,2.43582,
532,0.98298943,532,532,27403.18164,9.69498,0.90463,0.81913,
0,0.01069674,0,532,0.85593,9.46082,0.90511,-0.85571,
0,0.03243879,0,0,2.59568,9.3449,0.90536,-2.59507,
0,0.05494199,0,0,4.39633,9.35377,0.90544,-4.39533,
0,0.0781208,0,0,6.25104,9.49097,0.90549,-6.24963,
0,0.1018776,0,0,8.15201,9.75881,0.90561,-8.15018,
0,0.12611172,0,0,10.09116,10.15902,0.90588,-10.08891,
0,0.15072209,0,0,12.06043,10.69301,0.9065,-12.05774,
0,0.17560796,0,0,14.05173,11.36191,0.90752,-14.04861,
0,0.20066895,0,0,16.05705,12.16663,0.90909,-16.05349,
0,0.22580491,0,0,18.06838,13.10786,0.9113,-18.06437,
0,0.25091571,0,0,20.07768,14.18606,0.91447,-20.07323,
0,0.27590114,0,0,22.07696,15.40145,0.91903,-22.07207,
0,0.30066076,0,0,24.05816,16.75398,0.92532,-24.05284,
0,0.32509381,0,0,26.01324,18.24333,0.93408,-26.00748,
0,0.34909916,0,0,27.93409,19.8689,0.94614,-27.92791,
0,0.37257519,0,0,29.81259,21.62976,0.96274,-29.806,
0,0.39542004,0,0,31.64058,23.52468,0.98546,-31.63358,
0,0.41751203,0,0,33.40833,25.55025,1.01644,-33.40094,
0,0.43834525,0,0,35.07535,27.66562,1.05466,-35.0676,
0,0.45741484,0,0,36.60125,29.86967,1.10592,-36.59317,
0,0.47066665,0,0,37.66163,32.21722,0.94536,-37.65332,
0,0.48000383,0,0,38.40878,34.9472,0.70066,-38.40029,
0,0.48630553,0,0,38.91302,37.87899,0.37313,-38.90443,
0,0.48979017,0,0,39.19185,40.91302,-0.03607,-39.1832,
0,0.49036333,0,0,39.23772,44.00266,-0.52517,-39.22905,
0,0.48783541,0,0,39.03544,47.12241,-1.09212,-39.02682,
0,0.48201823,0,0,38.56996,50.2532,-1.7349,-38.56144,
0,0.47276247,0,0,37.82934,53.37572,-2.45175,-37.82098,
0,0.45999238,0,0,36.8075,56.46737,-3.24178,-36.79937,
0,0.44385427,0,0,35.51617,59.49133,-4.10441,-35.50832,
0,0.42440879,0,0,33.96019,62.41774,-5.03901,-33.95269,
0,0.4017185,0,0,32.14457,65.21934,-6.04492,-32.13746,
0,0.37587944,0,0,30.07698,67.8698,-7.1213,-30.07034,
0,0.34702456,0,0,27.76809,70.34402,-8.26706,-27.76195,
0,0.31532663,0,0,25.23169,72.61803,-9.48076,-25.22611,
0,0.28098971,0,0,22.48413,74.66956,-10.76052,-22.47916,
0,0.24424937,0,0,19.54426,76.4779,-12.10078,-19.53993,
0,0.2053577,0,0,16.43224,78.0248,-13.49545,-16.4286,
0,0.16458385,0,0,13.16961,79.2943,-14.93799,-13.16669,
0,0.1222105,0,0,9.779,80.27314,-16.42148,-9.77682,
0,0.07852993,0,0,6.28378,80.95083,-17.9388,-6.28237,
0,0.0338395,0,0,2.70776,81.31947,-19.4826,-2.70714,
532,0.98078829,0,0,27403.07422,81.37363,-21.04536,0.92511,
532,0.90464896,0,0,27399.4082,81.1104,-22.61973,4.59138,
532,0.82826471,0,0,27395.72852,80.52949,-24.19863,8.26943,
532,0.75207806,0,0,27392.06055,79.63264,-25.77517,11.93798,
532,0.67649955,0,0,27388.41992,78.42332,-27.34292,15.57724,
532,0.60190302,0,0,27384.82813,76.90649,-28.8961,19.16922,
532,0.52862895,0,0,27381.29883,75.08849,-30.42963,22.69752,
532,0.45698529,0,0,27377.84766,72.97644,-31.93898,26.14731,
532,0.3872447,0,0,27374.49023,70.57845,-33.42082,29.50546,
532,0.31979629,0,0,27371.24219,67.90446,-34.86702,32.75324,
532,0.25498345,0,0,27368.11914,64.96244,-36.27041,35.87411,
532,0.1931297,0,0,27365.14063,61.76114,-37.62465,38.8525,
532,0.13453728,0,0,27362.31836,58.31017,-38.92454,41.67385,
532,0.07949258,0,0,27359.66797,54.62029,-40.16583,44.32436,
532,0.02826747,0,0,27357.20117,50.7029,-41.34515,46.79096,
531,0.98112667,0,0,27354.92969,46.57011,-42.45964,49.06089,
531,0.93832183,0,0,27352.86914,42.23436,-43.50719,51.12203,
531,0.90010107,0,0,27351.02734,37.70869,-44.48588,52.96244,
531,0.86670548,0,0,27349.41797,33.00612,-45.39434,54.5705,
531,0.83836824,0,0,27348.05273,28.14005,-46.23172,55.93501,
531,0.81531596,0,0,27346.94141,23.12486,-46.99718,57.04502,
531,0.79777235,0,0,27346.0957,17.97506,-47.69015,57.88978,
531,0.78595293,0,0,27345.52734,12.70584,-48.31021,58.45891,
531,0.78006023,0,0,27345.24414,7.33302,-48.85735,58.74266,
531,0.78022921,0,0,27345.25195,1.867,-49.33928,58.73452,
531,0.78645599,0,0,27345.55078,-3.67728,-49.76666,58.43469,
531,0.79866874,0,0,27346.14063,-9.28125,-50.14853,57.84662,
531,0.80505472,0,0,27346.44727,-14.91264,-50.97971,57.53912,
531,0.79916072,0,0,27346.16406,-20.30392,-52.21893,57.82293,
531,0.77714133,0,0,27345.10352,-25.36113,-53.86523,58.88321,
531,0.74143529,0,0,27343.38281,-30.23948,-55.96733,60.60253,
531,0.69535279,0,0,27341.16211,-34.94451,-58.39066,62.8215,
531,0.64137965,0,0,27338.5625,-39.44101,-60.99263,65.42042,
531,0.58052808,0,0,27335.62891,-43.69821,-63.69162,68.35055,
531,0.51307404,0,0,27332.38086,-47.69017,-66.4409,71.5986,
531,0.43913403,0,0,27328.81836,-51.39298,-69.20465,75.15897,
531,0.35882542,0,0,27324.94922,-54.78419,-71.9505,79.02599,
531,0.27233195,0,0,27320.78125,-57.843,-74.64698,83.19083,
531,0.17990713,0,0,27316.32813,-60.55175,-77.26495,87.64128,
531,0.08182826,0,0,27311.60352,-62.8984,-79.78304,92.36398,
530,0.97850424,0,0,27306.62305,-64.87656,-82.18481,97.33925,
530,0.8704496,0,0,27301.41211,-66.48448,-84.45841,102.5423,
530,0.75823963,0,0,27296,-67.72306,-86.59551,107.94543,
530,0.64245653,0,0,27290.41602,-68.59479,-88.59145,113.52062,
530,0.52366686,0,0,27284.68555,-69.10283,-90.4446,119.24059,
530,0.40242049,0,0,27278.83789,-69.25047,-92.15535,125.07884,
530,0.27924508,0,0,27272.89844,-69.0405,-93.72514,131.00998,
530,0.15462638,0,0,27266.88672,-68.47501,-95.15708,137.01062,
530,0.02904974,0,0,27260.83008,-67.55573,-96.45423,143.05739,
529,0.902978,0,0,27254.74805,-66.28347,-97.61991,149.12801,
529,0.7768622,0,0,27248.66406,-64.65859,-98.65771,155.20074,
529,0.65115142,0,0,27242.59766,-62.68128,-99.57115,161.25398,
529,0.52629244,0,0,27236.57422,-60.35162,-100.36387,167.2662,
529,0.40274665,0,0,27230.61133,-57.67027,-101.03902,173.21519,
529,0.28097573,0,0,27224.73633,-54.63806,-101.59972,179.07872,
529,0.16145535,0,0,27218.9707,-51.25659,-102.04861,184.83388,
529,0.04465956,0,0,27213.33398,-47.52792,-102.38862,190.45784,
528,0.93106943,0,0,27207.85156,-43.45569,-102.62283,195.92744,
528,0.8211773,0,0,27202.54688,-39.04559,-102.75395,201.21898,
528,0.71547639,0,0,27197.44336,-34.30405,-102.78468,206.3087,
528,0.61445999,0,0,27192.56641,-29.23952,-102.71764,211.17285,
528,0.51862127,0,0,27187.93945,-23.86239,-102.55522,215.78769,
528,0.42844558,0,0,27183.58594,-18.18434,-102.29989,220.12984,
528,0.34440675,0,0,27179.52734,-12.21937,-101.95406,224.17648,
528,0.26696613,0,0,27175.78906,-5.98327,-101.52002,227.90541,
528,0.19656742,0,0,27172.39063,0.50692,-101.00028,231.29526,
528,0.13362947,0,0,27169.35156,7.23135,-100.39703,234.32585,
528,0.07854844,0,0,27166.69336,14.16974,-99.71308,236.97812,
528,0.03168841,0,0,27164.42969,21.29848,-98.95039,239.23453,
527,0.99338752,0,0,27162.58203,28.59372,-98.11134,241.07878,
527,0.96394515,0,0,27161.16016,36.02981,-97.19839,242.49649,
527,0.94361866,0,0,27160.17773,43.57924,-96.21363,243.47525,
527,0.93263787,0,0,27159.64844,51.21392,-95.159,244.004,
527,0.93119222,0,0,27159.57813,58.90487,-94.03654,244.07361,
527,0.93942463,0,0,27159.97656,66.6222,-92.84837,243.6772,
527,0.95743084,0,0,27160.8457,74.3353,-91.59667,242.81017,
527,0.98518801,0,0,27162.18555,82.10575,-90.38381,241.4736,
528,0.02027635,0,0,27163.87891,89.91527,-89.28748,239.78403,
528,0.03935043,0,0,27164.80078,97.75066,-88.91916,238.86557,
528,0.04214253,0,0,27164.93555,105.4766,-89.06656,238.73112,
528,0.03005423,0,0,27164.35156,113.14355,-89.70969,239.3132,
528,0.00298381,0,0,27163.04492,120.65823,-90.69052,240.6167,
527,0.96090269,0,0,27161.01367,127.96434,-91.90727,242.64299,
527,0.90617865,0,0,27158.37109,135.0826,-93.32648,245.27805,
527,0.84140867,0,0,27155.24414,141.98508,-94.85252,248.39685,
527,0.7680732,0,0,27151.70313,148.63939,-96.40876,251.9281,
527,0.6866923,0,0,27147.77344,155.01747,-97.94542,255.84676,
527,0.59746933,0,0,27143.46484,161.09428,-99.42501,260.14304,
527,0.50048894,0,0,27138.7832,166.84949,-100.82062,264.81284,
527,0.39587221,0,0,27133.73242,172.26741,-102.1139,269.85034,
527,0.28390938,0,0,27128.32617,177.33524,-103.29042,275.24155,
527,0.16500543,0,0,27122.58594,182.04222,-104.33971,280.96701,
527,0.03963507,0,0,27116.5332,186.37869,-105.25448,287.00385,
526,0.90829915,0,0,27110.19336,190.33586,-106.03078,293.32794,
526,0.77151793,0,0,27103.5918,193.90541,-106.66701,299.91425,
526,0.62980527,0,0,27096.75391,197.07878,-107.16322,306.73801,
526,0.48366383,0,0,27089.70117,199.84753,-107.5214,313.77502,
526,0.33360058,0,0,27082.45898,202.20364,-107.74493,321.00089,
