Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
28,0.94519961,28,28,2368.29199,1255.61609,118.49156,-1317.39954,Start shortcut
29,0.01737989,29,28,2374.07373,1261.3905,118.50001,-1316.38635,Survived
29,0.08948737,29,29,2379.84351,1267.15906,118.51352,-1315.35559,Seems staying high / to right helps a lot for advancing your track distance further before landing
29,0.16153383,29,29,2385.60864,1272.92273,118.53268,-1314.3136,
29,0.23352993,29,29,2391.36938,1278.68237,118.5579,-1313.26489,
29,0.30548024,29,29,2397.12671,1284.43835,118.58834,-1312.21228,
29,0.37738782,29,29,2402.88037,1290.19092,118.62239,-1311.15771,
29,0.44925573,29,29,2408.6311,1295.94031,118.65282,-1310.10278,
29,0.52109623,29,29,2414.37964,1301.6875,118.89127,-1309.04797,
29,0.59287101,29,29,2420.1228,1307.42944,119.32802,-1307.98962,
29,0.66456807,29,29,2425.85986,1313.16516,119.65802,-1306.92493,
29,0.73651838,29,29,2431.61694,1318.92114,119.92851,-1305.98999,
29,0.80857092,29,29,2437.38232,1324.6853,120.14167,-1305.11804,
29,0.88067079,29,29,2443.15161,1330.45325,120.30764,-1304.28723,
29,0.9527905,29,29,2448.92236,1336.22278,120.45151,-1303.48718,
30,0.07657024,29,29,2454.69067,1341.99036,120.60457,-1302.70032,
30,0.29810229,29,29,2460.45068,1347.75024,120.79076,-1301.89612,
30,0.51908976,29,29,2466.19629,1353.49597,121.01565,-1301.03711,
30,0.73938704,29,29,2471.92407,1359.22375,121.25056,-1300.10254,
30,0.95904577,29,29,2477.63525,1364.93494,121.45501,-1299.09863,
31,0.17818978,29,29,2483.33301,1370.63269,121.59948,-1298.04272,
31,0.39691633,29,29,2489.01978,1376.31958,121.66789,-1296.94983,
31,0.61529541,29,29,2494.69775,1381.99744,121.65321,-1295.82996,
31,0.83335996,29,29,2500.36719,1387.66711,121.55465,-1294.68921,
32,0.05113807,29,29,2506.02954,1393.32935,121.37331,-1293.53174,
32,0.26863921,29,29,2511.68457,1398.98438,121.11125,-1292.36035,
32,0.48587739,29,29,2517.33276,1404.63257,120.77084,-1291.17773,
32,0.70285738,29,29,2522.97412,1410.27405,120.35478,-1289.9856,
32,0.91958386,29,29,2528.60913,1415.90894,119.86592,-1288.78552,
33,0.13606144,29,29,2534.23755,1421.53735,119.30706,-1287.57874,
33,0.35229021,29,29,2539.85938,1427.1593,118.681,-1286.36633,
33,0.56827486,29,29,2545.4751,1432.7749,117.99048,-1285.14954,
33,0.78401536,29,29,2551.08447,1438.38416,117.23824,-1283.92896,
33,0.99950701,29,29,2556.68701,1443.98694,116.4269,-1282.7052,
34,0.21475455,29,29,2562.28369,1449.58337,115.55904,-1281.479,
34,0.42975324,29,29,2567.87354,1455.17334,114.63709,-1280.25085,
34,0.64450306,29,29,2573.45703,1460.75684,113.66348,-1279.02112,
34,0.85463774,29,29,2578.92041,1466.22034,112.70424,-1277.45605,
35,0.05921819,29,29,2584.23975,1471.53943,111.77021,-1275.49268,
35,0.25556359,29,29,2589.34473,1476.64441,110.87827,-1273.0365,
35,0.44525146,29,29,2594.27637,1481.57629,110.02351,-1270.10291,
35,0.63331485,29,29,2599.16602,1486.46594,109.17919,-1266.83423,
35,0.82146275,29,29,2604.05811,1491.35779,108.32346,-1263.3678,
36,0.01000038,29,29,2608.95996,1496.25977,107.4427,-1259.7998,
36,0.19877273,29,29,2613.86816,1501.16785,106.52999,-1256.18787,
