Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
397,0.03111205,400,399,20625.04102,-608.99438,235.78186,-476.98474,"Spiral skip, just going off where the track ends"
396,0.99069542,400,399,20623.14844,-613.19708,238.1926,-471.33429,Retired (not far enough)
396,0.95328498,400,399,20621.41016,-617.00781,240.60396,-465.42795,
396,0.91884696,400,399,20619.80859,-620.41101,243.0159,-459.29303,
396,0.88726705,400,399,20618.3418,-623.39294,245.42838,-452.95761,
396,0.85841215,400,399,20617,-625.94147,247.84109,-446.45007,
396,0.83213276,400,399,20615.7793,-628.04736,250.25356,-439.80014,
396,0.80826187,400,399,20614.66992,-629.70319,252.66548,-433.03809,
396,0.78662843,400,399,20613.66406,-630.90338,255.07649,-426.19418,
396,0.76707143,400,399,20612.75586,-631.6449,257.48514,-419.2981,
396,0.75073999,400,399,20611.99609,-631.99097,259.79443,-412.33511,
396,0.73778415,400,399,20611.39453,-632.01959,261.96188,-405.33798,
396,0.72789484,400,399,20610.93555,-631.76489,263.9841,-398.33923,
396,0.72091252,400,399,20610.61133,-631.24237,265.8537,-391.35477,
396,0.71660066,400,399,20610.41016,-630.45618,267.57187,-384.40091,
396,0.71476799,400,399,20610.32422,-629.40973,269.13821,-377.49136,
396,0.71518666,400,399,20610.34375,-628.10333,270.5567,-370.64166,
396,0.71756923,400,399,20610.45508,-626.52991,271.83826,-363.87137,
396,0.72132856,400,399,20610.63086,-624.65271,273.02173,-357.21964,
396,0.72618192,400,399,20610.85547,-622.45953,274.12247,-350.71207,
396,0.73228997,400,399,20611.13867,-619.98883,275.11725,-344.34326,
396,0.74068624,400,399,20611.5293,-617.4527,275.89526,-338.01508,
396,0.75129086,400,399,20612.02148,-615.19159,276.41895,-331.63654,
396,0.76463294,400,399,20612.64258,-613.04327,276.65665,-325.20099,
396,0.77981877,400,399,20613.34766,-610.91101,276.68234,-318.77759,
396,0.79584128,400,399,20614.0918,-608.76892,276.57703,-312.42599,
396,0.81224734,400,399,20614.85547,-606.63165,276.37671,-306.16095,
396,0.82891595,400,399,20615.62891,-604.54486,276.08871,-299.96426,
396,0.84560871,400,399,20616.40625,-602.57483,275.72961,-293.81546,
396,0.86197251,400,399,20617.16602,-600.79395,275.32663,-287.69946,
396,0.87765855,400,399,20617.89453,-599.25433,274.90945,-281.61273,
396,0.8923558,400,399,20618.57813,-597.98889,274.50714,-275.56085,
396,0.90580678,400,399,20619.20313,-597.01447,274.14633,-269.55542,
396,0.91780066,400,399,20619.75977,-596.33704,273.85101,-263.61166,
396,0.92818457,400,399,20620.24219,-595.95404,273.64133,-257.74597,
396,0.93687558,400,399,20620.64648,-595.85718,273.53159,-251.97342,
396,0.94384634,400,399,20620.9707,-596.03546,273.53107,-246.30736,
396,0.9491117,400,399,20621.21484,-596.47711,273.64481,-240.75932,
396,0.95281506,400,399,20621.38672,-597.22394,273.85962,-235.31226,
396,0.95508325,400,399,20621.49219,-598.28577,274.16583,-229.96516,
396,0.95601445,400,399,20621.53516,-599.65576,274.55719,-224.72612,
396,0.95568383,400,399,20621.52148,-601.32367,275.02957,-219.60655,
396,0.95414931,400,399,20621.44922,-603.28094,275.5798,-214.61891,
396,0.95146251,400,399,20621.32422,-605.52039,276.20474,-209.77606,
396,0.94767076,400,399,20621.14844,-608.03564,276.90109,-205.09119,
396,0.94282144,400,399,20620.92383,-610.81989,277.66516,-200.57776,
396,0.93695712,400,399,20620.65039,-613.86548,278.49335,-196.24969,
396,0.93011612,400,399,20620.33203,-617.164,279.3822,-192.12126,
396,0.92233366,400,399,20619.9707,-620.70605,280.32825,-188.20679,
396,0.91376281,400,399,20619.57227,-624.37195,281.33231,-184.50038,
396,0.90490198,400,399,20619.16016,-628.16003,282.34027,-180.96942,
396,0.8962546,400,399,20618.75977,-632.03278,283.30292,-177.56969,
396,0.88810217,400,399,20618.38086,-635.93347,284.19861,-174.26462,
