Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
397,0.09110264,400,399,20627.85742,-617.24561,282.53186,20.55307,"Spiral skip, just going off where the track ends"
397,0.08965434,400,399,20627.78906,-615.41266,283.40744,24.33751,Survived
397,0.08843853,400,399,20627.73242,-613.48181,284.25168,28.03075,
397,0.08817432,400,399,20627.7207,-611.61371,284.93396,31.72485,
397,0.08839381,400,399,20627.73047,-609.76343,285.52945,35.36689,
397,0.0889486,400,399,20627.75586,-607.90497,286.06311,38.93927,
397,0.08971348,400,399,20627.79297,-606.04059,286.55353,42.43152,
397,0.09060138,400,399,20627.83398,-604.17627,287.01334,45.83834,
397,0.09155264,400,399,20627.87891,-602.3183,287.45129,49.15765,
397,0.09252407,400,399,20627.92383,-600.47266,287.87369,52.38927,
397,0.09348501,400,399,20627.96875,-598.64471,288.2851,55.53414,
397,0.09441316,400,399,20628.01367,-596.83875,288.6889,58.59375,
397,0.0952934,400,399,20628.05469,-595.05823,289.08755,61.56994,
397,0.09611344,400,399,20628.0918,-593.30615,289.48303,64.46462,
397,0.09686549,400,399,20628.12695,-591.58502,289.87677,67.27981,
397,0.09803423,400,399,20628.18359,-589.84766,290.1954,70.05048,
397,0.09958792,400,399,20628.25586,-588.0993,290.44296,72.77671,
397,0.10149675,400,399,20628.3457,-586.34467,290.62329,75.45862,
397,0.10373344,400,399,20628.45117,-584.58789,290.73993,78.09631,
397,0.10627336,400,399,20628.57031,-582.83282,290.79617,80.68994,
397,0.10909337,400,399,20628.70117,-581.08264,290.79517,83.23954,
397,0.11217242,400,399,20628.8457,-579.34021,290.73981,85.74517,
397,0.11549145,400,399,20629.00195,-577.60809,290.63272,88.20688,
397,0.11903328,400,399,20629.16797,-575.88837,290.47638,90.62467,
397,0.12278245,400,399,20629.34375,-574.18311,290.27298,92.99869,
397,0.12672463,400,399,20629.5293,-572.4939,290.0246,95.32889,
397,0.13084741,400,399,20629.72266,-570.8222,289.73309,97.61534,
397,0.13513936,400,399,20629.92383,-569.16925,289.40018,99.85807,
397,0.13959004,400,399,20630.13281,-567.53619,289.02744,102.05714,
397,0.14419027,400,399,20630.34961,-565.92401,288.61627,104.21259,
397,0.14893156,400,399,20630.57227,-564.33356,288.16803,106.32445,
397,0.15380681,400,399,20630.80078,-562.76544,287.6839,108.39274,
397,0.15880883,400,399,20631.03516,-561.22028,287.16498,110.41753,
397,0.16393201,400,399,20631.27734,-559.69885,286.61221,112.399,
397,0.16917111,400,399,20631.52344,-558.20154,286.02652,114.3372,
397,0.17452115,400,399,20631.77344,-556.72894,285.40872,116.23229,
397,0.17997791,400,399,20632.0293,-555.28131,284.75958,118.0843,
397,0.18553749,400,399,20632.29102,-553.85901,284.0798,119.8933,
397,0.19119641,400,399,20632.55664,-552.46234,283.37003,121.6594,
397,0.19695076,400,399,20632.82617,-551.09155,282.63098,123.38247,
397,0.20279649,400,399,20633.10156,-549.74689,281.86343,125.0622,
397,0.20872898,400,399,20633.37891,-548.42853,281.06824,126.69796,
397,0.21474254,400,399,20633.66211,-547.13696,280.24637,128.28877,
397,0.22083075,400,399,20633.94727,-545.87286,279.39896,129.83321,
397,0.22698708,400,399,20634.23633,-544.63739,278.52707,131.32941,
397,0.23320526,400,399,20634.5293,-543.43213,277.63159,132.77534,
397,0.23948212,400,399,20634.82422,-542.25897,276.71292,134.16898,
397,0.24581727,400,399,20635.12109,-541.12,275.7709,135.50848,
397,0.2522144,400,399,20635.42188,-540.01709,274.80469,136.79245,
397,0.25868094,400,399,20635.72461,-538.95209,273.81277,138.0204,
397,0.26522765,400,399,20636.0332,-537.92633,272.79324,139.19257,
397,0.27186558,400,399,20636.34375,-536.94049,271.74408,140.30949,
397,0.2786068,400,399,20636.66016,-535.99481,270.66324,141.37201,
397,0.28546298,400,399,20636.98242,-535.08923,269.5488,142.38095,
397,0.29244477,400,399,20637.31055,-534.22321,268.39902,143.33701,
397,0.29956251,400,399,20637.64453,-533.3963,267.21225,144.24098,
397,0.30682516,400,399,20637.98438,-532.60815,265.98703,145.09369,
397,0.3142409,400,399,20638.33398,-531.85822,264.72211,145.89583,
397,0.32181743,400,399,20638.68945,-531.146,263.41635,146.64803,
397,0.32956105,400,399,20639.05273,-530.47101,262.06882,147.35085,
397,0.33747745,400,399,20639.42383,-529.83276,260.67871,148.00471,
397,0.34557164,400,399,20639.80469,-529.23096,259.24536,148.61012,
397,0.35384807,400,399,20640.19336,-528.66528,257.76816,149.16742,
397,0.36231068,400,399,20640.58984,-528.13556,256.24664,149.67691,
397,0.37096354,400,399,20640.99609,-527.64154,254.68031,150.13879,
397,0.37981054,400,399,20641.41211,-527.18317,253.06865,150.55334,
397,0.38885683,400,399,20641.83594,-526.76056,251.41098,150.92093,
397,0.39810792,400,399,20642.27148,-526.37402,249.70645,151.24199,
397,0.40708208,400,399,20642.69141,-526.08527,248.03719,151.44913,
397,0.41645208,400,399,20643.13281,-525.81152,246.289,151.6355,
397,0.42625329,400,399,20643.5918,-525.54974,244.45584,151.80634,
397,0.43651709,400,399,20644.07422,-525.29718,242.5323,151.96681,
397,0.44737568,400,399,20644.58398,-525.03503,240.49617,152.13985,
397,0.45886719,400,399,20645.12305,-524.75726,238.34099,152.33377,
397,0.47097465,400,399,20645.69141,-524.46582,236.06952,152.54665,
397,0.48368537,400,399,20646.28906,-524.16187,233.68381,152.77682,
397,0.49698773,400,399,20646.91406,-523.84668,231.1857,153.02281,
397,0.51087219,400,399,20647.56445,-523.5213,228.57671,153.28323,
397,0.52533478,400,399,20648.24414,-523.18567,225.85741,153.55791,
397,0.54040796,400,399,20648.95117,-522.83264,223.02232,153.85533,
397,0.55612308,400,399,20649.68945,-522.45404,220.06621,154.18561,
397,0.57248348,400,399,20650.45703,-522.04626,216.98842,154.55376,
397,0.58946562,400,399,20651.25586,-521.61108,213.79271,154.95811,
397,0.60704112,400,399,20652.08008,-521.15179,210.48367,155.39485,
397,0.62518573,400,399,20652.93164,-520.67102,207.06514,155.86067,
397,0.64388925,400,399,20653.81055,-520.16785,203.5387,156.35628,
397,0.66313827,400,399,20654.71484,-519.66687,199.90311,156.91106,
397,0.68289524,400,399,20655.64063,-519.18231,196.16306,157.52846,
397,0.70318979,400,399,20656.59375,-518.55078,192.3345,158.04327,
397,0.72404605,400,399,20657.57422,-517.80847,188.40759,158.5244,
397,0.74537611,400,399,20658.57422,-516.93549,184.40393,158.89671,
397,0.76723778,400,399,20659.60156,-515.94177,180.31,159.22517,
397,0.78959024,400,399,20660.65039,-514.90546,176.12193,159.58795,
397,0.81235349,400,399,20661.71875,-513.85638,171.85196,159.96936,
397,0.83549923,400,399,20662.80664,-512.8609,167.49432,160.44095,
397,0.8589434,400,399,20663.90625,-511.98541,163.05537,161.02878,
397,0.88274401,400,399,20665.02344,-511.16046,158.53206,161.69733,
397,0.90690643,400,399,20666.1582,-510.36453,153.92494,162.43951,
397,0.93145442,400,399,20667.31055,-509.55865,149.23248,163.2533,
397,0.9563871,400,399,20668.48242,-508.71475,144.45593,164.14607,
397,0.98166525,400,399,20669.66797,-507.82034,139.60254,165.11887,
405,0.33300421,400,399,21413.28125,-506.86707,134.68964,166.17426,
405,0.34302661,400,399,21414.19531,-505.8476,129.74411,167.31691,
405,0.35349789,400,399,21415.15039,-504.7594,124.79406,168.54764,
423,0.73632318,400,423,22411.41602,-503.44675,119.82423,169.80193,
423,0.79136848,400,423,22413.66406,-501.94131,114.87218,171.09644,
423,0.84883708,400,423,22416.00977,-500.25952,109.96885,172.40489,
423,0.90817243,400,423,22418.43164,-498.98148,106.80688,174.16858,
423,0.97105658,423,423,22420.99805,-498.30225,105.92151,176.61984,
424,0.07844235,424,423,22423.78711,-497.8616,104.83325,179.43814,
424,0.20984505,424,424,22426.47656,-497.02231,104.0425,181.93457,
424,0.34118247,424,424,22429.16797,-495.91254,103.53725,184.29497,
424,0.47327289,424,424,22431.87305,-494.63062,103.24871,186.58992,
424,0.60652715,424,424,22434.60156,-493.22809,103.0721,188.85066,
424,0.74100828,424,424,22437.35547,-491.72867,102.90387,191.08435,
,,,,,,,,
,,,,,,,,
