Checkpoint number,Checkpoint fraction,X,Y,Z
115,0.40386978,14.71749,0.88997,19.11896
115,0.43504885,14.66041,0.8929,18.11767
115,0.46736288,14.59688,0.89802,17.08002
115,0.50134033,14.51244,0.90321,15.98884
115,0.53694421,14.39611,0.90718,14.84523
115,0.57411218,14.23825,0.90901,13.6512
115,0.61249179,14.0202,0.909,12.41796
115,0.65190923,13.72693,0.9079,11.15119
115,0.69208962,13.34342,0.90632,9.85986
115,0.73276287,12.85481,0.90507,8.5529
115,0.77382439,12.25132,0.90444,7.23405
115,0.81512421,11.52968,0.90449,5.9086
115,0.85644025,10.68943,0.90494,4.58418
115,0.89748096,9.73026,0.90561,3.2706
115,0.938564,8.65394,0.90615,1.95825
115,0.98096681,7.49687,0.90643,0.60704
0,0.00203089,6.35566,0.9062,-0.81083
0,0.00576665,5.2463,0.90574,-2.30541
0,0.00971914,4.18728,0.90567,-3.88667
0,0.0139177,3.19426,0.90656,-5.56633
0,0.01837973,2.27566,0.9089,-7.35137
0,0.02310267,1.43859,0.91326,-9.24075
0,0.028077,0.68945,0.91984,-11.23066
0,0.03329062,0.03428,0.92881,-13.31627
0,0.03873033,-0.52117,0.94018,-15.49228
0,0.04438221,-0.97133,0.95418,-17.75313
0,0.05023181,-1.31084,0.97086,-20.09305
0,0.0562642,-1.53448,0.99019,-22.50606
0,0.06246386,-1.63726,1.01211,-24.98594
0,0.06881473,-1.61436,1.03659,-27.52628
0,0.07530013,-1.46117,1.06354,-30.1204
0,0.08190276,-1.17332,1.09286,-32.76139
0,0.08860469,-0.74667,1.12438,-35.44206
0,0.09538735,-0.17736,1.15795,-38.155
0,0.1022315,0.53818,1.19353,-40.8925
0,0.10911728,1.40322,1.23108,-43.64663
0,0.11602418,2.42069,1.27025,-46.40917
0,0.12293108,3.59314,1.31056,-49.17168
0,0.12981625,4.92274,1.35167,-51.92547
0,0.1366574,6.41125,1.39293,-54.66163
0,0.14360316,8.02477,1.43493,-57.43961
0,0.15060149,9.67744,1.47739,-60.23861
0,0.15764223,11.35951,1.52035,-63.05458
0,0.16481173,13.00618,1.56495,-65.92206
0,0.17211738,14.59878,1.61155,-68.84402
0,0.17959188,16.11596,1.66063,-71.83354
0,0.18727648,17.5442,1.71307,-74.90714
0,0.19515912,18.83991,1.76899,-78.05997
0,0.20330732,19.98137,1.82913,-81.31906
0,0.21172747,20.95584,1.89395,-84.68697
0,0.22040536,21.75422,1.96374,-88.15802
0,0.22931954,22.36904,2.03867,-91.72363
0,0.23844559,22.7937,2.11999,-95.37402
0,0.24775773,23.02218,2.20746,-99.09888
0,0.25722903,23.04902,2.30208,-102.88745
0,0.26683176,22.86924,2.40488,-106.72862
0,0.27653745,22.47836,2.51565,-110.61102
0,0.28631684,21.87249,2.63557,-114.52294
0,0.29614004,21.04823,2.76483,-118.45242
0,0.3059766,20.00281,2.90378,-122.38727
0,0.31579539,18.73406,3.05277,-126.31504
0,0.32556477,17.24041,3.21223,-130.2231
0,0.33551466,15.59674,3.38417,-134.20335
0,0.34554586,13.98887,3.56371,-138.21613
0,0.35566068,12.47948,3.74945,-142.26231
