Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,True width,Notes
0,0,0,0,1,0,0,60,,
1,1e-05,2e-05,-500,1,0,0,60,,
2,-3.6917,-0.55998,-546.91895,0.98733,0.02713,-0.15634,60,,
3,-14.67592,-2.08001,-592.68323,0.94705,0.092,-0.30763,60,,
4,-32.69542,-4.32019,-636.19202,0.87823,0.16879,-0.44746,60,,
5,-57.28475,-7.04062,-676.32159,0.78691,0.23236,-0.57165,60,,
6,-87.86796,-10.0002,-712.13202,0.68302,0.25876,-0.68302,60,,
7,-123.6551,-12.96018,-742.69836,0.57173,0.23236,-0.78685,60,,
8,-163.78233,-15.68019,-767.2915,0.44754,0.16879,-0.87819,60,,
9,-207.28943,-17.92014,-785.31519,0.30772,0.092,-0.94702,60,,
10,-253.05261,-19.44005,-796.30383,0.15643,0.02713,-0.98732,60,,
11,-300,-19.99999,-800,0,0,-1,60,,
12,-361.78882,-15.83972,-809.784,0.30712,-0.1087,-0.94544,60,,
13,-417.54773,-5.91922,-838.18988,0.5483,-0.36025,-0.75471,60,,
14,-461.79889,5.9202,-882.43677,0.62985,-0.62763,-0.45758,60,,
15,-490.21008,15.84015,-938.19299,0.56231,-0.80651,-0.18264,60,,
16,-499.99997,20.00001,-1000,0.50006,-0.86599,8e-05,60,,
17,-490.216,17.91987,-1061.78882,0.56228,-0.80651,0.18273,60,,
18,-461.81012,12.95949,-1117.54773,0.62982,-0.62763,0.45761,60,,
19,-417.56323,7.03939,-1161.79883,0.54832,-0.36025,0.75469,60,,
20,-361.80704,2.07995,-1190.21008,0.3072,-0.1086,0.94543,60,,
21,-299.99838,1e-05,-1200,0,0,1,60,,
22,-49.99997,15.00001,-1200,0,0,1,60,,
22,0,0,-1200,0,0,1,348.496,110,
23,50,0,-1200,0,0,1,348.496,110,
24,55.22515,-0.27377,-1200,0,0,1,348.496,110,
25,60.39308,-1.09209,-1200,0,0,1,348.496,110,
26,65.4472,-2.44599,-1200,0,0,1,348.496,110,
27,70.33654,-4.3226,-1200,0,0,1,348.496,110,
28,74.99861,-6.69793,-1200,0,0,1,348.496,110,
29,79.38693,-9.54746,-1200,0,0,1,348.496,110,
30,83.45345,-12.83998,-1200,0,0,1,348.496,110,
31,87.15681,-16.543,-1200,0,0,1,348.496,110,
32,90.44972,-20.60918,-1200,0,0,1,348.496,110,
33,93.29967,-24.99723,-1200,0,0,1,348.496,110,
34,193.30043,-174.99861,-1200,0,0,1,348.496,110,
35,196.14995,-179.38693,-1200,0,0,1,348.496,110,
36,199.44247,-183.45345,-1200,0,0,1,348.496,110,
37,203.14549,-187.15681,-1200,0,0,1,348.496,110,
38,207.21167,-190.44972,-1200,0,0,1,348.496,110,
39,211.59973,-193.29967,-1200,0,0,1,348.496,110,
40,216.26157,-195.67545,-1200,0,0,1,348.496,110,
41,221.15073,-197.55252,-1200,0,0,1,348.496,110,
42,226.20941,-198.90791,-1200,0,0,1,348.496,110,
43,231.37257,-199.72572,-1200,0,0,1,348.496,110,
44,236.60263,-200.00002,-1200,0,0,1,348.496,110,
45,300,-200.00002,-1200,0,0,1,348.496,110,
46,346.91919,-193.00011,-1196.30835,-0.1564,0,0.98769,348.496,110,
47,392.68341,-174.00027,-1185.3241,-0.30894,0,0.95108,348.496,110,
48,436.19223,-145.99959,-1167.30457,-0.45397,0,0.89102,348.496,110,
49,476.32184,-111.9996,-1142.71521,-0.58774,0,0.80905,348.496,110,
50,512.13226,-74.99978,-1112.13208,-0.70711,0,0.70711,348.496,110,
51,542.69855,-37.99945,-1076.34485,-0.80899,0,0.58782,348.496,110,
52,567.29175,-3.9995,-1036.21765,-0.89097,0,0.45406,348.496,110,
53,585.31543,24.00016,-992.71057,-0.95105,0,0.30904,348.496,110,
54,596.30402,43.00012,-946.94739,-0.98768,0,0.15649,348.496,110,
55,600.00018,50.00012,-900,-1,0,0,348.496,110,
56,600.00018,51.24054,-887.7337,-1,0,0,348.496,110,
