Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
97,1,97,97,4236.29785,398.60104,187.00565,207.66873,Cut two 90 degree turns with right strafe-turn off the jump plate
98,0.0081981,97,97,4240.9707,404.67337,185.32999,207.0834,Retired
98,0.01883108,97,97,4247.03174,410.73416,183.56487,206.49918,
98,0.02944371,97,97,4253.08057,416.78336,181.71126,205.91606,
98,0.04003589,97,97,4259.11816,422.82089,179.77013,205.33406,
98,0.05060746,97,97,4265.14404,428.84668,177.74245,204.75319,
98,0.06115836,97,97,4271.1582,434.86069,175.6292,204.17346,
98,0.07168855,97,97,4277.16016,440.86288,173.43132,203.59515,
98,0.08220507,97,97,4283.15479,446.8573,171.14978,203.07021,
98,0.09271003,97,97,4289.14258,452.84512,168.78552,202.73785,
98,0.10320692,97,98,4295.12549,458.82834,166.21503,202.55402,
98,0.1136948,97,98,4301.104,464.80643,163.44087,202.47665,
98,0.12417027,97,98,4307.07471,470.77744,160.46565,202.46483,
98,0.13462684,97,98,4313.03516,476.73767,157.29198,202.5161,
98,0.1450585,97,98,4318.98096,482.68372,153.9221,202.62231,
98,0.15544756,97,98,4324.90283,488.60547,150.3576,202.78326,
98,0.16571282,98,98,4330.75391,494.45667,150.1144,202.98096,
98,0.17599259,98,98,4336.61328,500.31613,150.37743,203.19611,
98,0.18626675,98,98,4342.46973,506.17239,150.68132,203.46901,
98,0.19652897,98,98,4348.31934,512.02185,150.93291,203.79927,
98,0.20677571,98,98,4354.15967,517.86249,151.08125,204.1904,
98,0.21700789,98,98,4359.99219,523.69482,151.11845,204.63049,
98,0.22722572,98,98,4365.81641,529.51898,151.06866,205.10709,
98,0.23742557,98,98,4371.63037,535.33289,150.97144,205.62274,
98,0.24760646,98,98,4377.43311,546.9281,150.78561,206.74635,
98,0.25776806,98,98,4383.22559,546.9281,150.78561,206.74635,
98,0.26789498,98,98,4388.99756,552.70044,150.74164,207.40388,
98,0.27799547,98,98,4394.75488,558.4577,150.7354,208.12506,
98,0.28807333,98,98,4400.49951,564.20209,150.75706,208.89383,
98,0.29812831,98,98,4406.23047,569.93341,150.79227,209.70187,
98,0.30815768,98,98,4411.94727,575.65015,150.82759,210.54985,
98,0.31816113,98,98,4417.64941,581.35211,150.85349,211.4332,
98,0.32813773,98,98,4423.33594,587.03876,150.86613,212.34955,
98,0.33808646,98,98,4429.00684,592.70953,150.86623,213.29762,
98,0.34801602,98,98,4434.6665,598.36938,150.85757,214.24686,
98,0.35792696,98,98,4440.31592,604.01862,150.84517,215.18106,
98,0.36781242,98,98,4445.95068,609.65332,150.83337,216.11104,
98,0.37767273,98,98,4451.5708,615.27368,150.8253,217.03284,
98,0.38751289,98,98,4457.17969,620.88257,150.82173,217.92494,
98,0.39735326,98,98,4462.78906,626.49158,150.8223,218.81003,
98,0.40717331,98,98,4468.38623,632.08899,150.82561,219.70357,
98,0.41696516,98,98,4473.96777,637.67035,150.82986,220.61496,
98,0.42672673,98,98,4479.53174,643.23444,150.83366,221.54886,
98,0.43645713,98,98,4485.07813,648.78076,150.83617,222.50819,
98,0.44616303,98,98,4490.61035,654.31311,150.83708,223.47446,
98,0.45583999,98,98,4496.12598,659.82898,150.83664,224.45743,
98,0.46549052,98,98,4501.62695,665.32977,150.83539,225.45163,
98,0.4751159,98,98,4507.11328,670.81622,150.83386,226.45427,
98,0.48471662,98,98,4512.58594,676.28864,150.83264,227.46413,
98,0.49433577,98,98,4518.06885,681.77155,150.83194,228.26772,
98,0.50395334,98,98,4523.55078,687.25354,150.83179,228.94038,
98,0.51356071,98,98,4529.02686,692.72974,150.83209,229.55038,
98,0.52315789,98,98,4534.49756,698.20013,150.83257,230.11755,
98,0.53274363,98,98,4539.96143,703.664,150.83311,230.66615,
98,0.54231793,98,98,4545.41846,709.12134,150.83351,231.20859,
98,0.55188096,98,98,4550.86963,714.57227,150.83374,231.75121,
98,0.56143308,98,98,4556.31396,720.01697,150.83374,232.29723,
98,0.5709154,98,98,4561.71924,725.42188,150.83357,232.36575,
98,0.5803892,98,98,4567.11914,730.82196,150.83331,232.27425,
98,0.58991021,98,98,4572.5459,736.2489,150.83308,232.11151,
98,0.59939903,98,98,4577.95459,741.65753,150.83296,232.09648,
98,0.60885155,98,98,4583.34277,747.04547,150.83293,232.23007,
98,0.61826605,98,98,4588.70898,752.41174,150.83305,232.51395,
98,0.62763906,98,98,4594.05176,757.75433,150.83322,232.95064,
98,0.63696557,98,98,4599.36768,763.07043,150.83333,233.54332,
98,0.64623892,98,98,4604.65332,768.35626,150.83333,234.29497,
98,0.655451,98,98,4609.9043,773.60712,150.8333,235.20811,
98,0.66459233,98,98,4615.11475,778.81769,150.83328,236.28487,
98,0.67365307,98,98,4620.2793,783.9823,150.8333,237.52701,
98,0.68259346,98,98,4625.37549,789.07831,150.8333,238.94302,
98,0.69130319,98,98,4630.33984,794.04285,150.83327,240.54781,
98,0.69977057,98,98,4635.1665,798.86926,150.83325,242.36623,
98,0.70780718,98,98,4639.74707,803.45013,156.62314,244.36937,
98,0.71363181,98,98,4643.06738,806.77014,162.14091,247.28607,
98,0.71785522,98,98,4645.47461,809.17749,167.3082,250.77361,
98,0.72131395,98,98,4647.44629,811.14899,172.15607,254.68933,
98,0.72440791,98,98,4649.20947,812.91254,176.82278,258.93884,
98,0.72734606,98,98,4650.88428,814.58728,181.31349,263.45428,
98,0.73023742,98,98,4652.53223,816.23535,185.6302,268.15405,
98,0.73312783,98,98,4654.18018,817.88287,189.77237,272.99625,
98,0.73603642,98,98,4655.83789,819.54077,193.73753,277.96463,
98,0.73897028,98,98,4657.51025,821.21307,197.52158,283.05698,
98,0.74193382,98,98,4659.19922,822.90228,201.11855,288.27823,
98,0.74492806,98,98,4660.90625,824.60907,204.52103,293.63559,
98,0.74795437,98,98,4662.63086,826.33405,207.72014,299.13669,
98,0.75101101,98,98,4664.37354,828.07635,210.70618,304.78806,
98,0.75409544,98,98,4666.13135,829.83447,213.4687,310.59485,
98,0.75720346,98,98,4667.90332,831.60602,215.99693,316.56058,
98,0.76032835,98,98,4669.68408,833.38721,218.27942,322.68549,
98,0.76344585,98,98,4671.46143,835.16418,220.32619,328.94467,
98,0.76652932,98,98,4673.21875,836.92175,222.1561,335.30875,
98,0.76955044,98,98,4674.94092,838.6438,223.79102,341.75137,
98,0.77248132,98,98,4676.61133,840.31439,225.25229,348.2515,
98,0.77529609,98,98,4678.21582,841.91882,226.55919,354.79312,
98,0.77797234,98,98,4679.74121,843.44427,227.72844,361.36417,
98,0.78049564,98,98,4681.17969,844.88257,228.77226,367.95618,
98,0.78503668,98,98,4683.76807,847.47095,230.52574,381.17627,
98,0.78503668,98,98,4683.76807,847.47095,230.52574,381.17627,
98,0.78703523,98,98,4684.90723,848.61011,231.2533,387.7937,
98,0.78884453,98,98,4685.93848,849.64142,231.8903,394.41089,
98,0.79045808,98,98,4686.8584,850.56116,232.4433,401.02432,
98,0.79187155,98,98,4687.66406,851.36682,232.91747,407.6312,
98,0.79308146,98,98,4688.35352,852.05646,233.31729,414.22906,
98,0.79408443,98,98,4688.92529,852.62817,233.64713,420.81552,
98,0.79487824,98,98,4689.37793,853.08063,233.91064,427.38846,
98,0.79546106,98,98,4689.70996,853.41284,234.11095,433.94604,
98,0.79583156,98,98,4689.9209,853.62402,234.25098,440.48642,
98,0.7959882,98,98,4690.01025,853.71332,234.33363,447.00769,
98,0.79593027,98,98,4689.97754,853.6803,234.36147,453.50797,
98,0.79565692,98,98,4689.82129,853.52448,234.33693,459.98547,
