Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
97,1,97,97,4236.29785,396.94882,188.86223,210.17633,Cut two 90 degree turns with right strafe-turn off the jump plate
98,0.0053295,97,97,4239.33545,403.03827,187.40729,209.00938,Survived
98,0.01598614,97,97,4245.41016,409.11255,185.8902,207.84531,
98,0.0266181,97,97,4251.47021,415.17276,184.31277,206.6839,
98,0.03722645,97,97,4257.51709,421.21951,182.6768,205.52504,
98,0.04782522,97,97,4263.55811,427.2608,180.98401,204.41183,
98,0.05843603,97,97,4269.60645,433.30896,179.23601,203.44325,
98,0.06905638,97,97,4275.66016,439.36255,177.43445,202.60458,
98,0.07968314,97,97,4281.71729,445.4198,175.58095,201.87541,
98,0.09031623,97,97,4287.77783,451.48065,173.67709,201.27184,
98,0.10095385,97,97,4293.84131,457.5441,171.72432,200.87921,
98,0.1115968,97,97,4299.90771,463.61057,169.72415,200.70447,
98,0.12224033,97,98,4305.97461,469.67737,167.55627,200.7554,
98,0.1328862,97,98,4312.04297,475.74551,165.22639,201.01233,
98,0.14352946,97,98,4318.10938,481.81216,162.7402,201.47043,
98,0.15417846,97,98,4324.1792,487.88208,160.10344,202.08522,
98,0.16484222,97,98,4330.25781,493.96042,157.32156,202.79124,
98,0.17550945,97,98,4336.33789,500.04074,154.39891,203.56326,
98,0.18616813,97,98,4342.41357,506.11618,151.33832,204.37694,
98,0.19680138,98,98,4348.47461,512.17712,150.10806,205.22931,
98,0.20747687,98,98,4354.55957,518.26215,150.66556,206.13181,
98,0.21816789,98,98,4360.65332,524.35602,151.09583,207.07063,
98,0.22885868,98,98,4366.74707,530.44977,151.32365,208.04076,
98,0.23952849,98,98,4372.8291,536.53156,151.35088,209.07254,
98,0.25017989,98,98,4378.90039,542.60284,151.23203,210.15092,
98,0.26080933,98,98,4384.95898,548.66162,151.04376,211.27245,
98,0.27141073,98,98,4391.00195,554.70441,150.85745,212.44177,
98,0.28198448,98,98,4397.02881,560.73145,150.72215,213.65187,
98,0.29252902,98,98,4403.03906,566.74182,150.65804,214.89919,
98,0.30304283,98,98,4409.03174,572.73468,150.66025,216.18144,
98,0.3135244,98,98,4415.00635,578.70917,150.70772,217.4973,
98,0.32397243,98,98,4420.96191,584.66455,150.77388,218.84601,
98,0.33438611,98,98,4426.89746,590.60034,150.83536,220.22708,
98,0.34476456,98,98,4432.81348,596.51605,150.87723,221.64018,
98,0.35510716,98,98,4438.7085,602.41132,150.89452,223.08504,
98,0.36541343,98,98,4444.58301,608.28589,150.89012,224.56146,
98,0.37568298,98,98,4450.43701,614.13953,150.87199,226.06927,
98,0.39610377,98,98,4462.07666,625.77936,150.82918,229.19354,
98,0.39610377,98,98,4462.07666,625.77936,150.82918,229.19354,
98,0.40625703,98,98,4467.86377,631.56671,150.81645,230.80661,
98,0.41637763,98,98,4473.63281,637.33545,150.81224,232.44199,
98,0.42647648,98,98,4479.38916,643.0918,150.81499,234.07307,
98,0.43654397,98,98,4485.12744,648.83026,150.82176,235.70508,
98,0.44660035,98,98,4490.85938,654.56238,150.8295,237.2901,
98,0.45663303,98,98,4496.57813,660.28101,150.83585,238.832,
98,0.46666303,98,98,4502.29541,665.99811,150.83949,240.26317,
98,0.47668865,98,98,4508.00977,671.71271,150.84038,241.5363,
98,0.48670906,98,98,4513.72168,677.42432,150.839,242.42551,
98,0.49668628,98,98,4519.40869,683.11133,150.83652,243.00186,
98,0.50661832,98,98,4525.06982,688.77258,150.83388,243.41469,
98,0.51651049,98,98,4530.7085,694.41113,150.83189,243.73547,
98,0.52636921,98,98,4536.32764,700.03058,150.83089,243.99374,
98,0.53622711,98,98,4541.94678,705.6496,150.83081,244.2262,
98,0.54607683,98,98,4547.56104,711.26392,150.83139,244.39043,
98,0.55591482,98,98,4553.16895,716.87158,150.83229,244.51105,
98,0.56574047,98,98,4558.76953,722.47217,150.83321,244.60934,
98,0.57555383,98,98,4564.36279,728.0658,150.83386,244.69623,
98,0.58535534,98,98,4569.94971,733.65265,150.83417,244.77722,
98,0.59514529,98,98,4575.53027,739.23291,150.83412,244.85435,
98,0.6049239,98,98,4581.104,744.8067,150.83385,244.9303,
98,0.61469144,98,98,4586.67139,750.37421,150.83353,245.00558,
98,0.62443912,98,98,4592.22754,755.93036,150.83321,244.96385,
98,0.63417691,98,98,4597.77832,761.4809,150.83287,244.84096,
98,0.64386898,98,98,4603.30273,767.00537,150.83278,244.85703,
98,0.65352315,98,98,4608.80566,772.50824,150.83287,245.01457,
98,0.66313946,98,98,4614.28662,777.98956,150.83307,245.31604,
98,0.67271423,98,98,4619.74414,783.44714,150.83321,245.76413,
98,0.6822421,98,98,4625.17529,788.87805,150.83333,246.36194,
98,0.69165373,98,98,4630.54004,794.24268,150.83342,247.13319,
98,0.7008965,98,98,4635.80811,799.51105,150.83733,248.10106,
98,0.70989203,98,98,4640.93555,804.63849,156.95454,249.20233,
98,0.71680766,98,98,4644.87744,808.58038,162.80092,251.09828,
98,0.72328275,98,98,4648.56836,812.27118,168.34589,253.91077,
98,0.72958833,98,98,4652.1626,815.86536,173.58334,257.29813,
98,0.73584092,98,98,4655.72656,819.42932,178.63766,261.00922,
98,0.74206489,98,98,4659.27393,822.97699,183.51068,264.90866,
98,0.74825716,98,98,4662.80371,826.50659,188.205,268.93472,
98,0.75441897,98,98,4666.31592,830.0188,192.72212,273.06754,
98,0.76056147,98,98,4669.81738,833.52002,197.06139,277.30783,
98,0.76670438,98,98,4673.31836,837.02148,201.21947,281.66507,
98,0.77287054,98,98,4676.8335,840.53619,205.19038,286.15067,
98,0.7790823,98,98,4680.37402,844.0769,208.96579,290.7757,
98,0.78535843,98,98,4683.95117,847.65436,212.53561,295.54941,
98,0.79171437,98,98,4687.57422,851.27722,215.88837,300.4791,
98,0.79816014,98,98,4691.24854,854.95129,219.01169,305.57043,
98,0.80470157,98,98,4694.97705,858.67993,221.89276,310.82736,
98,0.81133902,98,98,4698.76025,862.46326,224.51784,316.25061,
98,0.81803787,98,98,4702.57861,866.28162,226.89699,321.81781,
98,0.82475829,98,98,4706.40918,870.11224,229.04942,327.50287,
98,0.83145899,98,98,4710.22852,873.93164,230.99805,333.28329,
98,0.83810145,98,98,4714.01465,877.71783,232.76524,339.14227,
98,0.84465259,98,98,4717.74902,881.45197,234.37099,345.06784,
98,0.85108459,98,98,4721.41504,885.11823,235.83246,351.05157,
98,0.8573752,98,98,4725.00098,888.70386,237.16399,357.08749,
98,0.86350578,98,98,4728.49512,892.1983,238.37793,363.17093,
98,0.86946219,98,98,4731.89063,895.59344,239.48416,369.29852,
98,0.87523305,98,98,4735.17969,898.88281,240.49127,375.46716,
98,0.88080895,98,98,4738.35791,902.0611,241.40643,381.67441,
98,0.88618273,98,98,4741.4209,905.12415,242.23596,387.91788,
98,0.89134848,98,98,4744.36572,908.0686,242.98511,394.1955,
98,0.89630079,98,98,4747.18848,910.89142,243.65886,400.50525,
98,0.90103555,98,98,4749.88721,913.59027,244.2614,406.84518,
98,0.90554971,98,98,4752.46045,916.16333,244.79652,413.21326,
98,0.90983987,98,98,4754.90576,918.6087,245.26784,419.6076,
98,0.91390359,98,98,4757.22217,920.92505,245.67842,426.02628,
98,0.91773856,98,98,4759.4082,923.11096,246.03122,432.4675,
98,0.92134243,98,98,4761.46191,925.16516,246.32913,438.92926,
98,0.92471349,98,98,4763.38379,927.08667,246.57457,445.40967,
98,0.92784983,98,98,4765.17139,928.87439,246.77011,451.90668,
98,0.93074989,98,98,4766.82422,930.5274,246.918,458.4183,
98,0.93341231,98,98,4768.3418,932.04498,247.02048,464.94232,
98,0.93583614,98,98,4769.72363,933.42657,247.0795,471.47653,
98,0.93802047,98,98,4770.96875,934.67163,247.09695,478.01877,
98,0.93996459,98,98,4772.07666,935.77979,247.07445,484.56686,
98,0.9416678,98,98,4773.04736,936.75067,247.01355,491.11853,
