Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
98,0.65872753,98,98,4611.772,775.47473,150.83324,236.35706,fzr000045E04CDC93F859DA81
98,0.66927022,98,98,4617.781,781.48407,150.83316,237.55179,Fat Shark
98,0.67977226,98,98,4623.768,787.47021,150.83307,238.89035,2016/12/04 17:38 (in replay menu)
98,0.69009942,98,98,4629.654,793.35669,150.8329,240.40201,Right-strafing side attack dive from jump plate
98,0.70026976,98,98,4635.451,799.15381,150.83287,242.10771,Survived
98,0.71001327,98,98,4641.005,804.70758,157.70081,243.98726,
98,0.71818012,98,98,4645.66,809.36267,164.29984,246.42667,
98,0.72642028,98,98,4650.356,814.05957,170.56017,249.9536,
98,0.73478222,98,98,4655.123,818.82587,176.60849,254.08202,
98,0.74323332,98,98,4659.94,823.64301,182.45032,258.517,
98,0.75171137,98,98,4664.772,828.47546,188.09155,263.12613,
98,0.76018143,98,98,4669.601,833.30341,193.53587,267.87164,
98,0.76864487,98,98,4674.425,838.12756,198.78316,272.76129,
98,0.77712792,98,98,4679.26,842.96289,203.82883,277.81924,
98,0.78566772,98,98,4684.128,847.83057,208.66367,283.07224,
98,0.7943033,98,98,4689.05,852.75287,213.27443,288.54297,
98,0.80306983,98,98,4694.047,857.74982,217.64439,294.24966,
98,0.81199467,98,98,4699.134,862.83698,221.75446,300.20609,
98,0.82109594,98,98,4704.322,868.02472,225.58415,306.42227,
98,0.83038545,98,98,4709.617,873.3197,229.11169,312.90591,
98,0.83986622,98,98,4715.021,878.72375,232.31528,319.66211,
98,0.84953195,98,98,4720.53,884.23322,235.17235,326.69171,
98,0.85932994,98,98,4726.115,889.81805,237.70027,333.94424,
98,0.86919588,98,98,4731.739,895.44165,239.93275,341.36569,
98,0.87906337,98,98,4737.363,901.0661,241.90785,348.91458,
98,0.88887131,98,98,4742.954,906.65662,243.66154,356.56308,
98,0.89856708,98,98,4748.48,912.18323,245.22464,364.29437,
98,0.90810955,98,98,4753.919,917.62244,246.62183,372.0986,
98,0.91746604,98,98,4759.252,922.95563,247.8732,379.9696,
98,0.92661208,98,98,4764.466,928.16888,248.99467,387.90311,
98,0.9355287,98,98,4769.548,933.25134,249.99962,395.89545,
98,0.94420153,98,98,4774.492,938.19482,250.89909,403.94342,
98,0.95261902,98,98,4779.29,942.9928,251.70276,412.04379,
98,0.96077257,98,98,4783.938,947.64032,252.41853,420.19394,
98,0.96865577,98,98,4788.431,952.13373,253.05339,428.39081,
98,0.9762634,98,98,4792.767,956.47009,253.61308,436.63202,
98,0.98359108,98,98,4796.944,960.64685,254.10352,444.91449,
98,0.99063528,98,98,4800.959,964.66205,254.52933,453.2359,
98,0.99739307,98,98,4804.811,968.51398,254.89485,461.59381,
103,0.90902603,98,98,5096.283,972.20148,255.20387,469.98572,
103,0.94731295,98,98,5104.706,975.72351,255.46019,478.40884,
103,0.98573053,98,98,5113.158,979.07898,255.66727,486.86072,
103,1,98,98,5116.297,982.26721,255.82787,495.33902,
103,1,98,98,5116.297,985.28748,255.94516,503.84085,
103,1,98,98,5116.297,988.13916,256.02206,512.36346,
103,1,98,98,5116.297,990.8219,256.06085,520.90436,
103,1,98,98,5116.297,993.33521,256.06396,529.46088,
103,1,98,98,5116.297,995.67865,256.03369,538.03033,
103,1,98,98,5116.297,999.85559,255.88049,555.19727,
104,0.02362422,98,98,5121.494,999.85559,255.88049,555.19727,
104,0.06267674,98,98,5130.086,1001.68896,255.76151,563.78882,
104,0.10173731,98,98,5138.679,1003.35199,255.61667,572.38214,
104,0.14079261,98,98,5147.271,1004.84491,255.44746,580.9743,
104,0.17982905,98,98,5155.859,1006.16803,255.25539,589.56232,
104,0.2188333,98,98,5164.44,1007.32147,255.04184,598.14325,
104,0.25779206,98,98,5173.011,1008.30554,254.80814,606.71417,
104,0.29669198,98,98,5181.569,1009.12061,254.5554,615.27216,
