Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
122,0.43945742,122,122,6194.943,253.83781,100.9053,928.43304,Light machine skip at end
122,0.66633683,122,122,6200.283,253.84541,100.90517,933.93329,Retired
122,0.8998602,122,122,6205.779,253.90015,100.90498,939.50519,
123,0.13932113,123,122,6211.416,254.00697,100.90472,945.133,
123,0.38161603,123,123,6217.119,254.16618,100.90453,950.7843,
123,0.62739402,123,123,6222.904,254.38148,100.90448,956.47302,
123,0.87645841,123,123,6228.766,254.65218,100.90449,962.18671,
123,1,123,123,6231.674,254.97887,100.90454,967.92908,
123,1,123,123,6231.674,255.5318,100.80766,973.67023,
123,1,123,123,6231.674,256.21832,100.61588,979.4212,
123,1,123,123,6231.674,256.98346,100.33126,985.19171,
123,1,123,123,6231.674,257.79544,99.95582,990.9856,
123,1,123,123,6231.674,258.6362,99.49157,996.80579,
123,1,123,123,6231.674,259.49527,98.94052,1002.65308,
123,1,123,123,6231.674,260.36661,98.30466,1008.52808,
123,1,123,123,6231.674,261.04602,97.58585,1014.44739,
123,1,123,123,6231.674,261.44995,96.78604,1020.42133,
123,1,123,123,6231.674,261.60275,95.90724,1026.45947,
123,1,123,123,6231.674,261.53311,94.95147,1032.54944,
123,1,123,123,6231.674,261.33365,93.92079,1038.69775,
123,1,123,123,6231.674,260.99875,92.81712,1044.87048,
123,1,123,123,6231.674,260.52545,91.64242,1051.08594,
123,1,123,123,6231.674,259.93237,90.39865,1057.33533,
123,1,123,123,6231.674,259.25449,89.08775,1063.62109,
123,1,123,123,6231.674,258.50256,87.71157,1069.93018,
123,1,123,123,6231.674,257.70471,86.27196,1076.26917,
123,1,123,123,6231.674,256.883,84.77066,1082.62683,
123,1,123,123,6231.674,256.04654,83.20939,1089.00244,
123,1,123,123,6231.674,255.20126,81.58981,1095.39319,
123,1,123,123,6231.674,254.34998,79.91355,1101.79822,
123,1,123,123,6231.674,253.49434,78.1822,1108.21655,
123,1,123,123,6231.674,252.63521,76.39731,1114.64758,
123,1,123,123,6231.674,251.77312,74.5604,1121.09058,
123,1,123,123,6231.674,250.89462,72.67297,1127.54321,
123,1,123,123,6231.674,250.00371,70.73652,1134.01111,
123,1,123,123,6231.674,249.0921,68.75247,1140.48767,
123,1,123,123,6231.674,248.15144,66.72227,1146.97742,
123,1,123,123,6231.674,247.19273,64.64735,1153.48169,
123,1,123,123,6231.674,246.27873,62.62627,1159.86206,
123,1,123,123,6231.674,245.35397,60.65386,1166.19629,
123,1,123,123,6231.674,244.44003,58.72546,1172.48792,
123,1,123,123,6231.674,243.52466,56.83673,1178.73022,
123,1,123,123,6231.674,242.60994,54.98382,1184.93005,
123,1,123,123,6231.674,241.68663,53.16321,1191.08545,
123,1,123,123,6231.674,240.76016,51.37177,1197.20178,
123,1,123,123,6231.674,239.73546,49.60653,1203.25964,
123,1,123,123,6231.674,238.604,47.86546,1209.29138,
123,1,123,123,6231.674,237.4127,46.14671,1215.30542,
123,1,123,123,6231.674,236.15872,44.44828,1221.28381,
123,1,123,123,6231.674,234.81845,42.76839,1227.22632,
123,1,123,123,6231.674,233.37532,41.10561,1233.1377,
123,1,123,123,6231.674,231.86917,39.45879,1239.0365,
123,1,123,123,6231.674,230.28812,37.82653,1244.8999,
124,0.01232096,123,123,6232.413,228.63431,36.20774,1250.73938,
124,0.10938314,123,123,6238.237,226.93999,34.60142,1256.56311,
124,0.2060791,123,123,6244.039,225.23163,33.0064,1262.36487,
124,0.30233562,123,123,6249.814,223.52301,31.42145,1268.14026,
124,0.39812011,123,123,6255.561,221.82021,29.84537,1273.88733,
124,0.49342245,123,123,6261.279,220.12558,28.27702,1279.60547,
124,0.58824664,123,123,6266.969,218.43996,26.71535,1285.29492,
124,0.68260092,123,123,6272.63,216.76352,25.15938,1290.95618,
124,0.77649331,123,123,6278.264,215.09619,23.60824,1296.58972,
124,0.86993408,123,123,6283.87,213.43781,22.06109,1302.19617,
124,0.96293133,123,123,6289.45,211.78818,20.51719,1307.776,
125,0.05467305,123,123,6295.003,210.14711,18.97586,1313.32971,
125,0.14544803,123,123,6300.532,208.51442,17.43647,1318.85791,
125,0.23581409,123,123,6306.035,206.88992,15.89843,1324.36121,
125,0.32577726,123,123,6311.514,205.27342,14.36122,1329.83997,
125,0.41534558,123,123,6316.969,203.66475,12.82436,1335.29468,
125,0.50452703,123,123,6322.4,202.06375,11.2874,1340.72583,
125,0.59332961,123,123,6327.808,200.47026,9.74994,1346.13391,
125,0.68175942,123,123,6233.953,198.88411,8.2116,1351.51929,
125,0.76982439,123,123,6241.997,197.30515,6.67205,1356.88245,
125,0.85753059,123,123,6250.009,195.73323,5.13097,1362.22375,
125,0.94488597,123,123,6257.989,194.16823,3.58808,1367.5437,
126,0.01630884,123,123,6265.938,192.60999,2.04312,1372.84253,
126,0.06062622,123,123,6273.854,191.05838,0.49585,1378.12073,
126,0.10477243,123,123,6281.741,189.51329,-1.05394,1383.37854,
