Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
122,0.48004583,122,122,6195.898,247.88438,100.90528,927.97461,Light machine skip at end
122,0.69827616,122,122,6201.035,247.78703,100.90536,933.44379,Survived
122,0.92090863,122,122,6206.274,247.72896,100.90533,938.94568,
123,0.14943589,123,122,6211.654,247.7189,100.90527,944.52344,
123,0.37985626,123,123,6217.077,247.75706,100.90512,950.117,
123,0.61349249,123,123,6222.576,247.84863,100.905,955.75647,
123,0.84973097,123,123,6228.137,247.99272,100.90492,961.4201,
123,1,123,123,6231.674,248.1908,100.90494,967.11694,
123,1,123,123,6231.674,248.60442,100.80808,972.81921,
123,1,123,123,6231.674,249.14595,100.61637,978.5368,
123,1,123,123,6231.674,249.76244,100.33183,984.27655,
123,1,123,123,6231.674,250.42349,99.95646,990.04199,
123,1,123,123,6231.674,251.11168,99.49227,995.83502,
123,1,123,123,6231.674,251.81697,98.94125,1001.65643,
123,1,123,123,6231.674,252.5336,98.30537,1007.50641,
123,1,123,123,6231.674,253.25822,97.58659,1013.38483,
123,1,123,123,6231.674,253.98891,96.78686,1019.29138,
123,1,123,123,6231.674,254.7245,95.90809,1025.22559,
123,1,123,123,6231.674,255.46432,94.95219,1031.18689,
123,1,123,123,6231.674,256.20795,93.92104,1037.17468,
123,1,123,123,6231.674,256.95511,92.81652,1043.18848,
123,1,123,123,6231.674,257.70557,91.64046,1049.22754,
123,1,123,123,6231.674,258.42065,90.39468,1055.29565,
123,1,123,123,6231.674,258.81702,89.08071,1061.39294,
123,1,123,123,6231.674,258.8111,87.70039,1067.54297,
123,1,123,123,6231.674,258.33609,86.25562,1073.72876,
123,1,123,123,6231.674,257.3826,84.74863,1079.97363,
123,1,123,123,6231.674,255.93614,83.18176,1086.25342,
123,1,123,123,6231.674,254.09705,81.55786,1092.63342,
123,1,123,123,6231.674,252.05042,79.87943,1099.09314,
123,1,123,123,6231.674,249.91373,78.14845,1105.59094,
123,1,123,123,6231.674,247.73604,76.36662,1112.10999,
123,1,123,123,6231.674,245.53827,74.53555,1118.64307,
123,1,123,123,6231.674,243.32947,72.65672,1125.18677,
123,1,123,123,6231.674,241.11368,70.73158,1131.7395,
123,1,123,123,6231.674,238.8927,68.76154,1138.30029,
123,1,123,123,6231.674,236.6674,66.74796,1144.86853,
123,1,123,123,6231.674,234.43828,64.69219,1151.44373,
123,1,123,123,6231.674,232.30942,62.69683,1157.89697,
123,1,123,123,6231.674,230.2623,60.75549,1164.3042,
123,1,123,123,6231.674,228.30324,58.86225,1170.65967,
123,1,123,123,6231.674,226.48398,57.01177,1176.97656,
123,1,123,123,6231.674,224.78984,55.19884,1183.2323,
123,1,123,123,6231.674,223.19749,53.41902,1189.43262,
123,1,123,123,6231.674,221.69376,51.66841,1195.58203,
123,1,123,123,6231.674,220.28386,49.9436,1201.68591,
123,1,123,123,6231.674,218.98482,48.24141,1207.74548,
123,1,123,123,6231.674,217.80611,46.5589,1213.75793,
123,1,123,123,6231.674,216.79976,44.89334,1219.72766,
123,1,123,123,6231.674,215.95981,43.24204,1225.64136,
123,1,123,123,6231.674,215.22838,41.60274,1231.50073,
123,1,123,123,6231.674,214.59439,39.97363,1237.31677,
123,1,123,123,6231.674,214.0652,38.35308,1243.09021,
123,1,123,123,6231.674,213.60938,36.7396,1248.81946,
124,0.07516073,123,123,6236.184,213.19557,35.13197,1254.50977,
124,0.16942139,123,123,6241.839,212.80608,33.52913,1260.16541,
124,0.26314697,123,123,6247.463,212.43108,31.93019,1265.78894,
124,0.3563619,123,123,6253.056,212.06509,30.33434,1271.38184,
124,0.44908854,123,123,6258.619,211.70506,28.74087,1276.94543,
124,0.54129845,123,123,6264.152,211.31525,27.14909,1282.47803,
124,0.63301188,123,123,6269.654,210.83998,25.55847,1287.98083,
124,0.72439981,123,123,6275.138,210.26782,23.96876,1293.46411,
124,0.81549275,123,123,6280.604,209.60602,22.37975,1298.92969,
124,0.90623575,123,123,6286.048,208.84865,20.79126,1304.37427,
124,0.99669188,123,123,6291.476,208.00183,19.20318,1309.80164,
125,0.08559752,123,123,6296.887,207.08191,17.61542,1315.21301,
125,0.17415157,123,123,6302.28,206.09972,16.02784,1320.60596,
125,0.26242903,123,123,6307.656,205.07188,14.44029,1325.98206,
125,0.35034767,123,123,6313.01,203.99869,12.85254,1331.3363,
125,0.43792355,123,123,6318.344,202.87781,11.26441,1336.66968,
125,0.52521282,123,123,6323.66,201.71901,9.67577,1341.9856,
125,0.6121453,123,123,6328.954,200.5192,8.08644,1347.27979,
125,0.69869488,123,123,6235.5,199.26309,6.49629,1352.55066,
125,0.78490978,123,123,6243.375,197.93973,4.90529,1357.80115,
125,0.87064761,123,123,6251.208,196.511,3.31345,1363.02258,
125,0.95613289,123,123,6259.017,194.96634,1.72113,1368.22864,
126,0.02129927,123,123,6266.829,193.34917,0.12876,1373.43689,
126,0.06498016,123,123,6274.633,191.7001,-1.46355,1378.63928,
126,0.10855138,123,123,6282.417,190.04102,-3.05598,1383.82861,
126,0.1519832,123,123,6290.176,188.38177,-4.64878,1389.00134,
126,0.19526334,123,123,6297.908,186.72644,-6.24225,1394.15601,
126,0.23838973,123,123,6305.612,185.0766,-7.83668,1399.29236,
126,0.28136137,123,123,6313.289,183.43279,-9.43235,1404.41028,
126,0.32398143,123,123,6320.903,181.7845,-11.02986,1409.48633,
126,0.36578977,123,123,6328.373,180.0843,-12.63043,1414.4657,
126,0.40671664,123,123,6335.684,178.25957,-14.23553,1419.34009,
126,0.44623935,123,123,6342.745,176.23599,-15.84814,1424.04724,
126,0.48413238,123,123,6349.515,173.93217,-17.47185,1428.5603,
126,0.52019799,123,123,6355.958,171.30136,-19.11071,1432.85571,
126,0.55421263,123,123,6362.034,168.33043,-20.76924,1436.90686,
126,0.58593047,123,123,6367.701,165.02811,-22.45229,1440.68445,
126,0.61510533,123,123,6372.913,161.41466,-24.16467,1444.15918,
126,0.64150679,123,123,6377.629,157.51579,-25.91097,1447.30359,
126,0.66492462,123,123,6381.813,153.36031,-27.69528,1450.09253,
126,0.68516922,123,123,6385.43,148.97899,-29.52134,1452.50366,
126,0.70229697,123,123,6388.489,144.39764,-31.39657,1454.54358,
126,0.71636325,123,123,6391.002,139.65916,-33.32213,1456.21887,
126,0.7273404,123,123,6392.963,134.80597,-35.29291,1457.52625,
126,0.73514527,123,123,6394.357,129.86989,-37.30232,1458.45581,
126,0.7396571,123,123,6395.164,124.87879,-39.34179,1458.99316,
126,0.74078143,123,123,6395.365,119.85474,-41.40337,1459.12708,
126,0.73847121,123,123,6394.952,114.82047,-43.47932,1458.85193,
126,0.73272538,123,123,6393.925,109.79961,-45.56205,1458.1676,
126,0.72355938,123,123,6392.288,104.81837,-47.64235,1457.07593,
126,0.71100283,123,123,6390.044,99.89932,-49.71192,1455.58044,
126,0.69511116,123,123,6387.206,95.06332,-51.76308,1453.68774,
126,0.67596012,123,123,6383.784,90.32872,-53.78933,1451.40686,
126,0.65365028,123,123,6379.799,85.70895,-55.78727,1448.74976,
126,0.62831271,123,123,6375.272,81.21748,-57.75415,1445.73206,
126,0.60009819,123,123,6370.232,76.87545,-59.68078,1442.3717,
126,0.56912655,123,123,6364.699,72.70245,-61.55748,1438.68298,
126,0.53550851,123,123,6358.693,68.71593,-63.37578,1434.67908,
126,0.49935889,123,123,6352.235,64.93214,-65.12821,1430.37366,
126,0.46079758,123,123,6345.346,61.36594,-66.80865,1425.78101,
126,0.41995475,123,123,6338.049,58.03093,-68.4124,1420.91663,
126,0.37696162,123,123,6330.368,54.93996,-69.93561,1415.79614,
126,0.33185914,123,123,6322.311,52.08098,-71.40487,1410.42444,
126,0.28497428,123,123,6313.935,49.43904,-72.84238,1404.84045,
126,0.236798,123,123,6305.328,46.89656,-74.38071,1399.10266,
126,0.18805699,123,123,6296.62,44.43215,-76.02122,1393.29761,
126,0.13922372,123,123,6287.896,41.98262,-77.8184,1387.48157,
126,0.09088141,123,123,6279.26,39.50039,-79.79589,1381.724,
126,0.04389305,123,123,6270.865,36.89373,-82.00584,1376.12769,
125,0.99729198,123,123,6262.776,34.14761,-84.43578,1370.73511,
125,0.91192901,123,123,6254.979,31.27279,-87.07196,1365.5365,
125,0.82875687,123,123,6247.381,28.32915,-89.87583,1360.47131,
125,0.74739873,123,123,6239.949,25.3364,-92.83538,1355.5166,
125,0.66782254,123,123,6232.68,22.29912,-95.94319,1350.67041,
125,0.59103256,123,123,6327.668,19.16425,-99.21571,1345.9939,
125,0.51663184,123,123,6323.137,15.95603,-102.63836,1341.46289,
125,0.44386271,123,123,6318.705,12.71667,-106.19301,1337.03125,
125,0.37229025,123,123,6314.347,9.4723,-109.86712,1332.67249,
125,0.30164784,123,123,6310.044,6.23835,-113.65364,1328.37036,
125,0.23177916,123,123,6305.789,3.02447,-117.54759,1324.11536,
125,0.16258596,123,123,6301.575,-0.16338,-121.54575,1319.90149,
125,0.09401415,123,123,6297.399,-3.32154,-125.64582,1315.72546,
125,0.02602963,123,123,6293.259,-6.44788,-129.84618,1311.58521,
124,0.95799357,123,123,6289.153,-9.54085,-134.14543,1307.47961,
124,0.89012855,123,123,6285.082,-12.59922,-138.54236,1303.40771,
124,0.82282102,123,123,6281.043,-15.62237,-143.03606,1299.36926,
124,0.75606078,123,123,6277.038,-18.60944,-147.62558,1295.36365,
124,0.68985391,123,123,6273.065,-21.56039,-152.31036,1291.39124,
124,0.62419635,123,123,6269.125,-24.47458,-157.0896,1287.45178,
124,0.55908811,123,123,6265.219,-27.3516,-161.96269,1283.54529,
124,0.49452922,123,123,6261.346,-30.19123,-166.92909,1279.67175,
124,0.43051961,123,123,6257.505,-32.99307,-171.98831,1275.83118,
124,0.36265868,123,123,6253.434,-35.45464,-177.01686,1271.75952,
124,0.28937379,123,123,6249.036,-37.46802,-181.9693,1267.36243,
124,0.21044515,123,123,6244.301,-39.04549,-186.87093,1262.62671,
124,0.12605794,123,123,6239.237,-40.19093,-191.7141,1257.56348,
124,0.03728231,123,123,6233.911,-41.05024,-196.61592,1252.23694,
124,0,123,123,6231.674,-41.74665,-201.5959,1246.78613,
124,0,123,123,6231.674,-42.34685,-206.65407,1241.29932,
124,0,123,123,6231.674,-42.88055,-211.78954,1235.81934,
124,0,123,123,6231.674,-43.35966,-217.0034,1230.36548,
124,0,123,123,6231.674,-43.78878,-222.29961,1224.94409,
124,0,123,123,6231.674,-44.17146,-227.68561,1219.55383,
124,0,123,123,6231.674,-44.98561,-233.32904,1214.5083,
124,0,123,123,6231.674,-46.43593,-239.10553,1210.24048,
124,0,123,123,6231.674,-48.56322,-245.0457,1206.73059,
124,0,123,123,6231.674,-51.31792,-251.17041,1203.8457,
124,0,123,123,6231.674,-54.74632,-257.38498,1201.82397,
124,0,123,123,6231.674,-58.98425,-263.84683,1200.24146,
124,0,123,123,6231.674,-63.71499,-270.47769,1198.79749,
124,0,123,123,6231.674,-68.67329,-277.18185,1197.34167,
124,0,123,123,6231.674,-73.77171,-283.77136,1195.80786,
124,0,123,123,6231.674,-79.00567,-290.05173,1194.15674,
124,0,123,123,6231.674,-84.38383,-295.85876,1192.35535,
150,0.14280586,123,150,7723.612,-89.77943,-301.22491,1190.15503,
150,0.10168396,150,150,7721.838,-95.04987,-301.33948,1187.69031,
150,0.06936226,150,150,7720.444,-99.95192,-301.08707,1185.21899,
150,0.05808412,150,150,7719.958,-104.24533,-300.74182,1182.29968,
150,0.05963618,150,150,7720.024,-108.19883,-300.40598,1179.05261,
150,0.06863948,150,150,7720.413,-111.92352,-300.14618,1175.61584,
150,0.08190325,150,150,7720.985,-115.50062,-299.98227,1172.06409,
150,0.09749769,150,150,7721.658,-118.97897,-299.9021,1168.44751,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
