Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
75,1,75,75,3211.41797,599.92078,310.2088,-481.25803,Huge mine boost out of tunnel
76,0.01284931,75,75,3215.07275,600.33563,314.70737,-476.40237,Retired
76,0.03048389,75,75,3220.08838,600.75275,319.08099,-471.46469,
76,0.04860196,75,75,3225.2417,601.17651,323.33624,-466.39163,
76,0.06734204,75,75,3230.57202,601.61011,327.47662,-461.14441,
76,0.08678947,75,75,3236.10352,602.05566,331.50317,-455.69913,
76,0.10697499,75,75,3241.84473,602.51404,335.4151,-450.04718,
76,0.12788661,75,75,3247.79272,602.98523,339.2106,-444.19193,
76,0.14948934,75,75,3253.93701,603.46863,342.88748,-438.14316,
76,0.17173098,75,75,3260.26318,603.96326,346.44351,-431.9155,
76,0.19455072,75,75,3266.75391,604.4679,349.87662,-425.52597,
76,0.21788314,75,75,3273.39014,604.9812,353.185,-418.99289,
76,0.24166222,75,75,3280.15381,605.50189,356.36731,-412.33475,
76,0.26582581,75,75,3287.02661,606.02875,359.42258,-405.56894,
76,0.29031506,75,75,3293.99194,606.56055,362.35025,-398.71194,
76,0.31507725,75,75,3301.03516,607.09637,365.15018,-391.77853,
76,0.34006765,75,75,3308.14307,607.63519,367.82251,-384.78122,
76,0.36524671,75,75,3315.30469,608.17639,370.36768,-377.73108,
76,0.39058143,75,75,3322.51074,608.71918,372.78638,-370.63736,
76,0.41604245,75,75,3329.75244,609.26306,375.07947,-363.50827,
76,0.44160539,75,75,3337.02344,609.80756,377.24802,-356.35065,
76,0.46719229,75,75,3344.30103,610.49847,379.29117,-349.18631,
76,0.49142697,75,75,3351.19409,612.20166,381.17828,-342.4006,
76,0.51490182,75,75,3357.87085,614.60254,382.92456,-335.82764,
76,0.53822708,75,75,3364.50537,617.39911,384.54517,-329.29657,
76,0.56166697,75,75,3371.17236,620.41882,386.04761,-322.7334,
76,0.58531123,75,75,3377.89746,623.56268,387.4357,-316.11301,
76,0.60916799,75,75,3384.68311,626.77417,388.71143,-309.43311,
76,0.6332103,75,75,3391.52124,630.02075,389.87607,-302.70123,
76,0.65740126,75,75,3398.40186,633.284,390.93066,-295.92776,
76,0.68170196,75,75,3405.31372,636.55298,391.87622,-289.12357,
76,0.70607919,75,75,3412.24731,639.82153,392.71381,-282.29794,
76,0.73050618,75,75,3419.19507,643.08618,393.44458,-275.45837,
76,0.75496209,75,75,3426.15112,646.34509,394.06976,-268.61072,
76,0.77943099,75,75,3433.1106,649.59717,394.59067,-261.75943,
76,0.80390078,75,75,3440.07056,652.84186,395.00861,-254.90788,
76,0.82836252,75,75,3447.02832,656.07892,395.32495,-248.05859,
76,0.85280955,75,75,3453.98169,659.30817,395.54111,-241.21342,
76,0.87723672,75,75,3460.92944,662.52948,395.65842,-234.37381,
76,0.9016403,75,75,3467.87061,665.7428,395.67828,-227.54082,
76,0.92601711,75,75,3474.80396,668.94812,395.6041,-220.7153,
76,0.95036471,75,75,3481.72925,672.14539,395.4397,-213.89796,
76,0.97468108,75,75,3488.64551,675.33466,395.18872,-207.08939,
76,0.99896425,75,75,3495.55225,678.51587,394.85471,-200.29008,
77,0.20052104,75,75,3499.78003,681.68903,394.44098,-193.50052,
77,0.40249148,75,75,3503.7417,684.85419,393.95074,-186.72108,
77,0.5972116,75,75,3507.56128,688.01129,393.38712,-179.95215,
77,0.7850644,75,75,3511.24585,691.1604,392.75302,-173.19402,
77,0.96640384,75,75,3514.80298,694.30157,392.0513,-166.44699,
78,0.1410733,75,75,3518.229,697.43475,391.28464,-159.7113,
78,0.30849531,75,75,3521.5127,700.55994,390.45566,-152.98721,
78,0.46908522,75,75,3524.6626,703.67725,389.56683,-146.27493,
78,0.62325519,75,75,3527.68652,706.78662,388.62054,-139.57463,
78,0.77138138,75,75,3530.5918,709.88806,387.61908,-132.88651,
78,0.91381061,75,75,3533.3855,712.98169,386.56464,-126.21072,
79,0.05080426,75,75,3536.07251,716.06744,385.45929,-119.54742,
79,0.18203098,75,75,3538.64648,719.14539,384.30502,-112.89672,
79,0.30768615,75,75,3541.11108,722.21558,383.10379,-106.25876,
79,0.42811704,75,75,3543.47339,725.27802,381.85742,-99.63364,
79,0.54364353,75,75,3545.7395,728.3327,380.56766,-93.02145,
79,0.65456027,75,75,3547.91504,731.37964,379.23618,-86.42229,
79,0.76113635,75,75,3550.00562,734.41888,377.86462,-79.83624,
79,0.86362302,75,75,3552.01587,737.4505,376.4545,-73.26337,
79,0.96225011,75,75,3553.95044,740.47449,375.00729,-66.70377,
80,0.05715211,75,75,3555.81201,743.49091,373.52444,-60.15746,
80,0.14822695,75,75,3557.59839,746.49969,372.00726,-53.62452,
80,0.23566861,75,75,3559.31348,749.50098,370.45706,-47.10498,
80,0.31969333,75,75,3560.96167,752.49469,368.87506,-40.59889,
80,0.40049648,75,75,3562.54663,755.4809,367.26245,-34.10629,
80,0.47825944,75,75,3564.07202,758.45966,365.62036,-27.62721,
