Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
75,1,75,75,3211.418,593.85315,315.33279,-483.93237,Huge mine boost out of tunnel
76,0.0156348,75,75,3215.865,594.62079,324.66006,-475.62244,Survived
76,0.04354694,75,75,3223.804,595.33966,333.65839,-467.80704,"Had other runs with Lap distance gains of 3617.306 -> 5122.880, 3609.393 -> 5116.297, 3610.962 -> 5115.325, 3617.595 -> 5124.156, 3616.860 -> 5124.967"
76,0.06985352,75,75,3231.286,596.01202,342.34558,-460.44119,
76,0.09469537,75,75,3238.352,596.64105,350.73752,-453.48547,
76,0.11819717,75,75,3245.037,597.23004,358.84851,-446.90497,
76,0.14046976,75,75,3251.372,597.78229,366.69147,-440.66864,
76,0.16161354,75,75,3257.385,598.3009,374.27823,-434.74838,
76,0.18174532,75,75,3263.112,598.78943,381.6217,-429.11148,
76,0.20100224,75,75,3268.589,599.25171,388.73587,-423.71954,
76,0.21910755,75,75,3273.739,600.20685,395.61047,-418.65005,
76,0.23546214,75,75,3278.39,601.90515,402.21033,-414.07077,
76,0.25084627,75,75,3282.766,603.96802,408.58771,-409.76321,
76,0.26573971,75,75,3287.002,606.21002,414.77414,-405.59305,
76,0.28044483,75,75,3291.185,608.5484,420.78937,-401.47562,
76,0.29516682,75,75,3295.372,610.9491,426.64682,-397.35345,
76,0.31005701,75,75,3299.607,613.40149,432.35632,-393.1842,
76,0.32523426,75,75,3303.924,615.90582,437.92542,-388.93457,
76,0.34078875,75,75,3308.348,618.46503,443.35983,-384.57932,
76,0.35679194,75,75,3312.9,621.08325,448.66406,-380.09842,
76,0.37329769,75,75,3317.595,623.76422,453.84149,-375.47681,
76,0.3903448,75,75,3322.443,626.51038,458.89462,-370.70361,
76,0.40795845,75,75,3327.453,629.32275,463.82529,-365.77179,
76,0.42615187,75,75,3332.628,632.20148,468.63467,-360.67761,
76,0.44492701,75,75,3337.968,635.1452,473.32352,-355.42056,
76,0.46427852,75,75,3343.472,638.15173,477.89224,-350.00214,
76,0.48419157,75,75,3349.136,641.21796,482.341,-344.42648,
76,0.50464642,75,75,3354.954,644.34033,486.6698,-338.69913,
76,0.52561915,75,75,3360.919,647.51508,490.87857,-332.82675,
76,0.5470826,75,75,3367.024,650.73822,494.96719,-326.81699,
76,0.56900674,75,75,3373.26,654.00555,498.93558,-320.67822,
76,0.59136015,75,75,3379.618,657.31281,502.78366,-314.41928,
76,0.61410999,75,75,3386.089,660.65582,506.51147,-308.04932,
76,0.63722354,75,75,3392.663,664.03046,510.11911,-301.57751,
76,0.66067064,75,75,3399.332,667.43311,513.60687,-295.01233,
76,0.68442082,75,75,3406.087,670.86035,516.97504,-288.36227,
76,0.70844471,75,75,3412.92,674.30872,520.22412,-281.63559,
76,0.73271555,75,75,3419.823,677.77533,523.35468,-274.83975,
76,0.75720948,75,75,3426.79,681.25775,526.36743,-267.98145,
76,0.78190255,75,75,3433.814,684.75378,529.26312,-261.06738,
76,0.80677414,75,75,3440.888,688.26129,532.0426,-254.10333,
76,0.8318038,75,75,3448.007,691.77814,534.70679,-247.09502,
76,0.85697365,75,75,3455.166,695.30255,537.25671,-240.04747,
76,0.88226783,75,75,3462.361,698.83295,539.69342,-232.96509,
76,0.90767199,75,75,3469.586,702.36829,542.01807,-225.85193,
76,0.93317217,75,75,3476.839,705.90717,544.23175,-218.7119,
76,0.95875585,75,75,3484.116,709.44836,546.33563,-211.54845,
76,0.98441237,75,75,3491.413,712.99084,548.33099,-204.36459,
77,0.07501692,75,75,3497.318,716.53369,550.21899,-197.16299,
77,0.26138967,75,75,3500.974,720.07587,552.00098,-189.94646,
77,0.44195351,75,75,3504.516,723.61652,553.67816,-182.71745,
77,0.6169399,75,75,3507.948,727.15491,555.25183,-175.47812,
77,0.78657281,75,75,3511.276,730.69043,556.72327,-168.23038,
77,0.95106924,75,75,3514.502,734.22253,558.09375,-160.97591,
78,0.11033729,75,75,3517.626,737.75092,559.36462,-153.71622,
78,0.26375586,75,75,3520.635,741.27509,560.53717,-146.45264,
78,0.41157424,75,75,3523.534,744.79474,561.61267,-139.18634,
78,0.55408096,75,75,3526.33,748.30969,562.59241,-131.91843,
78,0.69154245,75,75,3529.026,751.81927,563.47766,-124.6502,
78,0.8242138,75,75,3531.628,755.32336,564.26965,-117.38251,
78,0.95233512,75,75,3534.141,758.82184,564.96967,-110.1161,
79,0.0759889,75,75,3536.566,762.31451,565.57898,-102.85168,
79,0.19487226,75,75,3538.898,765.80139,566.09875,-95.58989,
79,0.30920383,75,75,3541.141,769.28223,566.53027,-88.3313,
79,0.41923618,75,75,3543.299,772.75696,566.87469,-81.07648,
79,0.52520514,75,75,3545.378,776.2254,567.13318,-73.82594,
79,0.62732893,75,75,3547.381,779.6875,567.30695,-66.58016,
79,0.72581089,75,75,3549.313,783.14313,567.39716,-59.33963,
79,0.82084024,75,75,3551.177,786.59222,567.40491,-52.10477,
79,0.91259331,75,75,3552.976,790.03467,567.33392,-44.87601,
80,0.00123445,75,75,3554.715,793.4704,567.18799,-37.65381,
80,0.08673052,75,75,3556.392,796.89935,566.97064,-30.43861,
80,0.16907638,75,75,3558.007,800.32184,566.6853,-23.23057,
80,0.24844201,75,75,3559.564,803.73792,566.33514,-16.02988,
80,0.3249847,75,75,3561.065,807.14777,565.92316,-8.83675,
80,0.3988516,75,75,3562.514,810.55139,565.45227,-1.65139,
80,0.47018093,75,75,3563.914,813.94916,564.92511,5.52626,
80,0.53909481,75,75,3565.265,817.34253,564.34418,12.69648,
80,0.60568208,75,75,3566.571,820.73511,563.71167,19.85914,
80,0.66993666,75,75,3567.832,824.13757,563.02936,27.01178,
80,0.7314986,75,75,3569.039,827.58673,562.29761,34.14153,
80,0.78970671,75,75,3570.181,831.14471,561.51556,41.22717,
80,0.84619039,75,75,3571.289,834.72729,560.68799,48.33582,
80,0.90260696,75,75,3572.396,838.24121,559.81622,55.53733,
80,0.95833158,75,75,3573.489,841.75354,558.89392,62.82485,
81,0.01319723,75,75,3574.565,845.30151,557.91254,70.20977,
81,0.06667049,75,75,3575.614,848.92615,556.85925,77.68224,
81,0.11877011,75,75,3576.635,852.5791,555.72192,85.20857,
81,0.16937308,75,75,3577.628,856.24365,554.49097,92.75973,
81,0.21848395,75,75,3578.592,859.9071,553.15833,100.32013,
81,0.26606566,75,75,3579.525,863.56641,551.71753,107.87685,
81,0.31212944,75,75,3580.428,867.2193,550.16345,115.42205,
81,0.35670027,75,75,3581.302,870.8645,548.4931,122.94977,
81,0.39980498,75,75,3582.148,874.50165,546.70605,130.45505,
81,0.44147882,75,75,3582.966,878.13031,544.80225,137.93391,
81,0.48175991,75,75,3583.756,881.75024,542.78204,145.38293,
81,0.5206877,75,75,3584.519,885.36115,540.646,152.79913,
81,0.55830228,75,75,3585.257,888.96289,538.3949,160.17978,
81,0.59464324,75,75,3585.97,892.55524,536.02966,167.52252,
81,0.62975252,75,75,3586.658,896.13806,533.55127,174.8253,
81,0.66366982,75,75,3587.324,899.71118,530.96075,182.08624,
81,0.69643337,75,75,3587.967,903.27454,528.25922,189.30363,
81,0.72808278,75,75,3588.587,906.82806,525.44769,196.47607,
81,0.7586574,75,75,3589.187,910.37164,522.52728,203.60248,
81,0.78819555,75,75,3589.766,913.90521,519.4989,210.68199,
81,0.81673545,75,75,3590.326,917.42834,516.3634,217.71341,
81,0.84430504,75,75,3590.867,920.94122,513.12189,224.69534,
81,0.8709352,75,75,3591.389,924.44379,509.77539,231.62662,
81,0.89665478,75,75,3591.894,927.93616,506.32498,238.50618,
81,0.92149299,75,75,3592.381,931.41827,502.77164,245.33313,
81,0.94547898,75,75,3592.852,934.89008,499.11639,252.10661,
81,0.96863931,75,75,3593.306,938.35156,495.36029,258.82584,
81,0.99100018,75,75,3593.744,941.80273,491.5043,265.49017,
82,0.01258385,75,75,3594.168,945.24353,487.54944,272.099,
82,0.03340039,75,75,3594.576,948.67401,483.49655,278.65207,
82,0.05347665,75,75,3594.97,952.09375,479.34647,285.14896,
82,0.07283842,75,75,3595.35,955.50256,475.10001,291.58911,
82,0.09150951,75,75,3595.716,958.89954,470.75812,297.97131,
82,0.10950702,75,75,3596.069,962.28394,466.32199,304.29346,
82,0.12684278,75,75,3596.409,965.65527,461.79303,310.55304,
82,0.14352484,75,75,3596.736,969.01324,457.17276,316.74741,
82,0.15956081,75,75,3597.051,972.35785,452.46289,322.87393,
82,0.1749569,75,75,3597.353,975.68933,447.66522,328.9303,
82,0.18972056,75,75,3597.642,979.00818,442.78162,334.91458,
82,0.20385861,75,75,3597.919,982.31549,437.81378,340.82553,
82,0.21738233,75,75,3598.185,985.612,432.76318,346.66245,
82,0.23030567,75,75,3598.438,988.89832,427.63123,352.42499,
82,0.24264517,75,75,3598.68,992.17468,422.41922,358.11301,
82,0.25441682,75,75,3598.911,995.44122,417.12848,363.72641,
82,0.26563865,75,75,3599.131,998.69775,411.76035,369.26505,
82,0.27724087,75,75,3599.359,1001.82916,406.29138,374.76938,
82,0.29026175,75,75,3599.614,1004.68793,400.70776,380.26862,
82,0.30476916,75,75,3599.899,1007.25433,395.01425,385.75806,
82,0.32048297,75,75,3600.207,1009.55841,389.2211,391.22281,
82,0.3373366,75,75,3600.537,1011.6026,383.33453,396.65546,
82,0.35509729,75,75,3600.886,1013.41516,377.36191,402.04553,
82,0.37328628,75,75,3601.242,1015.06451,371.31134,407.37888,
82,0.39166421,75,75,3601.603,1016.58612,365.18701,412.64868,
82,0.4101122,75,75,3601.965,1017.99847,358.99124,417.85181,
82,0.42857632,75,75,3602.327,1019.31104,352.72534,422.98685,
82,0.44685954,75,75,3602.686,1020.55548,346.39178,428.04947,
82,0.46495366,75,75,3603.041,1021.73486,339.99103,433.03979,
82,0.48269102,75,75,3603.388,1022.87732,333.52493,437.95444,
82,0.49999252,75,75,3603.728,1023.99738,326.99448,442.79208,
82,0.51682597,75,75,3604.058,1025.10242,320.40018,447.5524,
82,0.5331797,75,75,3604.379,1026.19653,313.74243,452.2355,
82,0.54905546,75,75,3604.69,1027.28162,307.02148,456.84174,
82,0.56445938,75,75,3604.992,1028.35876,300.23767,461.3714,
82,0.57939732,75,75,3605.285,1029.42859,293.39142,465.82446,
82,0.59387863,75,75,3605.569,1030.49121,286.48309,470.20078,
82,0.60791135,75,75,3605.844,1031.54675,279.51294,474.50031,
82,0.62150675,75,75,3606.111,1032.59485,272.48114,478.72305,
82,0.63475233,75,75,3606.371,1033.6228,265.38705,482.87085,
82,0.64770007,75,75,3606.625,1034.62341,258.23053,486.94452,
82,0.66045582,75,75,3606.875,1035.58032,251.01106,490.94589,
82,0.6729936,75,75,3607.121,1036.49817,243.72945,494.87357,
82,0.68561471,75,75,3607.369,1038.06824,228.97646,502.52078,
82,0.69831353,75,75,3607.618,1038.06824,228.97646,502.52078,
82,0.71085608,75,75,3607.864,1038.76013,221.50714,506.2337,
82,0.72439063,75,75,3608.129,1039.20435,213.97958,509.88306,
82,0.73880255,75,75,3608.412,1039.41687,206.39763,513.46283,
82,0.75408953,75,75,3608.712,1039.39441,198.76585,516.9679,
82,0.76975697,75,75,3609.019,1039.22534,191.0798,520.3952,
82,0.78548211,75,75,3609.327,1038.96814,183.33603,523.74298,
82,0.80109143,75,75,3609.634,1038.66418,175.52104,527.02228,
82,0.81647223,75,75,3609.935,1038.34705,167.61865,530.24878,
82,0.83160162,75,75,3610.232,1038.03491,159.61383,533.43982,
82,0.84659171,75,75,3610.526,1037.72522,151.49176,536.61798,
82,0.86155874,75,75,3610.82,1037.41809,143.23775,539.81122,
82,0.87663716,75,75,3611.115,1037.11487,134.83861,543.05402,
82,0.89198285,75,75,3611.416,1036.81812,126.28479,546.38837,
82,0.90777582,75,75,3611.726,1036.53101,117.57286,549.86401,
82,0.92420959,75,75,3612.048,1036.2572,108.70905,553.53577,
104,0.03388728,75,104,5123.752,1036.06787,100.60439,557.45514,
104,0.05288088,104,104,5127.931,1035.89685,100.29161,561.63373,
104,0.07730465,104,104,5133.304,1035.93079,100.37953,567.00696,
104,0.10462982,104,104,5139.315,1036.37158,100.58987,573.01849,
104,0.13361654,104,104,5145.692,1037.01892,100.85503,579.39557,
,,,,,,,,
,,,,,,,,
