Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width,Notes
0,0,0,0,1,0,0,64,
1,0.08048,0.88894,-29.23288,1,0,0,64,
2,0.2039,0.86947,-58.55018,1,0,0,64,
3,0.27706,0.86121,-75.93023,1,0,0,64,
4,0.29583,0.85932,-87.686,1,0,0,64,
6,1.23499,1.09303,-117.06444,0.99664,0,0.08188,64,
8,12.55389,3.22586,-173.99883,0.9544,0,0.29853,70.901,
10,35.80158,7.05377,-227.37651,0.87042,0,0.49231,88.19,
13,69.78416,11.72313,-274.61169,0.7471,0,0.66471,110.816,
16,138.41631,18.21116,-328.1824,0.45602,0,0.88997,143.671,
19,193.11877,20.62431,-347.7796,0.21011,0,0.97768,157.386,
23,233.88388,20.8812,-351.996,0.03096,0,0.99952,160,
24,251.45544,20.88196,-352.00403,0,0,1,160,
34,676.78406,20.9006,-352.01126,-0.00029,0,1,160,
36,689.76721,20.90143,-351.96432,-0.00949,0,0.99995,160,
,,,,,,,,
108,-265.61414,50.00139,288.20721,0.00086,0.092,-0.99576,236.537,
109,-383.58313,49.79284,288.65891,0,0.16879,-0.98565,232.437,
110,-395.27893,49.76252,288.72412,-0.00066,0.17615,-0.98436,231.949,
111,-406.94736,49.73315,288.79349,-0.00217,0.18332,-0.98305,231.448,
112,-608.10168,46.36607,308.1438,-0.16444,0.25865,-0.95187,220.266,
113,-736.21466,39.06653,353.2962,-0.40369,0.25809,-0.87774,209.985,
114,-856.0285,23.52712,451.35803,-0.7114,0.25701,-0.65411,196.314,
116,-956.1488,-9.08691,673.49524,-0.96447,0.25627,-0.06418,173.796,
119,-941.30591,-38.21222,896.10291,-0.84526,0.16753,0.50741,152,End of refiller
120,-841.77106,-58.56249,1061.00903,-0.55015,0.04362,0.83392,133.425,
121,-728.21375,-69.58183,1151.15442,-0.30767,0,0.95149,119.688,
123,-606.26672,-75.70596,1194.00891,-0.14664,0,0.98919,107.686,
125,-467.05905,-79.01972,1209.13611,-0.08809,0,0.99611,95.736,
126,-322.54651,-79.99686,1233.56482,-0.27521,-0.15365,0.94903,84.465,
128,-257.022,-80.00003,1264.4054,-0.44113,-0.2414,0.86437,79.577,
130,-120.13001,-80.00003,1418.78857,-0.85796,-0.25876,0.44378,69.331,
181,-0.01656,0.90366,286.29385,1,-0.0001,0,64,
,,,,,,,,
,,,,,,,,
