Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,X,Y,Z
93,0.49479905,93,93,265.40927,101.30896,284.32678
93,0.51851541,93,93,258.57083,101.37416,288.32755
93,0.5432117,93,93,251.4498,101.44955,291.85709
93,0.56880647,93,93,244.06966,101.53698,294.8576
93,0.59522963,93,93,236.45078,101.63836,297.28235
93,0.62237734,93,93,228.62306,101.75556,299.10291
93,0.65014464,93,93,220.61699,101.88981,300.31616
93,0.67837298,93,93,212.47832,102.04193,300.93042
93,0.70691681,93,93,204.2491,102.21213,300.95386
93,0.7356382,93,93,195.96921,102.40003,300.39532
93,0.76440614,93,93,187.6765,102.60503,299.26434
93,0.79309499,93,93,179.40724,102.82644,297.57132
93,0.82157212,93,93,171.19977,103.06333,295.33249
93,0.8497135,93,93,163.08987,103.31452,292.56482
93,0.8774035,93,93,155.11095,103.57897,289.2858
93,0.90518963,93,93,147.10529,103.86124,285.67398
93,0.93265814,93,93,139.19211,104.15632,282.09253
93,0.96014643,93,93,131.27432,104.46884,278.60605
93,0.98767459,93,93,123.34629,104.80045,275.23355
94,0.72785014,94,93,115.33405,105.15543,272.10397
96,0.0382521,96,94,107.29988,105.53146,269.56235
97,0.39040646,97,96,99.01597,105.939,267.76855
98,0.76922697,98,97,90.56136,106.40114,266.69128
100,0.162413,100,98,81.9975,107.00029,266.31314
101,0.56453669,101,100,73.38278,107.81895,266.61832
102,0.97117281,102,101,64.76548,108.86225,267.58939
104,0.37484357,104,102,56.18285,110.03782,269.20349
105,0.81935352,105,104,47.32259,111.20802,270.68478
105,1,105,105,38.72586,112.05873,271.81268
105,1,105,105,30.70957,112.77351,271.2821
105,1,105,105,22.63315,113.39946,269.11911
105,1,105,105,14.44434,113.9239,265.57672
105,1,105,105,6.44314,114.3259,261.15109
105,1,105,105,-1.2198,114.5957,256.02969
105,1,105,105,-8.44136,114.72987,250.32582
105,1,105,105,-15.16646,114.72581,244.05986
105,1,105,105,-21.27458,114.60565,237.51454
105,1,105,105,-26.76173,114.36499,230.53078
105,1,105,105,-31.61054,114.00529,223.10268
107,0.00785847,105,105,-35.79859,113.53121,215.27992
107,0.02299551,105,105,-39.30369,112.94877,207.12621
107,0.03509576,105,105,-42.10537,112.26446,198.70654
107,0.0440848,105,105,-44.18647,111.48641,190.0844
107,0.04990796,105,105,-45.53439,110.62555,181.32152
107,0.0525312,105,105,-46.14134,109.69315,172.47838
107,0.051946,105,105,-46.00542,108.70052,163.61385
107,0.04816538,105,105,-45.12971,107.65932,154.78625
107,0.04122512,105,105,-43.5226,106.5809,146.05128
107,0.03118022,105,105,-41.19688,105.47664,137.46283
107,0.01810427,105,105,-38.16965,104.35732,129.07127
107,0.00208742,105,105,-34.46186,103.2333,120.92392
107,0,105,105,-30.09749,102.1141,113.06394
107,0,105,105,-25.10322,101.00817,105.53024
107,0,105,105,-19.50762,99.92352,98.35868
107,0,105,105,-13.34009,98.86679,91.58052
107,0,105,105,-6.63089,97.84352,85.22327
107,0,105,105,0.58969,96.85783,79.3105
107,0,105,105,8.29197,95.91229,73.86228
107,0,105,105,16.447,95.00765,68.89532
107,0,105,105,25.02258,94.14323,64.42516
107,0,105,105,33.96423,93.33128,60.47269
106,0.39034212,105,105,43.22326,92.5863,57.05927
104,0.70397747,105,105,52.75691,91.9215,54.20472
103,0.01844843,105,105,62.52591,91.34767,51.92663
101,0.37347245,105,105,72.492,90.87309,50.23983
99,0.75623846,105,105,82.61683,90.50415,49.15676
98,0.16474395,105,105,92.86227,90.24487,48.68733
96,0.55442715,105,105,103.18896,90.09814,48.83902
94,0.88794994,105,105,113.55692,90.06595,49.61719
93,0.98314273,105,105,123.92654,90.14899,51.02576
93,0.94746685,105,105,134.25761,90.34717,53.06648
93,0.91207641,105,105,144.50972,90.65953,55.73888
93,0.87710923,105,105,154.64238,91.08451,59.04068
93,0.84150767,105,105,164.92653,90.81464,62.13198
93,0.80570406,105,105,175.23882,89.79923,64.51971
93,0.76966512,105,105,185.59685,88.13905,66.35503
93,0.73378223,105,105,195.89507,85.94704,67.44936
93,0.69964272,105,105,205.6886,83.55344,66.86772
93,0.66633934,105,105,215.23308,80.7328,64.80878
93,0.63388926,105,105,224.5296,77.61832,61.64771
93,0.60251176,105,105,233.52107,74.38506,57.67822
93,0.57241797,105,105,242.15027,71.16703,53.06944
93,0.54376763,105,105,250.3726,68.05122,47.89904
93,0.51667643,105,105,258.15494,65.09402,42.1998
93,0.49121746,105,105,265.47559,62.32805,35.98646
93,0.46743619,105,105,272.3205,59.77304,29.27794
93,0.44536051,105,105,278.68048,57.4402,22.10224
93,0.42501113,105,105,284.5484,55.33618,14.49487
93,0.40640321,105,105,289.9187,53.4623,6.4928
93,0.38954952,105,105,294.78653,51.81566,-1.86722
93,0.37446406,105,105,299.14679,50.39131,-10.54877
93,0.36116421,105,105,302.99347,49.18259,-19.51782
93,0.34966958,105,105,306.31998,48.18103,-28.74249
93,0.3400034,105,105,309.11884,47.37827,-38.19106
93,0.3321918,105,105,311.38184,46.76542,-47.83318
93,0.32626304,105,105,313.10022,46.33379,-57.63861
93,0.32224745,105,105,314.26477,46.07503,-67.5769
93,0.32017523,105,105,314.86639,45.98081,-77.61742
93,0.32007533,105,105,314.89648,46.04322,-87.7285
93,0.32197416,105,105,314.34723,46.25418,-97.87805
93,0.32589456,105,105,313.21194,46.60621,-108.03252
93,0.33185437,105,105,311.4855,47.09229,-118.15707
93,0.33986625,105,105,309.16437,47.70555,-128.21603
93,0.3499352,105,105,306.24725,48.43951,-138.17267
93,0.36205819,105,105,302.73529,49.28825,-147.98915
93,0.3762258,105,105,298.63156,50.24583,-157.62753
93,0.39241734,105,105,293.94241,51.3069,-167.04893
93,0.41060433,105,105,288.67654,52.4663,-176.21451
93,0.43074691,105,105,282.84598,53.71921,-185.08536
93,0.45279557,105,105,276.46558,55.06113,-193.62303
93,0.47669351,105,105,269.55231,56.48747,-201.78981
93,0.50236934,105,105,262.12744,57.99424,-209.54865
93,0.52974403,105,105,254.21446,59.57764,-216.86366
93,0.55872989,105,105,245.83936,61.2341,-223.70033
93,0.58923137,105,105,237.03038,62.95955,-230.02621
93,0.62114078,105,105,227.81929,64.75076,-235.81035
93,0.65434486,105,105,218.23947,66.60406,-241.024
93,0.68887311,105,105,208.27911,68.40935,-245.71254
93,0.72125334,105,105,198.90114,68.94516,-251.37476
93,0.75035959,105,105,190.43954,68.56417,-257.99289
93,0.77621579,105,105,182.89145,67.46366,-265.47751
93,0.7987321,105,105,176.29051,65.88347,-273.70032
93,0.81856012,105,105,170.45145,63.93637,-282.47263
93,0.83607906,105,105,165.27104,61.79403,-291.59561
93,0.85144734,105,105,160.70932,59.59005,-300.93954
93,0.86469179,105,105,156.76311,57.41507,-310.43222
93,0.87577635,105,105,153.44637,55.32924,-320.035
93,0.88466221,105,105,150.77327,53.37822,-329.71848
93,0.89131808,105,105,148.75517,51.59116,-339.46255
93,0.8957395,105,105,147.39499,49.98569,-349.24756
93,0.89795041,105,105,146.68686,48.57286,-359.04962
93,0.89799315,105,105,146.61935,47.35899,-368.84152
93,0.89591759,105,105,147.17839,46.34628,-378.5946
93,0.89177418,105,105,148.34949,45.53307,-388.28049
93,0.88561159,105,105,150.11836,44.91533,-397.8707
93,0.8774749,105,105,152.47156,44.4877,-407.33652
93,0.86740619,105,105,155.39647,44.2438,-416.64935
93,0.8554427,105,105,158.88161,44.17571,-425.78122
93,0.84162188,105,105,162.91534,44.27477,-434.70389
93,0.82598478,105,105,167.48489,44.53269,-443.38815
93,0.80857241,105,105,172.57751,44.94126,-451.80457
93,0.78942847,105,105,178.17953,45.49249,-459.92331
93,0.76859951,105,105,184.27641,46.17795,-467.71478
93,0.7460708,105,105,190.86977,46.94248,-475.18607
93,0.72277087,105,105,197.66544,47.1539,-482.77228
93,0.70166522,105,105,203.7926,46.56286,-490.73047
93,0.68402302,105,105,208.88872,45.30699,-499.05365
93,0.669267,105,105,213.12741,43.50928,-507.66998
93,0.65701866,105,105,216.62498,41.33313,-516.47058
93,0.64703763,105,105,219.45552,38.90088,-525.37329
93,0.63924849,105,105,221.64352,36.30341,-534.32104
93,0.63353133,105,105,223.2253,33.60051,-543.27216
93,0.63000417,105,105,224.16782,30.8606,-552.18933
93,0.62792659,105,105,224.68524,28.04192,-561.06299
93,0.62662506,105,105,224.97415,25.15285,-569.84985
93,0.62621915,105,105,225.00024,22.22487,-578.53241
93,0.62714928,105,105,224.63538,19.29363,-587.10614
93,0.62978172,105,105,223.77315,16.40506,-595.55359
93,0.63453835,105,105,222.29189,13.64172,-603.83197
