Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width
0,0,0,0,1,0,0,120
200,322.69733,-34.94035,848.65912,0.28992,0,-0.95705,150
201,248.61671,-39.1656,833.87213,0.25885,0,-0.96592,150
202,174.85159,-35.0168,818.02185,0.28983,0,-0.95708,150
203,104.78153,-25.03771,801.50201,0.39302,0,-0.91953,150
204,42.74434,-13.231,771.74969,0.5729,0,-0.81962,150
205,19.80453,-7.72147,744.42883,0.7423,0,-0.67007,145.257
206,7.05007,-3.27543,708.3634,0.91529,0,-0.40279,135.003
207,0.01951,0,630.04602,1,0,0,120
210,-0.01709,0,441.02515,1,0,0,120
213,-0.00959,0,251.41647,1,0,0,120
216,0.02296,0,63.05696,1,0,0,120
,,,,,,,
,,,,,,,
