Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap distance,X,Y,Z,Notes
201,0.05614095,10,10,11194.29395,391.41943,178.6566,288.80432,
200,0.99848229,10,10,11189.92578,396.57755,180.26482,282.50943,"Crosses finish line forward and backward when far away, still fine"
200,0.95785099,10,10,11186.85352,402.12448,181.93098,276.53699,
200,0.91267067,10,10,11183.4375,408.04007,183.65215,270.91299,
200,0.8631196,10,10,11179.69238,414.30228,185.42558,265.66223,
200,0.80938947,10,10,11175.62988,420.8876,187.24831,260.80777,
200,0.75169367,10,10,11171.26855,427.77026,189.118,256.37137,
200,0.6902523,10,10,11166.62305,434.92358,191.03201,252.37303,
200,0.62530935,10,10,11161.71387,442.31848,192.98816,248.83064,
200,0.55711281,10,10,11156.55762,449.92529,194.98439,245.76048,
200,0.48592076,10,10,11151.17578,457.71326,197.0188,243.17697,
200,0.41200125,10,10,11145.58789,465.65054,199.08945,241.09236,
200,0.33563906,10,10,11139.81445,473.70392,201.19456,239.51613,
200,0.25712159,10,10,11133.87891,481.83987,203.33258,238.45602,
200,0.1767382,10,10,11127.80176,490.02481,205.50157,237.91753,
200,0.09473702,10,10,11121.60254,498.22977,207.69408,237.90268,
200,0.01144289,10,10,11115.30566,506.42053,209.90398,238.40453,
199,0.95013201,10,10,11110.83691,514.56525,212.12509,239.41508,
199,0.8920176,10,10,11106.6377,522.63647,214.34795,240.92416,
199,0.83368152,10,10,11102.42188,530.60333,216.56679,242.91373,
199,0.77502108,10,10,11098.18359,538.49457,218.68304,245.31282,
199,0.71599603,10,10,11093.91797,546.41168,220.44411,247.8136,
199,0.65718734,10,10,11089.66895,554.39117,221.73465,250.05417,
199,0.59928715,10,10,11085.48438,562.42639,222.56172,251.7748,
199,0.54326248,10,10,11081.43652,570.49341,222.98787,252.66594,
199,0.48838934,10,10,11077.4707,578.65961,222.97908,252.88037,
199,0.43485868,10,10,11073.60254,586.84625,222.6783,252.58421,
199,0.38301012,10,10,11069.85645,594.96948,222.22276,251.88298,
199,0.3331176,10,10,11066.25098,602.98035,221.69284,250.80695,
199,0.28540844,10,10,11062.80371,610.84863,221.13734,249.35165,
199,0.24007757,10,10,11059.52832,618.55255,220.58917,247.50165,
199,0.19729361,10,10,11056.43652,626.07111,220.07736,245.24728,
199,0.15719226,10,10,11053.53809,633.38672,219.62375,242.58124,
199,0.11987786,10,10,11050.8418,640.48425,219.24377,239.49986,
199,0.08543212,10,10,11048.35352,647.34827,218.95009,236.00679,
199,0.05391701,10,10,11046.07617,653.96301,218.75264,232.11124,
199,0.02538353,10,10,11044.01367,660.31244,218.65862,227.82527,
198,0.99990809,10,10,11042.17285,666.38049,218.67256,223.16304,
198,0.98415005,10,10,11041.08203,672.15045,218.79758,218.14053,
198,0.97061175,10,10,11040.14355,677.60571,219.03432,212.77345,
198,0.95929015,10,10,11039.35938,682.72974,219.38202,207.07941,
198,0.95017689,10,10,11038.72754,687.50592,219.83897,201.077,
198,0.9432596,10,10,11038.24902,691.91803,220.40245,194.78555,
198,0.9385224,10,10,11037.9209,695.94983,221.06932,188.22545,
198,0.9359445,10,10,11037.74219,699.58569,221.83569,181.41797,
198,0.9354983,10,10,11037.71094,702.81085,222.69759,174.38603,
198,0.93715411,10,10,11037.82617,705.61108,223.651,167.15343,
198,0.94087631,10,10,11038.08398,707.97296,224.69206,159.74524,
198,0.94662589,10,10,11038.48242,709.8844,225.81657,152.18736,
198,0.95435768,10,10,11039.01758,711.33466,227.02036,144.50688,
198,0.96402138,10,10,11039.6875,712.3147,228.29959,136.73241,
198,0.97556406,10,10,11040.48633,712.81689,229.65001,128.89255,
198,0.98892456,10,10,11041.41211,712.83594,231.06816,121.01799,
199,0.00589535,10,10,11042.60547,712.36792,232.55051,113.13927,
199,0.03043908,10,10,11044.37891,711.41132,234.09357,105.28761,
199,0.05738117,10,10,11046.32617,709.96655,235.69441,97.4948,
199,0.08661462,10,10,11048.43848,708.03577,237.34999,89.79247,
199,0.11802238,10,10,11050.70801,705.62384,239.05751,82.21255,
199,0.15148172,10,10,11053.12598,702.73779,240.81438,74.78677,
199,0.17976512,10,10,11055.16992,700.78662,241.78656,67.21014,
199,0.20464368,10,10,11056.96777,699.48804,242.03119,59.41537,
199,0.22687142,10,10,11058.57324,698.68335,241.72185,51.47271,
199,0.24711345,10,10,11060.03613,698.21765,241.05099,43.48159,
