Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width
0,0,0,0,1,0,0,60
1,0,0,-100.00002,1,0,0,60
2,0.00049,0.00096,-100.94341,1,0,0.00153,60
3,10.62842,9.40579,-212.39825,0.98229,0,0.18737,60
4,45.68066,20,-329.57904,0.92388,0,0.38268,60
5,67.11865,16.51022,-375.73566,0.88817,0,0.45952,60
6,93.40479,7.02105,-421.49649,0.84434,0,0.53581,60
7,137.69287,-12.38434,-482.44046,0.77057,0,0.63735,60
8,159.41602,-21.53359,-507.26392,0.73435,0,0.67877,60
9,175.75586,-27.85552,-524.24994,0.70717,0,0.70704,60
10,192.74707,-33.767,-540.58356,0.67884,0,0.73428,60
339,20.05522,-20.05525,1387.77319,0.90537,0.09487,-0.4139,29.18
340,0.00067,-0.0007,1300.46326,1,0,-0.00211,29.18
341,0,0,1299.96619,1,0,0,60
342,-11.27979,3.7874,1164.14417,0.99633,0,-0.08561,60
344,-17.11328,5.39765,1129.04749,0.99254,0,-0.12193,60
345,-45.9541,9.91858,992.54907,0.97481,0,-0.22303,60
347,-53.89648,9.76225,958.09949,0.97477,0,-0.22322,60
349,-85.8125,-6.17657,804.04633,0.99453,0,-0.10441,60
351,-99.99971,-20.00015,649.99597,1,0,0,60
352,-49.99873,-0.00015,324.99438,0.97031,0,0.24186,60
,,,,,,,
,,,,,,,
