Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width
0,0,0,0,1,0,0,
1,0.00027,0,-800.00262,1,0,0,60
2,0.00027,30,-1049.97705,1,0,0,60
2,0.00027,0,-1050.00061,1,0,0,60
44,1099.99817,-500,3099.99927,-1,0,0,90
45,1056.06323,-500,3206.06323,-0.70711,0,-0.70711,90
46,949.99915,-500,3249.99902,0,0,-1,90
47,843.91376,-500,3206.04541,0.70724,0,-0.70697,90
48,800.00055,-500,3099.96167,1,0,-0.0001,90
49,682.8432,-470,2817.15698,0.70711,0,-0.70711,60
49,682.8418,-500,2817.15796,0.70711,0,-0.70711,90
50,400.03821,-470,2700.00098,0.0001,0,-1,60
50,400.03726,-500,2699.99927,-0.0001,0,-1,90
51,117.21127,-470,2582.89575,0.70697,0,-0.70724,60
51,117.1571,-500,2582.84277,0.70711,0,-0.70711,90
52,0,-470,2299.98242,1,0,0,60
53,5e-05,-470.00006,1899.9856,1,0,0,60
54,-0.00025,-419.99997,1850.00818,1,0,0.0001,60
55,0,0,1429.99658,1,0,0,60
56,0,0,329.99756,1,0,0,60
,,,,,,,
,,,,,,,
