Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap index,Lap distance,X,Y,Z,Notes
49,0.47114456,2,1,-1,12692.23828,1551.36328,180.93944,498.04861,Checkpoint snapped from 49 to 0 before getting back behind finish line
49,0.47424725,2,1,-1,12693.19336,1545.62085,180.21556,492.94684,
49,0.47726026,2,1,-1,12694.12012,1540.1853,179.46506,487.63861,
49,0.48017576,2,1,-1,12695.0166,1535.08276,178.70738,482.10617,
49,0.48298544,2,1,-1,12695.88086,1530.33313,177.96558,476.34894,
49,0.48568159,2,1,-1,12696.70996,1525.9502,177.26303,470.37723,
49,0.48825741,2,1,-1,12697.50293,1521.94739,176.61731,464.19745,
49,0.49070689,2,1,-1,12698.25586,1518.33569,176.04224,457.81833,
49,0.49302283,2,1,-1,12698.96875,1515.12683,175.55449,451.25449,
49,0.4952004,2,1,-1,12699.63867,1512.32837,175.15958,444.51675,
49,0.49723631,2,1,-1,12700.26465,1509.94202,174.85852,437.62161,
49,0.49912682,2,1,-1,12700.8457,1507.96851,174.655,430.59219,
49,0.50086778,2,1,-1,12701.38184,1506.41052,174.55142,423.44992,
49,0.50245565,2,1,-1,12701.87012,1505.27039,174.54546,416.21356,
49,0.50388902,2,1,-1,12702.31152,1504.54639,174.62859,408.90073,
49,0.50516707,2,1,-1,12702.7041,1504.23291,174.79431,401.53464,
49,0.50628859,2,1,-1,12703.04883,1504.32581,175.03784,394.13837,
49,0.50725174,2,1,-1,12703.3457,1504.82288,175.35593,386.73444,
49,0.50805461,2,1,-1,12703.59277,1505.72302,175.74579,379.34457,
49,0.50869519,2,1,-1,12703.78906,1507.02576,176.20448,371.98993,
49,0.50917166,2,1,-1,12703.93652,1508.72986,176.72923,364.69205,
49,0.50948292,2,1,-1,12704.03223,1510.83276,177.31763,357.47299,
49,0.50962788,2,1,-1,12704.07617,1513.33191,177.96672,350.35428,
49,0.509606,2,1,-1,12704.06934,1516.22278,178.67397,343.35815,
49,0.50941765,2,1,-1,12704.01172,1519.5,179.43427,336.50455,
49,0.50906408,2,1,-1,12703.90332,1523.15393,180.2457,329.81638,
49,0.50854641,2,1,-1,12703.74414,1527.17603,181.10716,323.31616,
