Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap index,Lap distance,X,Y,Z,Notes
187,0.49435675,3,2,-1,15943.42285,169.88872,37.3479,202.25729,Landed instead of brushing side of track
187,0.47590464,3,2,-1,15936.04199,171.86392,37.80846,209.63814,
187,0.45742443,3,2,-1,15928.64941,173.77878,38.08001,217.03023,
187,0.43969691,3,2,-1,15921.55859,176.17522,37.93351,224.12123,
187,0.4226597,3,2,-1,15914.74316,178.89435,37.52491,230.93613,
187,0.40606612,3,2,-1,15908.10645,181.78195,36.9167,237.57355,
187,0.38977468,3,2,-1,15901.58984,184.7384,36.15475,244.09013,
187,0.37371758,3,2,-1,15895.16699,187.70866,35.26979,250.51297,
187,0.35786057,3,2,-1,15888.82422,190.66251,34.28149,256.85577,
187,0.34218246,3,2,-1,15882.55273,193.58344,33.20104,263.12701,
187,0.32666564,3,2,-1,15876.3457,196.46289,32.03289,269.33374,
187,0.31130052,3,2,-1,15870.2002,199.29692,30.78027,275.4798,
187,0.29608169,3,2,-1,15864.1123,202.08391,29.44594,281.56732,
187,0.28100669,3,2,-1,15858.08203,204.82353,28.03238,287.59732,
187,0.26607445,3,2,-1,15852.10938,207.51614,26.54198,293.57022,
187,0.25128478,3,2,-1,15846.19336,210.16252,24.97701,299.48608,
187,0.23663795,3,2,-1,15840.33496,212.76343,23.33971,305.34482,
187,0.22213471,3,2,-1,15834.5332,215.31995,21.63219,311.14612,
187,0.20777619,3,2,-1,15828.79004,217.83333,19.85644,316.88953,
187,0.19356324,3,2,-1,15823.10547,220.30455,18.01441,322.57471,
187,0.17949662,3,2,-1,15817.47852,222.73451,16.10801,328.20135,
187,0.16557693,3,2,-1,15811.91016,225.1241,14.13899,333.76923,
187,0.15180488,3,2,-1,15806.40137,227.47414,12.10904,339.27805,
187,0.13818108,3,2,-1,15800.95215,229.78546,10.01972,344.72757,
187,0.12470535,3,2,-1,15795.56152,232.05832,7.87266,350.11786,
187,0.11137764,3,2,-1,15790.23047,234.29298,5.66934,355.44894,
187,0.09819771,3,2,-1,15784.95898,236.4897,3.41117,360.72092,
187,0.08516548,3,2,-1,15779.74609,238.64885,1.09943,365.93381,
187,0.07228103,3,2,-1,15774.5918,240.77098,-1.26472,371.08759,
187,0.05954407,3,2,-1,15769.49707,242.85641,-3.68015,376.18237,
187,0.0469545,3,2,-1,15764.46191,244.90562,-6.14585,381.2182,
187,0.0345121,3,2,-1,15759.48438,246.91898,-8.66084,386.19516,
187,0.02221695,3,2,-1,15754.56641,248.89716,-11.22428,391.11322,
187,0.0100692,3,2,-1,15749.70703,250.84085,-13.83538,395.97232,
187,-0.00193146,3,2,-1,15744.90723,252.7505,-16.49335,400.77258,
186,0.93107301,3,2,-1,15740.16602,254.62643,-19.19744,405.51416,
186,0.87253761,3,2,-1,15735.48242,256.46921,-21.94699,410.19699,
186,0.81473768,3,2,-1,15730.8584,258.27911,-24.74114,414.82098,
186,0.75768012,3,2,-1,15726.29395,260.05698,-27.5791,419.38559,
186,0.70137405,3,2,-1,15721.79004,261.80353,-30.45993,423.89008,
186,0.64582789,3,2,-1,15717.3457,263.51892,-33.3825,428.33377,
186,0.5910427,3,2,-1,15712.96289,265.20258,-36.34577,432.71658,
186,0.53701746,3,2,-1,15708.64063,266.85406,-39.34904,437.0386,
186,0.4837513,3,2,-1,15704.37988,268.47333,-42.39186,441.2999,
186,0.43124121,3,2,-1,15700.17871,270.06021,-45.47386,445.5007,
186,0.37948456,3,2,-1,15696.03809,271.6149,-48.59487,449.64124,
186,0.32847825,3,2,-1,15691.95801,273.13727,-51.75468,453.72174,
186,0.27823028,3,2,-1,15687.93848,274.62787,-54.95289,457.74158,
186,0.22875862,3,2,-1,15683.98047,276.08694,-58.18869,461.69931,
186,0.18010406,3,2,-1,15680.08789,277.51443,-61.46038,465.59167,
186,0.13233185,3,2,-1,15676.2666,278.90884,-64.76514,469.41345,
186,0.08552933,3,2,-1,15672.52246,280.26764,-68.09983,473.15765,
186,0.03978081,3,2,-1,15668.8623,281.5882,-71.46254,476.81754,
186,-0.00484886,3,2,-1,15665.29199,282.86957,-74.85384,480.38791,
185,0.98792088,3,2,-1,15661.81445,284.11182,-78.27605,483.86533,
185,0.9787637,3,2,-1,15658.88379,285.86032,-81.59292,486.79562,
185,0.9708125,3,2,-1,15656.33984,287.94458,-84.86947,489.34,
185,0.96374953,3,2,-1,15654.0791,290.29874,-88.16267,491.60016,
185,0.95742929,3,2,-1,15652.05664,292.95724,-91.52261,493.62262,
185,0.95191652,3,2,-1,15650.29297,295.86694,-94.91218,495.38672,
127,0.48425531,3,127,-1,13459.43066,299.09601,-98.25393,496.85098,
127,0.49058694,127,127,-1,13460.69727,299.30389,-98.53276,498.11731,
127,0.50297052,127,127,-1,13463.17383,299.66733,-98.40995,500.59402,
127,0.51499915,127,127,-1,13465.58008,300.19421,-98.22551,502.99976,
127,0.52669376,127,127,-1,13467.91895,300.94861,-98.0146,505.33868,
127,0.53816438,127,127,-1,13470.21289,302.0256,-97.62597,507.63281,
127,0.54949778,127,127,-1,13472.47949,303.05905,-96.34785,509.89951,
127,0.56053096,127,127,-1,13474.68652,304.46164,-94.65311,512.10614,
127,0.57111108,127,127,-1,13476.80273,306.21906,-92.73592,514.22217,
127,0.58121204,127,127,-1,13478.82227,308.22464,-90.75386,516.24237,
127,0.59091544,127,127,-1,13480.7627,311.16983,-89.66884,518.18304,
127,0.59816211,127,127,-1,13482.21289,314.11731,-88.64159,519.63239,
127,0.60353196,127,127,-1,13483.28613,317.03189,-87.69186,520.70636,
127,0.60732043,127,127,-1,13484.04395,319.89023,-86.82616,521.46405,
127,0.60972065,127,127,-1,13484.52441,322.67496,-86.04488,521.94409,
127,0.61088395,127,127,-1,13484.75684,325.38422,-85.34199,522.17676,
127,0.61071122,127,127,-1,13484.72266,328.09119,-84.6905,522.14221,
127,0.6087932,127,127,-1,13484.33887,330.91119,-84.06099,521.75861,
127,0.60484546,127,127,-1,13483.54883,333.90417,-83.44795,520.96906,
127,0.59931082,127,127,-1,13482.44238,336.96921,-82.87807,519.86212,
127,0.5925225,127,127,-1,13481.08496,340.01517,-82.36283,518.50446,
127,0.58450341,127,127,-1,13479.48047,342.99881,-81.89859,516.90063,
127,0.5752154,127,127,-1,13477.62305,345.89209,-81.47878,515.04303,
127,0.56464195,127,127,-1,13475.50879,348.67108,-81.09726,512.92834,
