Checkpoint number,Checkpoint fraction,Ground checkpoint,Contact checkpoint,Lap index,Lap distance,X,Y,Z,Notes
0,0.10501213,3,2,0,32.09748,-119.99515,-11.24367,-32.0287,
0,0.07951947,3,2,0,24.30552,-118.97825,-12.03113,-24.25344,
0,0.05423572,3,2,0,16.57742,-117.47111,-12.67454,-16.54189,
0,0.02924156,3,2,0,8.93783,-115.48475,-13.17261,-8.91868,
0,0.00461743,3,2,0,1.41134,-113.03009,-13.526,-1.40832,
187,0.98508811,3,2,-1,16139.71484,-110.11816,-13.73693,5.96476,For the record: going below the finish line backwards does decrement a lap if your checkpoint isn't stuck
187,0.9670589,3,2,-1,16132.50293,-106.76009,-13.80911,13.17646,
187,0.94949418,3,2,-1,16125.47754,-102.96762,-13.74663,20.20232,
187,0.93245524,3,2,-1,16118.66211,-98.75286,-13.55408,27.01791,
187,0.91600299,3,2,-1,16112.08105,-94.12846,-13.23629,33.59883,
187,0.90019763,3,2,-1,16105.75879,-89.10782,-12.79856,39.92097,
187,0.88509905,3,2,-1,16099.71973,-83.70568,-12.24628,45.96038,
187,0.87076759,3,2,-1,16093.98633,-77.93863,-11.58412,51.69297,
187,0.85726196,3,2,-1,16088.58398,-71.82351,-10.81688,57.09522,
187,0.84463942,3,2,-1,16083.53516,-65.37865,-9.94945,62.14421,
187,0.83295494,3,2,-1,16078.86133,-58.62442,-8.98674,66.81802,
187,0.82226074,3,2,-1,16074.58398,-51.58311,-7.93339,71.0957,
187,0.81260681,3,2,-1,16070.72266,-44.27867,-6.79352,74.95726,
187,0.80404013,3,2,-1,16067.2959,-36.73581,-5.57129,78.38393,
187,0.79660338,3,2,-1,16064.32129,-28.98156,-4.27056,81.35863,
187,0.79033524,3,2,-1,16061.81348,-21.04435,-2.89476,83.86591,
187,0.78527069,3,2,-1,16059.78809,-12.95311,-1.59409,85.89173,
187,0.78099686,3,2,-1,16058.07813,-4.7275,-1.58958,87.60125,
187,0.77721924,3,2,-1,16056.56738,3.46688,-1.584,89.11229,
187,0.77400327,3,2,-1,16055.28125,11.66459,-1.58112,90.3987,
187,0.77137804,3,2,-1,16054.23047,19.86366,-1.58398,91.4488,
187,0.76937807,3,2,-1,16053.43066,28.06548,-1.58992,92.24876,
187,0.76800013,3,2,-1,16052.87988,36.25441,-0.99174,92.79996,
187,0.76859683,3,2,-1,16053.11816,44.20548,0.0418,92.56127,
187,0.77149451,3,2,-1,16054.27734,52.13008,1.27813,91.40219,
187,0.77611005,3,2,-1,16056.12402,60.01414,2.56975,89.55598,
187,0.78205359,3,2,-1,16058.50098,67.83012,3.84836,87.17857,
187,0.78902876,3,2,-1,16061.29102,75.55805,5.06983,84.38849,
187,0.79674858,3,2,-1,16064.37891,83.20638,6.16895,81.30058,
187,0.80512083,3,2,-1,16067.72852,90.72813,7.18664,77.95165,
187,0.81392431,3,2,-1,16071.24902,98.1728,8.02938,74.43027,
187,0.82286215,3,2,-1,16074.82422,105.56482,8.64664,70.85514,
187,0.83181381,3,2,-1,16078.40527,112.90056,9.04274,67.27449,
187,0.840101,3,2,-1,16081.71973,120.27666,9.09884,63.9596,
187,0.84789729,3,2,-1,16084.83887,127.68266,8.84348,60.84109,
187,0.8552658,3,2,-1,16087.78613,135.10434,8.31016,57.89368,
187,0.86184764,3,2,-1,16090.41895,142.56255,7.5182,55.26095,
187,0.86744189,3,2,-1,16092.65625,150.06778,6.5022,53.02327,
187,0.87212461,3,2,-1,16094.5293,157.59277,5.32469,51.15015,
187,0.87589788,3,2,-1,16096.03906,165.10323,4.05817,49.64083,
187,0.8787291,3,2,-1,16097.1709,172.57788,2.75368,48.50836,
187,0.88057894,3,2,-1,16097.91113,180.00081,1.44952,47.76844,
187,0.88141656,3,2,-1,16098.24609,187.35631,0.178,47.43338,
187,0.88122177,3,2,-1,16098.16797,194.62888,-1.0335,47.5113,
187,0.87999094,3,2,-1,16097.67578,201.80096,-2.15958,48.00362,
187,0.87772989,3,2,-1,16096.77148,208.85605,-3.17933,48.90806,
187,0.87444443,3,2,-1,16095.45703,215.78206,-4.08058,50.22222,
187,0.87015229,3,2,-1,16093.74023,222.56714,-4.85584,51.93909,
187,0.86487979,3,2,-1,16091.63184,229.19872,-5.50052,54.04811,
187,0.8586567,3,2,-1,16089.14258,235.6631,-6.01153,56.53732,
187,0.85151213,3,2,-1,16086.28418,241.94649,-6.38805,59.39514,
187,0.84347403,3,2,-1,16083.06934,248.03397,-6.62981,62.61037,
187,0.83456755,3,2,-1,16079.50684,253.91077,-6.73862,66.17297,
187,0.82481736,3,2,-1,16075.60645,259.56226,-6.71831,70.07305,
187,0.81425011,3,2,-1,16071.37988,264.97339,-6.5737,74.29996,
187,0.80289441,3,2,-1,16066.83789,270.12888,-6.31044,78.84224,
187,0.79078203,3,2,-1,16061.99219,275.01291,-5.93418,83.68721,
187,0.77794665,3,2,-1,16056.8584,279.60938,-5.45044,88.82137,
187,0.76442319,3,2,-1,16051.44922,283.90204,-4.86481,94.23072,
