Checkpoint,Center X,Center Y,Center Z,Right X,Right Y,Right Z,Track width
0,0,0,0,1,0,0,90
1,0,0,-500,1,0,0,90
2,-14.69901,1.41698,-592.69836,0.95043,-0.03623,-0.30883,90
3,-56.81812,2.24223,-676.54517,0.80313,-0.12241,-0.58309,90
5,-206.50888,0.61722,-787.63324,0.29405,-0.30758,-0.90495,90
7,-393.42706,-11.2254,-787.67401,-0.29396,-0.30767,-0.90495,90
9,-543.09015,-29.44441,-676.56104,-0.80301,-0.12251,-0.58323,90
11,-600,-40,-500,-1,0,0,90
113,767.64227,-8.9615,1071.89148,0.39883,0,-0.91702,90
116,638.69183,-7.06644,1010.02185,0.50759,0,-0.8616,90
119,457.99884,-2.67695,892.42328,0.65607,0,-0.7547,90
121,380.46387,-0.81767,827.40936,0.71794,0,-0.69611,90
123,297.57086,0.60247,744.62805,0.78265,0,-0.62246,90
124,256.4201,0.89057,696.84631,0.81426,0,-0.5805,90
125,249.76595,0.89284,688.73279,0.81929,0,-0.57338,90
126,170.34773,0.89287,577.21332,0.87892,0,-0.47697,90
127,99.6113,0.89278,446.61392,0.93063,0,-0.36597,90
128,66.97308,0.89394,367.91751,0.95391,0,-0.30009,90
129,46.29264,0.89423,306.86142,0.96838,0,-0.24948,90
130,24.46478,0,223.96791,0.98342,0,-0.18134,90
131,12.62564,0,160.52319,0.99156,0,-0.12964,90
132,2.75044,0,75.33841,0.99816,0,-0.06065,90
,,,,,,,
,,,,,,,
